dos	kettő
escriure	írni
ràpidament	gyorsan
usat	használt
1982	1982
creatiu	kreatív
mètodes	módszerek
clau	kulcs
centúria	század
augmentar	növelni
1929	1929
economia	gazdaság
turisme	turizmus
investigacions	kutatások
teresa	teréz
anomenar	nevezni
entrar	bejutni
portaveu	szóvivő
global	globális
encàrrec	megbízatás
nord-oest	északnyugat
literatura	irodalom
assegurar	biztosítani
preparar	készíteni
dòlar	dollár
independents	függetlenek
bisbe	püspök
f	f
fitxer	fájl
diego	diego
definitivament	véglegesen
hospital	kórház
segles	századok
sorra	sorra
llatí	latin
ü	ü
viure	élni
guitarra	gitár
martínez	martinez
102	102
país	ország
dictadura	diktatúra
oportunitats	lehetőségek
petőfi	petőfi
determinar	meghatározni
anglaterra	anglia
autoritats	hatóságok
dècades	évtizedek
malament	rosszul
líquid	folyadék
fàcilment	egyszerűen
dibuix	rajz
papa	pápa
1945	1945
1966	1966
modificar	módosít
precisió	pontosság
termes	termes
acabat	befejezve
violència	erőszak
puntual	pontos
reformes	reformok
formal	formális
consciència	tudatosság
1887	1887
vers	vers
alternatiu	alternatív
créixer	növekedni
senyals	jelzések
calent	meleg
igualment	egyenlően
discurs	beszéd
1920	1920
església	templom
margarida	margaréta
amin	amin
arriben	érkeznek
carolina	karolina
societat	társaság
florència	firenze
hauria	lenne
károly	károly
aleshores	akkoriban
nació	nemzet
representar	képviselni
capítols	fejezetek
director	igazgató
modificacions	módosítások
so	so
distància	távolság
105	105
1949	1949
1885	1885
llibertat	szabadság
2010	2010
formats	formátumok
1987	1987
mecànica	mechanika
golf	golf
finestra	ablak
romàntic	romantikus
cinema	mozi
reproducció	reprodukció
sorpresa	meglepetés
1952	1952
funcions	funkciók
arròs	rizs
guia	útikalauz
1951	1951
filosofia	filozófia
enviar	küld
islam	iszlám
educació	oktatás
sota	alá
valors	értékek
balogh	balogh
milió	millió
quinze	tizenöt
terreny	terület
romà	római
1900	1900
italians	olaszok
màxim	maximum
cantar	énekelni
nek	nek
valor	érték
zoltán	zoltán
ànima	lelke
productes	termékek
eleccions	választások
jacques	jacques
1924	1924
grup	csoport
dret	jog
provar	próbálni
esperar	várni
fundador	alapító
protegit	védett
documentació	dokumentáció
estadi	stadion
déu	isten
experts	szakértők
velocitat	sebesség
1964	1964
experiència	élmény
sigismund	zsigmond
indústria	ipar
observar	megfigyelni
classificació	osztályozás
upc	upc
districte	kerület
participació	részvétel
sobreviure	túlélni
rudolf	rudolf
gris	szürke
consum	fogyasztás
aràbic	arab
oscar	oscar-díj
negatiu	negatív
jugar	játszani
bp	bp
1914	1914
amsterdam	amszterdam
contracte	szerződés
producte	termék
coneixement	ismeret
anys	évek
compra	vásárlás
part	rész
finalment	végre
olímpics	olimpiák
katalin	katalin
classe	osztály
investigadors	kutatók
soldats	katonák
tema	téma
siófok	siófok
mena	mena
càmera	kamera
símptomes	tünetek
tendència	tendencia
estranger	idegen
procés	folyamat
germans	testvérek
esztergom	esztergom
operació	művelet
adult	felnőtt
cf	cf
austríac	osztrák
partit	párt
orquestra	zenekar
dinàmic	dinamikus
compromís	kompromisszum
difusió	diffúzió
salvador	megmentő
llocs	helyek
construir	építeni
petit	kicsi
aplicació	alkalmazás
1957	1957
bèlgica	belgium
blanc	fehér
l	l
metre	méter
binomial	binomiális
revisió	revízió
bloc	blokk
sentir	érzékelni
signat	aláírt
concursos	pályázatok
lleida	lleida
egipci	egyiptomi
escena	jelenet
olímpic	olimpiai
regulació	szabályozás
adaptació	adaptáció
fortament	erősen
constantinoble	konstantinápoly
linux	linux
vehicles	járművek
seré	leszek
novetats	újdonságok
londinenc	londoni
invasió	invázió
1959	1959
nivell	szint
pesca	halászat
atmosfera	atmoszféra
notícies	hírek
acabar	befejezni
lliga	liga
jerusalem	jeruzsálem
bosc	erdő
pols	pólus
hollywood	hollywood
quilòmetre	kilométer
estàndard	szabvány
1986	1986
interacció	interakció
singh	singh
1906	1906
rarament	ritkán
antecedent	előzmény
cultura	kultúra
quaranta	negyven
projecció	projekció
visita	látogatás
muntatge	montázs
estatut	statútum
normandia	normandia
obligatòria	kötelező
divisió	divízió
1953	1953
daniel	dániel
ideal	ideális
herència	örökség
1931	1931
hostaleria	vendéglátás
llarg	hosszú
quasi	quasi
habitual	szokásos
modificació	módosítás
víctima	áldozat
comentari	kommentár
autonomia	autonómia
arquebisbe	érsek
frontera	határ
canadà	kanada
presidència	elnökség
1872	1872
xerrada	beszélgetés
sistema	rendszer
necessitat	szükség
continent	kontinens
1930	1930
1948	1948
franc	frank
anteriors	korábbiak
casualitat	véletlen
tècnica	technika
metge	orvos
limitat	korlátozott
extinció	kihalás
sí	igen
enginyer	mérnök
balaton	balaton
sastre	szabó
estrelles	csillagok
protegir	védelmezni
vaixell	hajó
1998	1998
connexions	kapcsolatok
uns	uns
secretari	titkár
sopron	sopron
1996	1996
mitjana	középső
organitzat	szervezett
pedagògic	pedagógiai
taula	asztal
esquí	síelés
capacitat	kapacitás
explicació	magyarázat
1950	1950
robert	róbert
cambridge	cambridge
nombre	szám
nintendo	nintendo
poblacions	települések
1940	1940
fusió	fúzió
saps	saps
benestar	jólét
músic	zenész
transsilvània	erdély
profunditat	mélység
riu	folyó
parc	park
adrià	adrián
nucli	nucleus
útil	hasznos
pacífic	békés
von	von
gitano	cigány
emperador	császár
széchenyi	széchenyi
1956	1956
trànsit	átjárás
oficial	hivatalos
angola	angola
moda	divat
guanyar	győzni
cèsar	cézár
1992	1992
assegurat	biztosított
longitud	hosszúság
dipòsit	tároló
1870	1870
1979	1979
jesús	jézus
blau	kék
sèrie	sorozat
partícules	részecskék
verd	zöld
matrimoni	házasság
jean	jean
existeix	létezik
basa	basa
començar	kezdeni
lletres	betűk
parlant	beszélő
construït	építve
especialitzat	specializált
pintors	festők
kossuth	kossuth
centímetre	centiméter
cambra	kamra
versió	verzió
te	te
museu	múzeum
1971	1971
universitari	egyetemi
croàcia	horvátország
havana	havanna
budista	buddhista
difondre	terjeszteni
digital	digitális
efectes	effektusok
paquet	csomag
2008	2008
codi	kód
eötvös	eötvös
stb	stb
pressió	nyomás
reflexió	reflexió
execució	végrehajtás
caminar	sétálni
color	szín
freqüència	frekvencia
política	politika
unesco	unesco
balázs	balázs
milà	milánó
restaurant	étterem
formatge	sajt
cervell	agy
1993	1993
infància	gyermekkor
moviments	mozgalmak
sèries	sorozatok
jenő	jenő
estudiants	diákok
aprenentatge	tanulás
evitar	elkerülni
videojoc	videójáték
turc	türk
pagament	fizetés
acadèmic	akadémikus
teatre	színház
factors	tényezők
plàstic	plasztik
béns	javak
voluntari	önkéntes
llegendari	legendás
alemany	német
mateu	máté
miguel	miguel
significat	jelentés
americà	amerikai
a	a
bretanya	bretagne
drama	dráma
club	klub
felipe	fülöp
paletes	paletták
jugador	játékos
reserva	rezervátum
medalla	érem
filòsof	filozófus
sant	szent
només	csupán
deixar	hagyni
científics	tudósok
altre	másik
irlanda	írország
teràpia	terápia
generalment	általában
variacions	változatok
ocupat	elfoglalt
votar	szavazni
andorra	andorra
lleuger	könnyű
trobar	találni
hora	óra
novembre	november
esclaus	rabszolgák
somni	álom
oficialment	hivatalosan
1933	1933
errors	hibák
feta	feta
escacs	sakk
roba	ruha
balint	bálint
substituir	helyettesíteni
walter	walter
espanyol	spanyol
semmelweis	semmelweis
aula	osztályterem
2007	2007
afectat	érintett
pintura	festészet
anna	anna
roda	roda
2013	2013
habsburg	habsburg
sants	szentek
ha	ha
1947	1947
baix	alacsony
públic	közönség
social	társadalmi
festa	fesztivál
samsung	samsung
parcialment	részben
campionat	bajnokság
parlament	parlament
motor	motor
normativa	normatíva
pep	pep
quantitat	mennyiség
pèl	szőr
3000	3000
dins	belül
mobilitat	mobilitás
català	katalán
passeig	sétálás
venus	vénusz
típic	tipikus
lisboa	lisszabon
alcohol	alkohol
concert	koncert
catàleg	katalógus
concepte	koncepció
utilitzem	használjuk
finlàndia	finnország
gratuït	ingyenes
crític	kritikus
junts	együtt
reconeixement	elismerés
interior	belső
corda	korda
transició	átmenet
mestres	mesterek
expert	szakértő
estacions	állomások
estils	stílusok
reformat	református
menorca	menorca
1916	1916
metall	fém
geografia	geográfia
papal	pápai
àrabs	arabok
z	z
teoria	elmélet
edificis	épületek
provocar	provokálni
vicepresident	alelnök
eficient	hatékony
proximitat	közelség
washington	washington
impossible	lehetetlen
regles	szabályok
2001	2001
utilitzar	használni
1500	1500
votació	szavazás
friedrich	friedrich
persecució	üldözés
1984	1984
noruec	norvég
lloc	hely
extrem	szélsőség
regió	régió
tothom	mindenki
1962	1962
navegació	hajózás
fruita	gyümölcs
traduir	fordítani
monestir	kolostor
mètode	módszer
miskolc	miskolc
1980	1980
ajuntament	városháza
telèfon	telefon
àlbum	album
humanitat	emberiség
crisi	krízis
modalitat	modalitás
objectes	tárgyak
ciutat	város
david	dávid
favorit	kedvenc
malalt	beteg
piscina	fürdő
governador	kormányzó
possible	lehetséges
èxit	siker
hipòtesi	hipotézis
solidaritat	szolidaritás
copa	pohár
egipte	egyiptom
cinquanta	ötven
dotze	tizenkettő
zsuzsa	zsuzsa
corona	korona
televisió	televízió
suècia	svédország
mèxic	mexikó
família	család
presó	börtön
cuina	konyha
escola	iskola
2012	2012
110	110
bit	bit
ide	ide
palau	palota
1888	1888
illes	szigetek
esdeveniment	esemény
advocat	ügyvéd
mozart	mozart
premsa	sajtó
esport	sport
temes	témák
google	google
1908	1908
avantatges	előnyök
josep	józsef
façana	homlokzat
1988	1988
perfecte	tökéletes
expressió	kifejezés
vull	akarom
nosaltres	miénk
museus	múzeumok
espectador	néző
victòria	győzelem
propostes	javaslatok
abadia	apátság
front	front
almenys	legalább
estiu	nyár
llit	ágy
monjos	szerzetesek
conseqüències	következmények
crear	létrehozni
risc	kockázat
moliner	molnár
lliures	szabadok
recomanat	ajánlott
tradicional	hagyományos
sándor	sándor
lliurar	átadni
tancada	zárva
valència	valencia
mirar	nézni
clubs	klubok
rákóczi	rákóczi
abandonat	elhagyott
infraestructura	infrastruktúra
alimentació	táplálás
superior	felsőbb
gust	íz
específicament	kifejezetten
profund	mély
comprar	vásárolni
decret	dekrétum
ajudar	segíteni
pacte	paktum
informàtica	informatika
aquí	itt
ortodox	ortodox
fejér	fejér
rector	rektor
lliure	szabad
1861	1861
1990	1990
gossos	kutyák
pianista	zongorista
configuració	konfiguráció
iniciativa	kezdeményez
r	r
negociacions	tárgyalások
escenari	színpad
esdeveniments	események
profundament	mélyen
necessari	szükséges
2015	2015
alexandre	alexandre
mà	kéz
fresc	friss
invertit	fordított
bilbao	bilbao
germà	testvér
1922	1922
conduït	vezetett
dansa	tánc
mort	halál
natural	természetes
polonès	lengyel
j	j
especialment	különösen
u	ú
estudi	tanulmány
índex	index
n	n
e	e
temps	idő
missatges	üzenetek
polític	politikus
taller	műhely
valladolid	valladolid
inferior	alacsonyabb
decisions	döntések
girona	girona
gos	kutya
1963	1963
cultures	kultúrák
còpia	másolat
registrat	regisztrált
ciutadania	polgárság
sony	sony
sofia	szofi
vermell	vörös
1967	1967
famós	híres
africà	afrikai
administrador	adminisztrátor
president	elnök
lazar	lázár
comèdia	komédia
ideologia	ideológia
alemanys	németek
detalls	részletek
oposició	ellenzék
austràlia	ausztrália
curt	rövid
pont	híd
monarquia	monarchia
avió	repülőgép
investigació	kutatás
països	országok
compost	komposzt
lluitar	küzdeni
context	kontextus
consultor	tanácsadó
estil	stílus
1976	1976
virtual	virtuális
regnes	királyságok
2002	2002
arbres	fák
1937	1937
cúpula	kupola
somogy	somogy
diferent	eltérő
món	világ
memòria	emlékezet
palestina	palesztina
comerç	kereskedelem
nord-est	északkelet
proposta	javaslat
mortal	halálos
1871	1871
governamental	kormányzati
producció	produkció
norma	norma
mestre	mestere
maria	mária
carrer	utca
visió	látomás
grau	fokozat
gabriella	gabriella
1955	1955
ucraïna	ukrajna
amistat	barátság
màrqueting	marketing
frases	mondatok
institucions	intézmények
publicitat	reklám
complementari	kiegészítő
finn	finn
emocions	érzelmek
puntualment	pontosan
1994	1994
sor	sor
creixent	növekvő
missatge	üzenet
orbán	orbán
ofertes	ajánlatok
posicions	pozíciók
llegenda	legenda
2017	2017
paper	papír
teixit	szövet
hongarès	magyar
emocional	érzelmi
entorn	környezet
mestra	tanárnő
modificat	módosított
habitació	szoba
absolut	abszolút
tranquil	nyugodt
dissabte	szombat
-a	-a
excepció	kivétel
planta	növény
gairebé	majdnem
barroc	barokk
;	;
periodista	újságíró
gòtic	gótikus
conseqüència	következmény
1935	1935
programari	szoftver
viu	élő
biblioteques	könyvtárak
avís	értesítés
ràpid	gyors
brasil	brazília
o	o
àngel	angyal
percentatge	százalék
imperi	birodalom
sempre	mindig
roland	roland
superar	felülmúlni
garcia	garcia
promoció	promóció
soroll	zaj
març	március
ningú	senki
visitar	látogatni
cristià	keresztény
abril	április
inspiració	inspiráció
gmbh	gmbh
allotjament	szálláshely
perspectiva	perspektíva
ciutadà	polgár
habitacions	szobák
comunitats	közösségek
ronda	ronda
campió	bajnok
convocatòria	felhívás
pell	bőr
artistes	művészek
introducció	bevezetés
resistència	ellenállás
miklós	miklós
redactors	szerkesztők
preguntes	kérdések
diputat	képviselő
pacient	páciens
actual	aktuális
definir	definiálni
imdb	imdb
toc	tok
mesures	mértékek
ràdio	rádió
arquitectura	építészet
marbre	márvány
tasques	feladatok
usuari	felhasználó
vídeos	videók
obi	obi
joventut	ifjúság
rei	király
pintor	festő
laboratori	laboratórium
episodi	epizód
vida	élet
crònica	krónika
1981	1981
facebook	facebook
oblidar	elfelejteni
temporal	ideiglenes
presentació	bemutatás
llorenç	lőrinc
impuls	impulzus
igual	egyenlő
llengua	nyelv
peter	peter
aquests	ezek
general	általános
1848	1848
germana	nővér
model	modell
székely	székely
comentar	kommentálni
microsoft	microsoft
violí	hegedű
biblioteca	könyvtár
sòl	talaj
resultat	eredmény
capital	főváros
dones	nők
llengües	nyelvek
parlar	beszél
gat	macska
òpera	opera
han	han
signatura	aláírás
quatre	négy
històries	történetek
desenvolupar	fejleszteni
portuguès	portugál
demà	holnap
obrir	megnyitni
influència	befolyás
1925	1925
columnes	oszlopok
imperial	birodalmi
persa	perzsa
oferir	felajánlani
existent	létező
respostes	válaszok
diòcesi	egyházmegye
justícia	igazság
causar	okozni
fred	hideg
expressar	kifejezni
rècord	rekord
ala	szárny
organitzar	szervezni
referència	hivatkozás
situacions	helyzetek
mot	mot
inscripcions	feliratok
familiars	családtagok
cinquè	ötödik
fax	fax
religió	vallás
factor	faktor
estatal	állami
cavallers	lovagok
usuaris	felhasználók
contingut	tartalom
èpoques	korszakok
llibres	könyvek
tercer	harmadik
uruguai	uruguay
administració	adminisztráció
calendari	naptár
físic	fizikus
1974	1974
algun	valamelyik
príncep	herceg
començaments	kezdetek
caràcters	karakterek
individu	individuum
aplicacions	alkalmazások
castell	kastély
creixement	növekedés
refugi	menedékhely
música	zene
habilitats	képességek
venècia	velence
nokia	nokia
140	140
menjar	étkezni
difícil	nehéz
trianon	trianoni
metro	metró
sevilla	sevilla
tipus	típus
donació	adomány
interessant	érdekes
còmic	képregény
extra	extra
veneçuela	venezuela
debrecen	debrecen
comissió	bizottság
1868	1868
ratolí	egér
tatabánya	tatabánya
llits	ágyak
tercers	harmadikok
alternativa	alternatíva
vall	völgy
artificial	mesterséges
millor	jobb
programes	programok
ordinador	számítógép
solsona	szolnok
arribar	érkezni
desenvolupament	fejlődés
rafael	rafael
americans	amerikaiak
ciutadans	polgárok
pirineus	pireneusok
morts	halottak
província	tartomány
electrònica	elektronika
introduir	bevezetni
exposició	kiállítás
descriure	leírni
normal	normális
luxe	luxus
1910	1910
2006	2006
fase	fázis
altres	mások
aniversari	évforduló
episodis	epizódok
tècniques	technikák
pagar	fizetni
ficció	fikció
escultures	szobrok
1972	1972
clicar	kattintson
nuclear	nukleáris
versos	versek
rendiment	teljesítmény
projecte	projekt
llobregat	llobregat
permanent	állandó
estrangers	idegenek
bernat	bernát
debreceni	debreceni
congrés	kongresszus
professió	foglalkozás
blog	blog
baró	báró
2011	2011
democràcia	demokrácia
definitiu	végleges
interessos	érdekek
institució	intézmény
diferència	különbség
posició	pozíció
essencial	esszenciális
vehicle	jármű
perill	veszély
tres	három
espècie	faj
europa	európa
programa	program
espectacular	látványos
360	360
investigador	kutató
joves	fiatalok
1977	1977
frac	frakk
1938	1938
feble	gyenge
amic	barát
siga	siga
normes	normák
tecnològic	technológiai
repertori	repertórium
època	korszak
deu	tíz
actor	színész
escriptors	írók
expansió	terjeszkedés
101	101
renaixement	reneszánsz
terra	föld
interpretació	értelmezés
diàleg	párbeszéd
lukács	lukács
ribera	ribera
roger	roger
amenaça	fenyegetés
dificultat	nehézség
comte	gróf
argentina	argentína
imre	imre
sortida	kijárat
milions	milliók
galeria	galéria
vapor	gőz
1876	1876
escocès	skót
caça	vadászat
1891	1891
local	helyi
centre	középpont
1883	1883
infinit	végtelen
així	így
1898	1898
publicar	publikálni
escenes	jelenetek
comunista	kommunista
mitologia	mitológia
professionals	szakemberek
joan	jános
asteroide	aszteroida
donar	adományozni
suís	svájci
principalment	főképpen
esglésies	templomok
poesia	költészet
independència	önállóság
nena	kislány
enterrat	eltemetett
1941	1941
art	művészet
jones	jones
kecskemét	kecskemét
biològic	biológiai
lluís	lászló
bartók	bartók
viatges	utazások
vuit	nyolc
1880	1880
àsia	ázsia
projectes	projektek
ciclista	kerékpáros
comandant	parancsnok
fidesz	fidesz
disc	diszk
llac	tó
my	my
importants	fontosak
representa	képviseli
berlín	berlini
estrella	csillag
cristina	krisztina
gimnàs	gimnázium
pedro	pedro
futbolista	labdarúgó
1991	1991
ivan	iván
pluja	eső
mediterrani	mediterrán
ricard	richárd
polítiques	politikák
revistes	folyóiratok
h	h
marta	márta
pop	pop
símbols	szimbólumok
solució	megoldás
macedònia	macedónia
literari	irodalmi
primavera	tavasz
no	nem
constitució	alkotmány
veure	látni
barcelona	barcelona
matemàtiques	matematika
directament	közvetlenül
exèrcits	hadseregek
aragó	aragón
governar	kormányozni
hongaresos	magyarok
octubre	október
cost	koszt
dents	fogak
signar	aláírni
1912	1912
màquines	gépek
gamma	gamma
naturalment	természetesen
canviar	változtatni
dilluns	hétfő
afegir	hozzáadni
antal	antal
mb	mb
feliç	boldog
agnès	ágnes
condicions	feltételek
dimecres	kedd
som	som
dieta	diéta
professional	profi
fases	fázisok
turístic	turisztikai
londres	london
tarragona	tarragona
oportunitat	lehetőség
galícia	galícia
secundari	mellékes
acusat	vádlott
1958	1958
dvd	dvd
oxigen	oxigén
servei	szolgálat
esquerra	baloldal
turcs	törökök
rússia	oroszország
derrota	vereség
na	na
extraordinari	rendkívüli
1926	1926
artista	művész
zones	zónák
músics	muzsikusok
contemporani	kortárs
escoles	iskolák
oxford	oxford
algú	valaki
síria	szíria
fòrum	fórum
edat	életkor
abd	abd
1927	1927
república	köztársaság
revolta	lázadás
sentiment	érzelem
1882	1882
fronteres	határok
informació	információ
gratuïtament	ingyenesen
cinc	öt
nacional	nemzeti
específic	specifikus
unitat	egység
cent	cent
diccionari	szótár
fernando	fernando
espanyols	spanyolok
ruïnes	romok
anàlisi	analízis
1932	1932
originàriament	eredetileg
estètica	esztétika
electrònic	elektronikus
farmàcia	gyógyszertár
consells	tanácsok
famílies	családok
flors	virágok
segon	második
wiki	wiki
aigua	víz
trenta	harminc
viatjar	utazni
reservar	foglalni
intensitat	intenzitás
protecció	védettség
perdre	veszíteni
realitat	valóság
2003	2003
oral	orális
disney	disney
atacar	támadni
mínim	minimális
òrgans	orgonák
manteniment	karbantartás
1983	1983
dijous	csütörtök
probable	valószínű
personalment	személyesen
estudis	tanulmányok
teva	teva
contrari	ellentétes
pasta	tészta
solucionar	megoldani
romans	rómaiak
escòcia	skócia
1919	1919
conegut	ismert
amics	barátok
confiança	bizalom
equilibri	egyensúly
desert	sivatag
asseguradora	biztosító
següent	következő
shakespeare	shakespeare
enemics	ellenségek
desaparició	eltűnés
actriu	színésznő
text	szöveg
eva	eva
2014	2014
funcionaris	hivatalnokok
ocupar	elfoglalni
liceu	líceum
habitant	lakos
1921	1921
illa	sziget
sentit	érzés
llet	tej
inscripció	beiratkozás
creador	létrehozó
▪	▪
continuar	folytatni
visible	látható
vídeo	videó
abba	abba
otp	otp
permís	engedély
-8,5	-8,5
dimensió	dimenzió
cafè	kávéház
finestres	ablakok
nadal	karácsony
tancat	bezárt
identitat	identitás
tensió	feszültség
actualitat	aktualitás
zona	zóna
ferrocarril	vasút
comunicació	kommunikáció
èxits	sikerek
grups	csoportok
catalunya	katalónia
sebastià	sebastián
entrada	bejárat
ucraïnès	ukrán
fortalesa	erősség
ombra	árnyék
gps	gps
mineral	ásvány
aquest	ezt
noies	lányok
edifici	épület
italià	olasz
pista	pista
ciutats	városok
takács	takács
blocs	blokkok
desconegut	ismeretlen
operatiu	operatív
1918	1918
viatgers	utazók
gradualment	fokozatosan
guió	forgatókönyv
1915	1915
malaltia	betegség
-10,5	-10,5
nord-americà	észak-amerikai
contra	kontra
alfons	alfonz
tisza	tisza
recent	recent
viatge	utazás
missions	missziók
mamífers	emlősök
virus	vírus
sisè	hatodik
1942	1942
1970	1970
paraula	szó
maig	május
napoleó	napóleon
dissenyar	tervezni
2005	2005
presidential	elnöki
península	félsziget
organització	szervezet
mesura	mértéke
donant	adományozó
humor	humor
soviètic	szovjet
2009	2009
boca	száj
1954	1954
cerimònia	ceremónia
sectors	szektorok
solucions	megoldások
colònies	kolóniák
treballar	dolgozni
jazz	dzsessz
clàssics	klasszikusok
juny	június
1894	1894
fa	fa
oceà	óceán
coneixements	ismeretek
existència	létezés
guerres	háborúk
exposicions	kiállítások
titular	címzetes
malalties	betegségek
calor	melegség
occidental	nyugati
descobrir	felfedezni
reina	királynő
crítics	kritikusok
suficient	elégséges
generals	tábornokok
giuseppe	giuseppe
clic	klik
avançar	haladni
naixement	születés
colors	színek
tècnic	technikus
b	b
definició	definíció
concretament	konkrétan
magatzem	raktár
altar	oltár
1860	1860
carta	levelet
nens	gyerekek
secció	szekció
policia	rendőrség
fotografies	fényképek
millorar	javulni
lectura	olvasás
capella	kápolna
segur	biztos
mecanisme	mechanizmus
grècia	görögország
tradició	hagyomány
joc	játék
pobres	szegények
1997	1997
registre	regiszter
1897	1897
colònia	kolónia
cementiri	temető
traduït	fordítva
consell	tanács
mica	mica
independent	független
associacions	egyesületek
1889	1889
evangèlic	evangélikus
1969	1969
1892	1892
ignasi	ignác
prohibit	tilos
zrínyi	zrínyi
perillós	veszélyes
seriosament	komolyan
ample	széles
corrupció	korrupció
aquitània	aquitánia
història	történelem
németh	németh
destacat	kiemelkedő
vaixells	hajók
agent	ügynök
usb	usb
continuïtat	folytonosság
socialistes	szocialisták
dormir	aludni
objecte	tárgy
organitzacions	szervezetek
biografia	életrajz
sucre	cukor
1886	1886
funció	funkció
socialista	szocialista
principat	hercegség
canvi	változás
continuació	folytatás
trobada	találkozás
lingüística	nyelvészet
espiritual	spirituális
lletra	betű
bàsicament	alapvetően
format	formátum
casa	ház
executiu	végrehajtó
conseller	tanácsos
campanar	harangtorony
toledo	toledo
super	super
vàlid	érvényes
pilot	pilóta
receptes	receptek
poder	hatalom
resposta	válasz
capítol	fejezet
combinació	kombináció
unívoc	egyértelmű
cable	kábel
p	p
responsables	felelősök
títol	cím
ministre	miniszter
jove	fiatal
innovació	innováció
avantatge	előny
rural	falusi
despatx	iroda
professors	professzorok
fama	hírnév
sultà	szultán
1943	1943
musulmans	muzulmánok
vidre	üveg
2000	2000
aproximadament	közelítőleg
opció	opció
anglesos	angolok
activitat	tevékenység
1911	1911
reforma	reformáció
bronze	bronz
disseny	tervezés
dinar	dinár
capità	kapitány
regne	királyság
universitat	egyetem
mapa	térkép
visitants	látogatók
wikipèdia	wikipédia
seguretat	biztonság
categoria	kategória
acadèmia	akadémia
tona	tonna
cursa	futam
qualsevol	bármilyen
espasa	kard
assassinat	gyilkosság
1928	1928
actors	színészek
integral	integrál
veí	szomszéd
conflicte	konfliktus
alcalde	polgármester
rar	ritka
línia	vonal
freqüentment	gyakran
1903	1903
màgia	mágia
alfred	alfréd
barris	kerületek
budapest	budapest
