führer	вождь
abhängig	зависимый
marina	марина
variante	вариант
york	йорк
poly	poly
herbst	осень
instrument	инструмент
oldenburg	ольденбург
felix	феликс
florian	флориан
beispiele	примеры
göttingen	гёттинген
besser	лучше
warschau	варшава
eis	лёд
holz	древесина
koblenz	кобленц
lehrkräfte	преподаватели
erinnerungen	воспоминания
morgens	утром
juden	евреи
gesicht	лицо
ursachen	причины
julia	юлия
diplomat	дипломат
stil	стиль
paris	париж
isbn	isbn
meer	море
freiheit	svoboda
kompositionen	композиции
gemälde	картина
villa	вилла
besuch	визит
halb	полу
werkstatt	мастерская
arbeiten	работать
umfang	обхват
kloster	монастырь
leser	читатель
verluste	убытки
engel	ангел
luftwaffe	воздушные
enzyklopädien	энциклопедии
kombination	комбинация
tätigkeit	деятельность
macht	власть
redaktion	редакция
marburg	марбург
klima	климата
stärke	сила
jahrhundert	век
asteroid	астероид
handeln	торговать
theologe	теолог
freiburg	фрайбург
uni	uni
sterben	умирать
organisiert	организованный
bistum	епископство
witwe	вдова
amsterdam	амстердам
heiliger	святой
liegen	лежать
leutnant	лейтенант
jesus	иисус
gewinnt	выигрывает
gräfin	графиня
buchstaben	буквы
besitzen	владеть
präsident	президент
bildhauer	скульптор
spiele	игры
lehrer	учитель
leben	жизнь
fliegen	летать
unentschieden	ничья
augsburg	аугсбург
blick	взгляд
praktika	практика
ukrainisch	украинский
modern	модерн
dienstleistungen	услуги
oxford	оксфорд
königreich	королевство
stuttgart	штутгарт
fürstentum	княжество
olga	ольга
ursache	причина
dokumentation	документация
wasser	вода
königlich	королевский
parameter	параметр
möchte	хочет
hund	собака
laboratorien	лаборатории
foto	фото
erklären	объяснять
schablonen	шаблоны
laut	громкий
linke	левая
pennsylvania	пенсильвания
ludwig	людвиг
dynastie	династия
van	ван
veröffentlichung	публикация
kommentare	комментарии
einfach	просто
realität	реальность
geben	давать
professioneller	профессиональный
schmidt	шмидт
pseudonym	псевдоним
kathedrale	собор
lizenz	лицензия
giovanni	джованни
pflanze	растение
stehen	стоять
david	давид
leicht	легкий
staatliche	государственная
klasse	класс
fakultät	факультет
geschützt	защищенный
landschaft	ландшафт
sammeln	собирать
gefangenschaft	плен
reisen	путешествовать
assistent	ассистент
dame	дама
arbeiter	рабочий
beschreibt	описывает
indiana	индиана
umgeben	окружать
stellvertreter	заместитель
schottland	шотландия
wald	лес
sieger	победитель
richard	ричард
sergej	сергей
drittel	треть
,	,
jazz	джаз
kanada	канада
müller	мюллер
zuviel	слишком
verstärkt	усиленный
dolgen	должен
fuchs	лис
sportler	спортсмен
widerstand	сопротивление
wissenschaften	науки
lesen	читать
tempo	темп
zeichen	знак
folglich	следовательно
kaufte	купил
autobahn	автобан
königin	королева
programm	программа
christian	христиан
forum	форум
ecke	угол
ferdinand	фердинанд
dynamo	динамо
bibel	библия
identifikator	идентификатор
kolonie	колония
fulda	фульда
nhl	nhl
sicherung	обеспечение
chemie	химия
offiziell	официальный
kollektiv	коллектив
langsam	медленно
schwach	слабый
ärzte	врачи
%be%d	%be%d
büro	бюро
september	сентябрь
disk	диск
kultur	культура
schnell	schnell
vorbereitung	подготовка
technik	техника
anwendung	применение
max	макс
toni	тони
spieler	игрок
erreichen	достигнуть
bewertung	оценка
november	ноябрь
fahrer	водитель
nikolajewitsch	николаевич
verwendung	употребление
suchen	искать
verzeichnis	verzeichnis
mein	мой
erkennbar	узнаваемый
hand	рука
beitrag	beitrag
eigenschaften	свойства
bauen	строить
lat_deg	lat_deg
raum	пространство
stadt	gorod
geist	дух
malerei	живопись
minnesota	миннесота
konflikt	конфликт
original	оригинал
aufgaben	задачи
mainz	майнц
gericht	суд
jede	каждая
juli	июль
köln	кёльн
typisch	типичный
kino	кино
nicht	нет
achievements	достижения
post	пост
bernard	бернард
messe	месса
iso	iso
uhr	часы
persönlichkeiten	личности
fassade	фасад
absolventen	выпускники
jäger	охотник
gelesen	прочитано
spanisch	испанский
information	информация
kalifornien	калифорния
brigade	бригада
abt	абт
gang	ганг
näher	ближе
bewusst	сознательный
infobox	инфобокс
indizes	индексы
interwikis	интервики
ausdruck	выражение
umgebung	окрестность
bataillon	батальон
fabrik	фабрика
priester	priest
flotte	флот
nachrichten	nachrichten
pokal	кубок
dienen	служить
analyse	анализ
jakob	яков
tanz	танец
altar	алтарь
erklärung	объяснение
zeitschriften	журналы
fritz	фриц
maler	maler
untersuchungen	исследования
berlin	берлин
fjodorowitsch	фёдорович
australien	австралия
entfernt	удаленный
konkurrenz	конкуренция
braunschweig	брауншвейг
männlich	мужской
versteht	понимает
jury	жюри
wie	как
januar	январь
georg	георгий
neun	девять
beispiel	пример
planung	планирование
verkauft	проданный
lp	lp
werbung	реклама
ziel	цель
bucht	бухта
vertrag	договор
film	фильм
technologie	технология
norwegen	норвегия
aktuell	актуальный
sydney	сидней
verbindet	соединяет
filip	филипп
meinung	мнение
flügel	крыло
erlaubnis	разрешение
kontrakt	контракт
roland	роланд
freund	друг
thomas	томас
milliarden	миллиарды
anhänger	прицеп
entscheidend	решающий
wollte	хотел
brief	brief
fotografie	фотография
motor	мотор
vaterländische	отечественная
domäne	домен
spektakel	спектакль
modell	модель
portal	портал
tiere	животные
feuer	огонь
maximilian	максимилиан
partei	партия
ergebnis	результат
sport	спорт
glück	счастье
österreich	австрия
dach	крыша
dm	dm
paderborn	падерборн
weise	мудрый
hildesheim	hildesheim
fotograf	фотограф
kommission	комиссия
russland	россия
haus	дом
bibliothek	библиотека
wissenschaft	наука
evangelisch	евангелический
gymnasium	гимназия
plus	плюс
eingang	вход
lon_min	lon_min
charakter	характер
begraben	похоронен
wettkämpfe	соревнования
sterne	звезды
endgültig	окончательный
zitat	цитата
jurij	юрий
beobachten	наблюдать
autor	автор
andrejewitsch	андреевич
japanisch	японский
frage	вопрос
glas	стекло
fussball	футбол
nutzer	пользователь
vorgänger	предшественник
vergleichbar	сравнимый
erwartet	ожидает
anmerkungen	заметки
musikalisch	музыкальный
schreiben	писать
plan	план
schiff	корабль
erwähnung	упоминание
pianist	пианист
anforderungen	требования
allmählich	постепенно
daten	данные
zentimeter	сантиметр
rekord	рекорд
vergangenheit	прошлое
kassel	кассель
lernen	учиться
rückwärts	назад
format	формат
historiker	историк
herzogtum	герцогство
kritik	критика
bewaffnung	вооружение
verbessern	улучшать
karl	карл
nürnberg	нюрнберг
württemberg	вюртемберг
kämpfen	бороться
autoconfirmed	autoconfirmed
minister	министр
zeichnungen	рисунки
redakteur	редактор
beliebtheit	популярность
unabhängig	независимый
fähigkeit	способность
general	генерал
krone	корона
militärisch	военный
verstehe	понимаю
biologie	биология
verhalten	поведение
tübingen	тюбинген
kathedra	кафедра
heidelberg	гейдельберг
beschreiben	описывать
genau	точно
robert	роберт
historischer	исторический
kavalier	кавалер
drei	три
leer	пустой
korrespondent	корреспондент
gouverneur	губернатор
tunnel	туннель
lager	лагерь
stefan	стефан
infrastruktur	инфраструктура
recht	право
ehefrau	супруга
varianten	варианты
architekt	архитектор
entfernen	удалить
anfang	начало
eigentümer	владелец
manuel	мануэль
florenz	флоренция
schablone	шаблон
computer	компьютер
neapel	неаполь
ansprüche	претензии
säuren	кислоты
spielen	играть
entwickelung	развитие
frankreich	франция
erbe	наследство
städtisch	городской
materialien	материалы
jeder	каждый
spanien	испания
roger	roger
volkszählung	перепись
tür	дверь
unmöglich	невозможно
moskau	москва
hessen	гессен
alexandra	александра
wunsch	желание
leiden	страдать
vorstellungen	представления
besitz	владение
presse	пресса
eugenia	евгения
abend	вечер
franz	франц
herz	сердце
temperatur	температура
statistik	статистика
japan	япония
alexandrowna	александровна
dein	твой
medizinische	медицинская
sand	песок
natürlich	естественно
preliminary	предварительный
geographie	география
staatliches	государственное
mutter	мать
figur	фигура
möglicherweise	возможно
arena	арена
hoch	высокий
buch	бух
arbeit	труд
akademie	академия
konstruktion	конструкция
rechts	правый
eva	ева
anschluss	аншлюс
wiesbaden	висбаден
stimme	голос
syndrom	синдром
zeitung	газета
autoren	авторы
unzureichend	недостаточно
deine	твоя
bamberg	бамберг
gefängnis	тюрьма
forderte	потребовал
anlass	повод
frankfurter	frankfurter
jugendliche	молодёжный
krankheit	болезнь
häufig	часто
kritisiert	критикует
kolonien	колонии
erwin	эрвин
mord	убийство
zukunft	будущее
sergejewitsch	сергеевич
ausgang	выход
ddr	ddr
adam	adam
schön	красивый
automobil	автомобиль
alexander	alexander
bestimmen	определять
liebe	любовь
vogel	птица
mythologie	мифология
verleger	издатель
bürgermeister	бургомистр
physik	физика
fünf	пять
pädagoge	педагог
berliner	берлинер
integration	интеграция
nato	nato
verlag	издательство
partner	партнер
elf	эльф
mark	марка
akademiker	академик
besaß	владел
aufmerksam	внимательный
unerwartet	неожиданно
könig	король
profil	профиль
kooperation	кооперация
unverzüglich	немедленно
innsbruck	инсбрук
dynamik	динамика
pawel	павел
eparchie	епархия
mauer	стена
sphäre	сфера
fort	форт
apr	apr
chef	шеф
amerikaner	американец
gesetze	законы
gewissen	совесть
ulrich	ульрих
luther	лютер
kristalle	кристаллы
präfektur	префектура
sieben	семь
fällt	падает
planeten	планеты
entdeckungen	открытия
april	апрель
schneller	быстрее
dj	диджей
hugo	hugo
ivan	иван
unabhängigkeit	независимость
phrasen	фразы
dietrich	dietrich
bedingungen	условия
dresden	дрезден
protokoll	протокол
operator	оператор
chemiker	химик
ausnahme	исключение
potsdam	потсдам
sängerin	певица
musik	музыка
argument	аргумент
viertelfinale	четвертьфинал
zentrum	центр
direktor	директор
existenz	существование
tschechien	чехия
tor	тор
basketball	баскетбол
thema	тема
charlotte	шарлотта
lemma	лемма
manager	менеджер
fakten	факты
tausend	тысяча
technologien	технологии
situation	ситуация
literatur	literatura
kommentar	комментарий
prospekt	проспект
gesandtschaft	посольство
kroatien	хорватия
schiedsrichter	судья
japanische	японская
barcelona	барселона
sternbild	созвездие
anfängt	начинается
gerhard	герхард
enzyklopädisch	энциклопедический
zar	царь
zyklus	цикл
konstanz	констанция
bergen	берген
png	png
kabinett	кабинет
papier	бумага
weg	путь
veröffentlichungen	публикации
lat_sec	lat_sec
doktor	доктор
theologie	теология
journalist	журналист
schwierigkeiten	трудности
feld	поле
tabelle	таблица
gold	золото
prinzip	принцип
linien	линии
schriftstellerin	писательница
bmw	bmw
prüfungen	испытания
neuer	новый
wörterbuch	словарь
sekretär	секретарь
typ	тип
entfernung	расстояние
dritter	третий
rheinland	рейнланд
möglichkeit	возможность
schema	схема
parlament	парламент
sergeant	сержант
durchmesser	диаметр
zeigen	показывать
international	международный
oleg	олег
evangelischen	евангельских
festung	крепость
allgemeiner	общий
struktur	структура
viertel	четверть
positiv	положительный
synonym	синоним
konstantinowitsch	константинович
kanton	кантон
ulm	ульм
jugend	молодёжь
rudolf	рудольф
identisch	идентичен
reihen	ряды
institut	институт
holstein	гольштейн
block	блок
therapie	терапия
offensichtlich	очевидно
berg	гора
bayerische	баварская
blatt	лист
index	индекс
dokumentar	документальный
minsk	минск
prag	prag
griff	гриф
ips	ips
unesco	unesco
system	система
würzburg	вюрцбург
wellen	волны
las	лас
stockholm	стокгольм
koordinaten	координаты
später	позже
staatlich	государственный
antworten	отвечать
albrecht	альбрехт
schewtschenko	шевченко
familie	семья
inhalt	содержание
hollywood	голливуд
hilfe	помощи
vorschläge	предложения
verboten	запрещённый
zwölf	двенадцать
fonds	фонд
kandidatur	кандидатура
dezember	декабрь
monate	месяцы
machen	сделать
architektur	архитектура
zusätzlich	дополнительно
hochzeit	свадьба
kreuz	крест
jährlich	ежегодно
akademien	академии
dissertation	диссертация
zitiert	цитируется
produkt	продукт
werte	ценности
klassische	классическая
christus	христос
ludmilla	людмила
jura	юра
islam	ислам
konkret	конкретно
februar	февраль
jakowlewitsch	яковлевич
oktober	октябрь
wachsen	расти
kosmos	космос
begriff	понятие
versammlung	собрание
linux	линукс
energie	энергия
senator	сенатор
übereinkunft	соглашение
konferenz	конференция
religion	религия
erfolge	успехи
rose	роза
budapest	будапешт
chor	хор
brüssel	брюссель
formal	формальный
vorteil	преимущество
walther	валтер
linie	линия
klinik	клиника
spiegel	зеркало
benutzen	пользоваться
zeitweilig	временно
teilen	разделять
eindeutig	однозначно
theater	театр
interview	интервью
verheiratet	замужем
korps	корпус
gespräch	разговор
erfolgreich	успешный
the	the
angriff	нападение
ähnlich	похожий
grad	градус
besonderer	besonderer
karlsruhe	карлсруэ
gesetz	закон
iwanowitsch	иванович
adler	орёл
krieg	война
politiker	политик
fehler	ошибка
din	дин
josé	josé
soldaten	солдаты
leipzig	лейпциг
%bd%d	%bd%d
warteschlange	очередь
schwester	сестра
lat_min	lat_min
medaille	медаль
breslau	бреславль
satellit	спутник
schicksal	судьба
einleitung	введение
konstruktionen	конструкции
löwe	лев
diesem	этому
youtube	ютуб
erinnerung	воспоминание
verbreitung	распространение
august	август
lokomotiven	локомотивы
clemens	clemens
archiv	архив
konrad	конрад
tief	глубокий
verdienste	заслуги
abs	абс
if	если
republik	республика
karte	карта
ritter	рыцарь
belgien	бельгия
brücke	мост
florida	florida
ereignis	событие
english	английский
schrift	шрифт
istanbul	istanbul
interessant	интересный
quellen	источники
mexiko	мексика
beobachtungen	наблюдения
photographien	фотографии
weißrussisch	белорусский
hoffnung	надежда
niemand	никто
amerikanisch	американский
aufgabe	задача
wahrnehmung	восприятие
fjodor	фёдор
glauben	верить
wichtig	важный
philosoph	философ
volkstümlich	народный
wahrheit	истина
wikipedia	википедия
umbenennung	переименование
kontakte	контакты
friedhof	кладбище
sprint	спринт
methode	метод
feuerwehr	пожарная
umbenannt	переименованный
ersetzen	заменять
horn	рог
sachsen	саксония
abkürzung	сокращение
solid	солид
rektor	ректор
fraktion	фракция
übersetzer	переводчик
territorium	территория
töchter	дочери
beschrieben	описанный
nähe	близость
gott	бог
bot	бот
amerika	америка
bearbeitung	обработка
halbfinale	полуфинал
weiter	дальше
produzent	продюсер
maße	меры
schließt	закрывает
gitarrist	гитарист
drama	драма
besucher	посетитель
punkte	пункты
fürstentümer	княжества
verkauf	продажа
anerkennung	признание
peking	пекин
period	период
genre	жанр
lösung	решение
metro	метро
schlaginstrumente	ударные
durchbruch	прорыв
lon_sec	lon_sec
blau	синий
profession	профессия
luft	воздух
studio	студия
berichte	berichte
falsch	ложный
zimmer	комната
museen	музеи
volk	народ
adolf	адольф
bbc	bbc
kräfte	силы
helfen	помогать
vater	отец
front	фронт
tausende	тысячи
hinzufügen	добавить
disziplin	дисциплина
kanal	канал
soldat	солдат
frankfurt	frankfurt
industrie	промышленность
moritz	мориц
sprach	язык
sitzen	сидеть
rezeption	рецепция
fluss	река
flughafen	аэропорт
untersucht	исследуется
vergessen	забыть
konstantin	константин
medizin	медицина
wohin	куда
enzyklopädie	enciklopedija
technischer	технический
stanislaw	станислав
notwendigkeit	необходимость
produkte	продукты
märz	март
park	парк
mauern	стены
abbildungen	изображения
leonid	леонид
gibt	дает
nebenflüsse	притоки
verkaufen	продавать
afrika	африка
diskutieren	дискутировать
form	форма
fürst	князь
erziehung	воспитание
verbot	запрет
