hagyni	deixar
nemzet	nació
hidrogén	hidrogen
gróf	comte
eduárd	eduard
énekelni	cantar
alkalmazás	aplicació
elektromos	elèctric
érem	medalla
nyilatkozat	declaració
előny	avantatge
1959	1959
létező	existent
diktatúra	dictadura
sport	esport
szoftver	programari
aludni	dormir
diszk	disc
gyártó	fabricant
semmelweis	semmelweis
valladolid	valladolid
szalon	saló
gépek	màquines
kanadai	canadenca
debrecen	debrecen
nap	dia
angola	angola
falusi	rural
barátság	amistat
mobilitás	mobilitat
herceg	príncep
víz	aigua
módosított	modificat
trón	tron
itt	aquí
egyértelmű	unívoc
mély	profund
ázsia	àsia
1904	1904
fantasztikus	fantàstic
oktatás	educació
program	programa
megmentő	salvador
dokumentum	document
nézők	espectadors
quasi	quasi
kislány	nena
ü	ü
érkeznek	arriben
vilmos	vilmos
faj	espècie
személy	persona
inspiráció	inspiració
futam	cursa
kiállítások	exposicions
angyal	àngel
garcia	garcia
oszlop	columna
alapítók	fundadors
angolok	anglesos
termes	termes
1892	1892
változtatni	canviar
luxus	luxe
kápolna	capella
adomány	donació
alternatív	alternatiu
titkos	secret
közelítőleg	aproximadament
végrehajtás	execució
sikerek	èxits
isbn	isbn
1879	1879
útikalauz	guia
dolgozott	treballava
terasz	terrassa
halálos	mortal
1923	1923
aláírt	signat
meghatározni	determinar
kémikus	químic
1883	1883
történetek	històries
szükség	necessitat
szöveg	text
kihalás	extinció
április	abril
rabszolgák	esclaus
menü	menú
-8,5	-8,5
stratégiai	estratègic
politikus	polític
mondat	frase
találkozni	trobar-se
paletták	paletes
1876	1876
eltűnt	desaparegut
hibák	errors
adrián	adrià
egyetemi	universitari
kritikusok	crítics
páciensek	pacients
folytatás	continuació
ország	país
kedd	dimecres
v	v
használjuk	utilitzem
jelenetek	escenes
alapítvány	fundació
programok	programes
minimális	mínim
1930	1930
wiki	wiki
macedónia	macedònia
firenze	florència
nemes	noble
bezárt	tancat
nézni	mirar
velence	venècia
macska	gat
korrupció	corrupció
fejezetek	capítols
ellenségek	enemics
mestere	mestre
tendencia	tendència
méter	metre
dolgok	coses
görög	grec
t	t
lovag	cavaller
látni	veure
szobák	habitacions
börtön	presó
békés	pacífic
1926	1926
csaba	csaba
akarom	vull
koncepció	concepte
vallás	religió
2001	2001
zenész	músic
nyugodt	tranquil
1979	1979
1915	1915
cím	títol
adminisztrátor	administrador
vörös	vermell
múzeumok	museus
század	centúria
egyetem	universitat
elveszett	perdut
hivatalnokok	funcionaris
valószínű	probable
halak	peixos
megbízatás	encàrrec
máté	mateu
pozíció	posició
virágok	flors
országok	països
tapasztalatok	experiències
eltűnés	desaparició
jólét	benestar
érzelmi	emocional
atmoszféra	atmosfera
mások	altres
szomszéd	veí
kanada	canadà
északkelet	nord-est
szavak	paraules
usb	usb
ribera	ribera
mica	mica
zaj	soroll
igazgató	director
miskolc	miskolc
1969	1969
állomás	estació
báró	baró
állatok	animals
értékelés	avaluació
elegáns	elegant
hem	hem
katalánok	catalans
mena	mena
milliók	milions
google	google
oroszország	rússia
történelem	història
klasszikus	clàssic
magyar	hongarès
elégséges	suficient
wi-fi	wi-fi
előzmény	antecedent
egyenlően	igualment
második	segon
litvánia	lituània
teva	teva
sorra	sorra
helyzetek	situacions
mélység	profunditat
érdeklődés	interès
kálmán	kálmán
1920	1920
menedékhely	refugi
diákok	estudiants
pilóta	pilot
halál	mort
járás	comarca
meghalni	morir
európai	europeu
okozni	causar
székely	székely
basa	basa
nintendo	nintendo
dupla	doble
katalógus	catàleg
1947	1947
szekció	secció
talaj	sòl
specifikus	específic
kérdések	preguntes
unesco	unesco
offenzíva	ofensiva
tehetség	talent
önállóság	independència
eredmény	resultat
kombináció	combinació
isten	déu
németek	alemanys
terápia	teràpia
1861	1861
bretagne	bretanya
zene	música
esszenciális	essencial
jelenlét	presència
hétfő	dilluns
karakter	caràcter
középpont	centre
evangélikus	evangèlic
konferencia	conferència
műveletek	operacions
mechanizmus	mecanisme
állat	animal
mb	mb
harmadik	tercer
kecskemét	kecskemét
nevezni	anomenar
fordított	invertit
molnár	moliner
balogh	balogh
táblák	taules
települések	poblacions
pedro	pedro
petersburg	petersburg
fehérjék	proteïnes
fidesz	fidesz
fejér	fejér
december	desembre
imdb	imdb
1997	1997
kutatók	investigadors
november	novembre
alfonz	alfons
keverék	barreja
edző	entrenador
alkohol	alcohol
eötvös	eötvös
1946	1946
hálózatok	xarxes
háború	guerra
1887	1887
tökéletes	perfecte
menorca	menorca
terjeszkedés	expansió
kijárat	sortida
euró	euro
alfréd	alfred
hatás	efecte
afrikai	africà
magyarok	hongaresos
károly	károly
keresztény	cristià
akadémia	acadèmia
roger	roger
áldozatok	víctimes
turisztikai	turístic
pep	pep
kritikus	crític
projektek	projectes
normálisan	normalment
egyenlő	igual
ősz	tardor
eljárások	procediments
tó	llac
testvérek	germans
hatalom	poder
tanácsadó	consultor
utcák	carrers
lovagok	cavallers
friss	fresc
republikánus	republicà
ment	ment
dinamika	dinàmica
haza	pàtria
művészet	art
titkár	secretari
kreatív	creatiu
végre	finalment
címe	adreça
típus	tipus
sötét	fosc
zsigmond	sigismund
naptár	calendari
emlősök	mamífers
@	@
etikett	etiqueta
tárgy	objecte
-10,5	-10,5
diéta	dieta
irak	iraq
parlament	parlament
nehézség	dificultat
üzenetek	missatges
értékek	valors
ú	u
g	g
növelni	augmentar
ingyenes	gratuït
argentína	argentina
szentély	santuari
orvos	metge
krisztina	cristina
szabvány	estàndard
alacsonyabb	inferior
románia	romania
ilona	ilona
kávéház	cafè
védelmezni	protegir
képviselni	representar
foglalkozás	professió
oltár	altar
1917	1917
vállalatok	empreses
segíteni	ajudar
ago	ago
hegedű	violí
facebook	facebook
animáció	animació
írni	escriure
osztrák	austríac
pecsét	segell
jeruzsálem	jerusalem
alacsony	baix
következmény	conseqüència
újdonságok	novetats
bizottság	comissió
konkrét	concret
kattintson	clicar
résztvevők	participants
képviseli	representa
alak	forma
utazni	viatjar
kék	blau
kutya	gos
fülöp	felipe
kockázat	risc
tartományok	províncies
energia	energia
biztosítani	assegurar
leszek	seré
fernando	fernando
étterem	restaurant
kémia	química
járművek	vehicles
költemény	poema
turizmus	turisme
miénk	nosaltres
kontextus	context
képviselő	diputat
filozófus	filòsof
1884	1884
csend	silenci
1967	1967
általános	general
szektorok	sectors
eljárás	procediment
listák	llistes
divat	moda
emlékezet	memòria
invázió	invasió
univerzális	universal
kultúra	cultura
rákóczi	rákóczi
kommentár	comentari
melegség	calor
szokásos	habitual
definiálni	definir
e	e
lőrinc	llorenç
törvényhozás	legislació
felszín	superfície
rodriguez	rodríguez
történetíró	historiador
részben	parcialment
győzelem	victòria
1848	1848
jézus	jesús
probléma	problema
könyv	llibre
motorok	motors
szabad	lliure
zongorista	pianista
látogatók	visitants
sivatag	desert
érzés	sentit
színház	teatre
reformok	reformes
felfedezés	descobriment
jordi	jordi
javasolni	proposar
1934	1934
2007	2007
cukor	sucre
bejutni	entrar
1871	1871
állam	estat
írország	irlanda
elfoglalt	ocupat
1994	1994
index	índex
május	maig
von	von
internet	internet
miguel	miguel
elektronika	electrònica
receptek	receptes
magyarázni	explicar
2006	2006
pozíciók	posicions
agy	cervell
jacques	jacques
2004	2004
vereség	derrota
funkció	funció
london	londres
leírás	descripció
samsung	samsung
fák	arbres
modell	model
fázis	fase
tudatosság	consciència
1905	1905
konfiguráció	configuració
fiatal	jove
ritka	rar
1963	1963
2005	2005
debreceni	debreceni
február	febrer
vélemény	opinió
segítség	ajuda
házas	casat
eva	eva
következmények	conseqüències
potenciális	potencial
vendéglátás	hostaleria
veszteség	pèrdua
politika	política
technika	tècnica
helyzet	situació
tanulmány	estudi
ezt	aquest
ideiglenes	temporal
versenyek	competicions
plébánia	parròquia
tipikus	típic
fokozat	grau
akarat	voluntat
koszt	cost
beszélő	parlant
modalitás	modalitat
csoport	grup
maximum	màxim
hagyomány	tradició
anglia	anglaterra
-a	-a
logika	lògica
átadni	lliurar
idő	temps
1913	1913
szakértők	experts
barátok	amics
bizalom	confiança
felhívás	convocatòria
disney	disney
vásárolni	comprar
1895	1895
élmény	experiència
torony	torre
kaland	aventura
dávid	david
módosítás	modificació
győzni	guanyar
forgatókönyv	guió
fúzió	fusió
szavazni	votar
kamera	càmera
sűrűség	densitat
katalin	katalin
humor	humor
hivatkozás	referència
létezés	existència
fikció	ficció
széles	ample
megnyitni	obrir
iphone	iphone
folyamat	procés
beszélgetés	xerrada
tervezés	disseny
délnyugat	sud-oest
1919	1919
engedély	permís
látogatás	visita
ukrán	ucraïnès
szoba	habitació
1,5	1,5
részletek	detalls
galéria	galeria
iszlám	islam
bővítés	ampliació
1962	1962
rajz	dibuix
jelzések	senyals
spirituális	espiritual
texas	texas
laboratórium	laboratori
katalán	català
my	my
videójáték	videojoc
együtt	junts
1981	1981
megfigyelni	observar
fax	fax
menekülni	fugir
olvasható	llegible
1924	1924
1928	1928
zárva	tancada
elfogadni	acceptar
valóság	realitat
élet	vida
hetedik	setè
1968	1968
önkéntes	voluntari
előnyök	avantatges
adatok	dades
szocialisták	socialistes
elnök	president
küzdeni	lluitar
konkrétan	concretament
aktuális	actual
egyesületek	associacions
szilárd	sòlid
testvér	germà
jean	jean
betűk	lletres
tevékenység	activitat
osztályterem	aula
pápa	papa
diffúzió	difusió
polgármester	alcalde
művész	artista
folytatta	continuava
sándor	sándor
singh	singh
síelés	esquí
tartalom	contingut
globális	global
zónák	zones
l	l
;	;
katonák	soldats
műhelyek	tallers
lisszabon	lisboa
néző	espectador
individuum	individu
skócia	escòcia
remény	esperança
ágnes	agnès
1995	1995
tervezett	dissenyat
érzelem	sentiment
komponálni	compondre
játékos	jugador
2010	2010
növekvő	creixent
z	z
misszió	missió
kábel	cable
barátnő	amiga
kéz	mà
nyugati	occidental
kommentárok	comentaris
fényes	brillant
iroda	despatx
alelnök	vicepresident
kifejezés	expressió
szintézis	síntesi
egyiptomi	egipci
melléklet	apèndix
1933	1933
szexuális	sexual
1983	1983
olimpiák	olímpics
barokk	barroc
túlélni	sobreviure
képviselők	diputats
társaság	societat
lépcső	escala
utca	carrer
szervezet	organització
zóna	zona
moszkva	moscú
kiemelkedő	destacat
rádió	ràdio
lukács	lukács
ostrom	setge
osztály	classe
javaslat	proposta
mozgalom	moviment
gitár	guitarra
obi	obi
fejlesztő	desenvolupador
rövid	curt
a	a
akkoriban	aleshores
király	rei
tanácsok	consells
klasszikusok	clàssics
módszerek	mètodes
valenciai	valenciana
látványos	espectacular
fájl	fitxer
operatív	operatiu
roda	roda
gyorsan	ràpidament
várni	esperar
szél	vent
püspök	bisbe
informatika	informàtica
dokumentumfilm	documental
temető	cementiri
három	tres
történelmi	històric
1500	1500
liter	litre
attila	attila
írónő	escriptora
növekedni	créixer
sajtó	premsa
sétálás	passeig
1950	1950
reakció	reacció
paraméterek	paràmetres
iskola	escola
110	110
érték	valor
intenzív	intensiu
szárny	ala
alapvető	bàsic
használt	usat
b	b
természetes	natural
alapító	fundador
1939	1939
terület	terreny
tarragona	tarragona
gamma	gamma
szóvivő	portaveu
sorozat	sèrie
módosít	modificar
árpád	arpad
megfigyelés	observació
próba	prova
140	140
gazdaság	economia
rekord	rècord
királyi	reial
irány	direcció
projekció	projecció
1886	1886
normák	normes
kolónia	colònia
aktív	actiu
építészet	arquitectura
hely	lloc
görögország	grècia
szimbólumok	símbols
látogatni	visitar
ritkán	rarament
kalandok	aventures
pontos	puntual
azonosító	identificador
rektor	rector
részecskék	partícules
hírek	notícies
1974	1974
1941	1941
bolygó	planeta
fontosak	importants
utazások	viatges
ideális	ideal
kezdeni	començar
kamra	cambra
rovarok	insectes
város	ciutat
aláírni	signar
számítógép	ordinador
latin	llatí
öt	cinc
írás	escriptura
dvd	dvd
regisztrált	registrat
bíró	jutge
senki	ningú
biztos	segur
utazás	viatge
1952	1952
rekonstrukció	reconstrucció
tisza	tisza
ciklus	cicle
függetlenek	independents
mellékes	secundari
eső	pluja
császár	emperador
olimpiai	olímpic
1978	1978
dániel	daniel
tökéletesen	perfectament
papír	paper
zrínyi	zrínyi
befejezve	acabat
funkciók	funcions
blokkok	blocs
mozi	cinema
ruha	roba
biztosított	assegurat
krónika	crònica
siker	èxit
berlini	berlín
szegény	pobre
résztvevő	participant
madrid	madrid
1922	1922
tájkép	paisatge
különösen	especialment
teljesítmény	rendiment
tartomány	província
tanulás	aprenentatge
sebesség	velocitat
korábbiak	anteriors
ásványok	minerals
kulcs	clau
legendás	llegendari
kiegészítő	complementari
fórum	fòrum
talán	potser
stílusok	estils
liga	lliga
1935	1935
technikák	tècniques
közösség	comunitat
1984	1984
kifejezni	expressar
látható	visible
nők	dones
marketing	màrqueting
jelenleg	actualment
történészek	historiadors
amerika	amèrica
televízió	televisió
tábor	camp
sebastián	sebastià
nemesség	noblesa
konszenzus	consens
cf	cf
takács	takács
fény	llum
márta	marta
széchenyi	széchenyi
gazdagság	riquesa
hagyott	deixat
javaslatok	propostes
kör	cercle
folyadék	líquid
zsolt	zsolt
beszél	parlar
barcelona	barcelona
budapest	budapest
létrehozó	creador
templom	església
mennyiség	quantitat
ismert	conegut
szabó	sastre
videók	vídeos
romok	ruïnes
emír	emir
gyerekek	nens
holnap	demà
amerikai	americà
végtelen	infinit
háborúk	guerres
hatóságok	autoritats
pontosság	precisió
örökség	herència
erősen	fortament
pozitív	positiu
multimédiás	multimèdia
fogak	dents
köztársaság	república
repülőgép	avió
természetesen	naturalment
1944	1944
erőszak	violència
akadémikus	acadèmic
esztétika	estètica
garancia	garantia
gyógyszertár	farmàcia
kommunikáció	comunicació
1986	1986
spanyolok	espanyols
amin	amin
utazók	viatgers
képességek	habilitats
németország	alemanya
krízis	crisi
kormány	govern
királyságok	regnes
szlovák	eslovac
analízis	anàlisi
művészeti	artístic
feleség	esposa
jövő	futur
így	així
alapvetően	bàsicament
tizenöt	quinze
lehetőség	oportunitat
normális	normal
énekes	cantant
normandia	normandia
karbantartás	manteniment
1948	1948
junta	junta
épület	edifici
festők	pintors
kapcsolódik	connecta
publikálni	publicar
rendkívüli	extraordinari
andorra	andorra
családtagok	familiars
tok	toc
zsuzsa	zsuzsa
divízió	divisió
kapitány	capità
forradalom	revolució
effektusok	efectes
technikus	tècnic
kerület	districte
ablakok	finestres
pálma	palma
han	han
színészek	actors
hajó	vaixell
politikák	polítiques
alonso	alonso
nyomás	pressió
c	c
2012	2012
stb	stb
irodalmi	literari
fizika	física
1901	1901
olvasó	lector
1973	1973
karolina	carolina
meglepetés	sorpresa
oscar-díj	oscar
védett	protegit
tánc	dansa
rudolf	rudolf
legenda	llegenda
szervezett	organitzat
1903	1903
anyag	matèria
arc	arc
tervezni	dissenyar
1940	1940
sopron	sopron
havanna	havana
1912	1912
skót	escocès
norvég	noruec
saps	saps
törökök	turcs
tészta	pasta
1975	1975
adományozni	donar
felszabadul	alliberament
1927	1927
alexandre	alexandre
monarchia	monarquia
pólus	pols
századok	segles
fürdő	piscina
elektronikus	electrònic
eltérő	diferent
1908	1908
molekulák	molècules
pártok	partits
koncert	concert
régió	regió
színésznő	actriu
regiszter	registre
találkozunk	trobem
1965	1965
középkori	medieval
rómaiak	romans
erdély	transsilvània
birodalmi	imperial
kinevezett	nomenat
nyár	estiu
június	juny
360	360
hegység	serralada
szolgálat	servei
írók	escriptors
plasztik	plàstic
dolgozni	treballar
érvényes	vàlid
találkozás	trobada
szőr	pèl
1949	1949
csomag	paquet
táplálás	alimentació
mérni	mesurar
címzetes	titular
osztályozás	classificació
frank	franc
bit	bit
reformáció	reforma
helyi	local
hunyadi	hunyadi
abszolút	absolut
kategória	categoria
terjeszteni	difondre
blog	blog
különbség	diferència
folyamatosan	contínuament
híd	pont
szobrász	escultor
folyóiratok	revistes
brazília	brasil
sétálni	caminar
képek	imatges
bethlen	bethlen
iván	ivan
dinasztia	dinastia
fordítva	traduït
blokk	bloc
szerzetesek	monjos
szobrok	escultures
társadalmi	social
shakespeare	shakespeare
még	encara
1938	1938
kontra	contra
vírus	virus
miklós	miklós
1985	1985
festő	pintor
folytatni	continuar
1992	1992
kutató	investigador
1987	1987
lányok	noies
pablo	pablo
1860	1860
2009	2009
ház	casa
kormányozni	governar
törökország	turquia
na	na
falvak	pobles
martinez	martínez
különbségek	diferències
katedrális	catedral
visszatérni	retornar
fehér	blanc
egységek	unitats
következő	següent
másolat	còpia
steve	steve
színek	colors
kezdet	començament
1972	1972
n	n
építész	arquitecte
református	reformat
p	p
bőr	pell
türk	turc
mexikó	mèxic
abu	abu
pop	pop
1951	1951
híres	famós
tengerpart	platja
olaszok	italians
szobor	escultura
szicília	sicília
maxima	màxima
mérnök	enginyer
fizetni	pagar
múzeum	museu
kompozíció	composició
reklám	publicitat
matematikus	matemàtic
tanulmányok	estudis
▪	▪
1980	1980
kereszt	creu
módszer	mètode
páciens	pacient
szeged	szeged
peter	peter
pár	parella
cambridge	cambridge
tünetek	símptomes
kutyák	gossos
létrehozni	crear
véletlen	casualitat
csokoládé	xocolata
ötven	cinquanta
zsidó	jueu
felajánlani	oferir
perspektíva	perspectiva
kommunista	comunista
részvétel	participació
rosszabb	pitjor
szabadok	lliures
adminisztráció	administració
másolatok	còpies
bilbao	bilbao
évforduló	aniversari
ortodox	ortodox
opció	opció
korda	corda
mechanizmusok	mecanismes
fa	fa
epizód	episodi
ellenőrzés	comprovació
hagyományos	tradicional
1931	1931
ezek	aquests
finn	finn
nemzeti	nacional
sor	sor
párt	partit
nagy	gran
mallorca	mallorca
1870	1870
középső	mitjana
oszlopok	columnes
wikipédia	wikipèdia
tropes	tropes
attitűd	actitud
szerkesztők	redactors
105	105
montázs	muntatge
nemzedék	generació
munka	treball
korlátozott	limitat
felülmúlni	superar
kibocsátás	emissió
hasznos	útil
téma	tema
pedagógus	pedagog
beteg	malalt
száj	boca
európa	europa
szombathely	szombathely
egyensúly	equilibri
tonna	tona
rosszul	malament
kormányzó	governador
rendőrség	policia
mozart	mozart
halottak	morts
dinár	dinar
ferenc	francesc
válaszok	respostes
gól	gol
műhely	taller
anna	anna
határok	fronteres
1998	1998
sakk	escacs
családok	famílies
biológiai	biològic
york	york
francia	francès
feszültség	tensió
szövet	teixit
1896	1896
jones	jones
szabályok	regles
koalíció	coalició
gyümölcs	fruita
hideg	fred
kert	jardí
nyelv	llengua
piacok	mercats
olvasni	llegir
hosszú	llarg
negatív	negatiu
tatabánya	tatabánya
vadászat	caça
1868	1868
1958	1958
bernát	bernat
geográfia	geografia
definíció	definició
demokrácia	democràcia
somogy	somogy
lleida	lleida
kicsi	petit
mélyen	profundament
módosítások	modificacions
reflexió	reflexió
cigány	gitano
évek	anys
2011	2011
félsziget	península
baszk	basc
színész	actor
felfedezni	descobrir
komédia	comèdia
finnország	finlàndia
motor	motor
lehetséges	possible
egyszerűen	fàcilment
bajnok	campió
szó	paraula
léteznek	existeixen
balázs	balázs
ajánlat	oferta
orgonák	òrgans
zenekar	orquestra
bejárat	entrada
egér	ratolí
lázadás	revolta
érteni	entendre
parancsnok	comandant
találni	trobar
tizenkettő	dotze
kossuth	kossuth
tanács	consell
értelmezni	interpretar
bp	bp
vezetni	conduir
valamelyik	algun
tanárnő	mestra
bronz	bronze
jog	dret
homlokzat	façana
városok	ciutats
javulni	millorar
család	família
stílus	estil
polgár	ciutadà
1982	1982
magyarázat	explicació
eredetileg	originàriament
kompromisszum	compromís
konfliktus	conflicte
tudósok	científics
aspektusok	aspectes
1916	1916
napóleon	napoleó
vonal	línia
1909	1909
völgy	vall
személyesen	personalment
lelke	ànima
kormányzati	governamental
halászat	pesca
négy	quatre
hivatalos	oficial
elhagyott	abandonat
polgárság	ciutadania
amerikaiak	americans
irodalom	literatura
biztonság	seguretat
pireneusok	pirineus
oxford	oxford
1878	1878
esemény	esdeveniment
minőség	qualitat
vásárlás	compra
harminc	trenta
1889	1889
spanyol	espanyol
polgárok	ciutadans
költségek	despeses
meleg	calent
üzenet	missatge
átmenet	transició
1891	1891
vállalkozó	emprenedor
kettő	dos
apátság	abadia
verzió	versió
interakció	interacció
pályafutás	carrera
föld	terra
ügyfél	client
sorozatok	sèries
gondolkodni	pensar
foglalni	reservar
gáz	gas
csillagok	estrelles
új	nou
termék	producte
aragón	aragó
helyettesíteni	substituir
tilos	prohibit
író	escriptor
dimenzió	dimensió
befejezni	acabar
óceán	oceà
enciklopédia	enciclopèdia
ötödik	cinquè
rusz	rus
bár	bar
kolóniák	colònies
microsoft	microsoft
mindenki	tothom
térkép	mapa
ismeret	coneixement
választások	eleccions
granollers	granollers
hálózat	xarxa
fordítás	traducció
harangtorony	campanar
ideológia	ideologia
fázisok	fases
nokia	nokia
orbán	orbán
érzékelni	sentir
óra	hora
tanú	testimoni
válasz	resposta
1907	1907
házasság	matrimoni
vezetett	conduït
farkas	llop
2017	2017
1991	1991
roland	roland
kivétel	excepció
építve	construït
gps	gps
beszéd	discurs
megoldani	solucionar
szolidaritás	solidaritat
szombat	dissabte
romantikus	romàntic
kupola	cúpula
tárgyalások	negociacions
értesítés	avís
1961	1961
teréz	teresa
ukrajna	ucraïna
korona	corona
fiatalok	joves
fényképek	fotografies
1960	1960
album	àlbum
centiméter	centímetre
1906	1906
dekrétum	decret
revízió	revisió
ellentétes	contrari
feliratok	inscripcions
1954	1954
svájci	suís
petőfi	petőfi
expedíció	expedició
veszély	perill
park	parc
könyvek	llibres
hercegség	principat
1970	1970
kötelező	obligatòria
falu	poble
biztosító	asseguradora
közelség	proximitat
egység	unitat
részletes	detallat
arab	aràbic
levelet	carta
olvasás	lectura
alternatíva	alternativa
ajánlatok	ofertes
ide	ide
szerződés	contracte
oxigén	oxigen
emberiség	humanitat
bálint	balint
hipotézis	hipòtesi
2014	2014
küld	enviar
szabadság	llibertat
napilap	diari
közösségek	comunitats
haladni	avançar
lista	llista
olaj	oli
pápai	papal
1929	1929
valaki	algú
bemutatás	presentació
siófok	siófok
jobb	millor
hadseregek	exèrcits
életkor	edat
személyek	persones
nem	no
étkezni	menjar
szám	nombre
2002	2002
specializált	especialitzat
konyha	cuina
munkák	obres
levéltár	arxiu
kard	espasa
olasz	italià
biblia	bíblia
osztani	dividir
ellenzék	oposició
muzsikusok	músics
csütörtök	dijous
so	so
elfelejteni	oblidar
főváros	capital
részlet	detall
