планета	planeta
югоизток	sud-est
сирия	síria
клиент	client
1877	1877
обширна	àmplia
анонс	anunci
възможност	oportunitat
туристически	turístic
потенциал	potencial
упражнение	exercici
мадрид	madrid
колонии	colònies
британска	britànica
1975	1975
китара	guitarra
интеграл	integral
кардинал	cardenal
1991	1991
архитект	arquitecte
населено	poblat
планина	muntanya
прецизност	precisió
май	maig
армения	armènia
предложение	proposta
публикуван	publicat
назад	enrere
от	от
червена	vermella
богатство	riquesa
подготвено	preparat
съвместно	conjuntament
антична	antiga
лондон	londres
теория	teoria
автобус	autobús
un	un
лов	caça
оферти	ofertes
движение	moviment
разнообразие	diversitat
осем	vuit
аспект	aspecte
те	te
демократична	democràtica
българия	bulgària
морска	marina
напред	endavant
влияния	influències
жертва	víctima
рисунки	dibuixos
монаси	monjos
август	agost
финансова	financera
1965	1965
джоана	joana
стихове	versos
връщане	retorn
recent	recent
css	css
професори	professors
1907	1907
термес	termes
село	poble
проекти	projectes
мълчание	silenci
ibn	ibn
престиж	prestigi
днес	avui
йерусалим	jerusalem
адекватен	adequat
сила	força
обсада	setge
директен	directe
програма	programa
comtes	comtes
продукти	productes
1989	1989
категория	categoria
църква	església
патрон	patró
protection	protecció
животно	animal
промяна	canvi
гражданин	ciutadà
танц	dansa
песни	cançons
facebook	facebook
дем	dem
турци	turcs
лисабон	lisboa
стандарт	estàndard
статуя	estàtua
футболист	futbolista
комитет	comitè
композитор	compositor
румъния	romania
силистра	silistra
потребители	usuaris
плаж	platja
бронз	bronze
разпределение	distribució
много	molts
иисус	jesús
започващ	començant
1990	1990
версии	versions
рецепти	receptes
1870	1870
конфликт	conflicte
1896	1896
философия	filosofia
търговия	comerç
възраст	edat
истанбул	istanbul
процес	procés
играч	jugador
плажове	platges
ford	ford
1868	1868
софия	sofia
разходи	despeses
конзоли	consoles
визуален	visual
торта	torta
фредерик	frederic
драма	drama
up	up
тераса	terrassa
1892	1892
пътеки	pistes
сравнение	comparació
1959	1959
1940	1940
награди	premis
tron	tron
пилар	pilar
luxe	luxe
документиране	documentació
общност	comunitat
плевен	pleven
релевантен	rellevant
mallorca	mallorca
дискусия	discussió
четвърта	quarta
юг-запад	sud-oest
съзнание	consciència
уста	boca
десетилетия	dècades
каталонски	català
реконструкция	reconstrucció
интернет	internet
лектори	lectors
дунав	danubi
прогрес	progrés
форма	forma
ул	carrer
гарсия	garcia
атлантически	atlàntic
модел	model
производители	productors
администрация	administració
банда	banda
типична	típica
независим	independent
княжество	principat
физик	físic
дирекция	direcció
tan	tan
асоциации	associacions
ингредиенти	ingredients
постепенно	gradualment
diners	diners
федерален	federal
приятели	amics
мода	moda
мнозинство	majoria
офанзива	ofensiva
добавена	afegida
оставящ	deixant
идеология	ideologia
приятен	agradable
cop	cop
убежище	refugi
1897	1897
1888	1888
революция	revolució
съветници	consellers
емир	emir
отговорност	responsabilitat
паста	pasta
институт	institut
селски	rural
цена	preu
личности	personalitats
организации	organitzacions
пазар	mercat
компетенции	competències
изненада	sorpresa
воля	voluntat
септември	setembre
тенденция	tendència
фундаментален	fonamental
графика	gràfica
затворници	presoners
интересни	interessants
изпълнение	execució
интервю	entrevista
нормативна	normativa
никаква	ninguna
1909	1909
север-изток	nord-est
окупиран	ocupat
москва	moscú
брачен	matrimoni
опозиция	oposició
делта	delta
-8,5	-8,5
дворец	palau
ed	ed
spectacular	espectacular
1977	1977
аквитания	aquitània
подготовка	preparació
живот	vida
марка	marca
1929	1929
1932	1932
информатика	informàtica
110	110
андора	andorra
собственост	propietat
частна	privada
1968	1968
ева	eva
изисквания	exigències
революционна	revolucionària
език	llengua
резюме	resum
регистриран	registrat
3000	3000
фернандо	fernando
звезди	estrelles
троян	troià
критици	crítiques
лаборатория	laboratori
проблеми	problemes
институционален	institucional
автомобил	automòbil
обучавам	ensenyar
документи	documents
излизам	surt
концентрация	concentració
1891	1891
преподавателка	professora
зелен	verd
спортен	esportiu
минута	minut
витамин	vitamina
фландрия	flandes
поет	poeta
философ	filòsof
мотори	motors
lateral	lateral
есенциални	essencials
основател	fundador
трудни	difícils
die	die
пита	pita
amb	amb
фрагменти	fragments
специалност	especialitat
легенда	llegenda
импулс	impuls
2004	2004
репресия	repressió
порта	porta
адаптация	adaptació
технология	tecnologia
членове	membres
инициатива	iniciativa
предложения	proposicions
чистене	neteja
жертви	víctimes
криза	crisi
определена	determinada
играчки	joguets
прозорец	finestra
режим	règim
1925	1925
студент	estudiant
каталани	catalans
необходима	necessària
тематика	temàtica
една	una
улици	carrers
капацитет	capacitat
модули	mòduls
град	ciutat
район	districte
езера	llacs
асистенция	assistència
произвежда	produeix
хумор	humor
стандарти	estàndards
историци	historiadors
бърз	ràpid
1886	1886
1935	1935
включени	inclosos
инициативи	iniciatives
външен	exterior
производител	productor
критерий	criteri
юли	juli
крема	crema
конкретно	concretament
калифорния	califòrnia
възстановяване	restauració
президент	president
пътека	camí
модификации	modificacions
факултет	facultat
представяне	presentació
скорост	velocitat
култ	culte
прожекция	projecció
християнство	cristianisme
архиепископ	arquebisbe
установено	establert
австрия	àustria
остров	illa
традиционен	tradicional
ефективност	eficàcia
perfecta	perfecta
марти	martí
борба	lluita
ситуации	situacions
познание	coneixement
шампион	campió
цветове	colors
икономически	econòmic
симеон	simeó
рядко	rarament
конституция	constitució
xvii	xvii
републиканец	republicà
многобройни	nombrosos
градски	urbà
добавки	afegits
организирана	organitzada
сцени	escenes
сезон	season
характеристики	característiques
2014	2014
1915	1915
индустриален	industrial
обект	objecte
туризъм	turisme
salvador	salvador
клубове	clubs
adults	adults
пакт	pacte
желязо	ferro
1995	1995
капитан	capità
видео	vídeo
von	von
последни	darrers
локал	local
писменост	escriptura
антик	antic
евреин	jueu
пловдив	plovdiv
реновация	renovació
недвижими	immobles
женска	femenina
кандидати	candidats
биография	biografia
френски	francès
замяна	substitució
камък	pedra
мобил	mòbil
ex	ex
филип	filip
шоколад	xocolata
гравирано	gravat
unesco	unesco
неуспех	fracàs
jacques	jacques
събота	dissabte
официален	oficial
апсида	absis
код	codi
шум	soroll
черно	negre
сарагоса	saragossa
премиера	premiere
песен	cançó
църкви	esglésies
португалски	portuguès
десетилетие	dècada
карти	cartes
канали	canals
полски	polonès
техника	tècnica
такси	taxi
гробище	cementiri
жанрове	gèneres
парфюми	perfums
християни	cristians
различен	diferent
персийски	persa
витамини	vitamines
лига	lliga
изследователи	investigadors
специфични	específics
работници	obrers
мъртъв	mort
отваряне	obertura
регистрирани	registrats
командант	comandant
корупция	corrupció
японски	japonès
entre	entre
дизайн	disseny
дух	esperit
единствено	únicament
китайски	xinès
сътрудничество	cooperació
гигант	gegant
шампионат	campionat
1945	1945
преговори	negociacions
често	freqüent
sexe	sexe
тема	tema
милион	milió
ala	ala
2017	2017
раждане	naixement
мексико	mèxic
февруари	febrer
кантон	cantó
седмица	setmana
певец	cantant
адвокат	advocat
кавалерия	cavalleria
роза	rosa
семейство	família
1997	1997
портрет	retrat
успех	èxit
емил	emil
значение	significat
заведение	establiment
поеми	poemes
стилове	estils
пропорция	proporció
енергия	energia
1963	1963
салата	ensalada
телефон	telèfon
файл	fitxer
изгубен	perdut
кралство	regne
преподавател	professor
регистри	registres
1978	1978
front	front
владимир	vladímir
тева	teva
германски	alemany
литературен	literari
прозорци	finestres
продукт	producte
la	la
бърза	ràpida
carmen	carmen
фета	feta
ресторанти	restaurants
теза	tesi
дисциплина	disciplina
пръстен	anell
професия	professió
брат	germà
фридрих	friedrich
треньор	entrenador
пациент	pacient
post	post
уругвай	uruguai
испания	espanya
нова	nova
културен	cultural
император	emperador
джорди	jordi
последици	conseqüències
au	au
лицей	liceu
помощ	ajuda
театър	teatre
сигурен	segur
приложения	aplicacions
сектор	sector
паша	paixà
навигация	navegació
кухня	cuina
морал	moral
1927	1927
седалка	seient
arc	arc
конференция	conferència
турция	turquia
визити	visites
поема	poema
кирил	kiril
образователен	educatiu
иван	ivan
1944	1944
съюзници	aliats
сектори	sectors
втора	segona
val	val
секвенция	seqüència
експозиции	exposicions
константинопол	constantinoble
oldid	oldid
модификация	modificació
essential	essencial
1984	1984
2018	2018
1998	1998
рефлексия	reflexió
разширение	ampliació
часовници	rellotges
lat	lat
назначен	nomenat
мисъл	pensament
агент	agent
port	port
класа	classe
2006	2006
фотография	fotografia
динамика	dinàmica
правила	regles
скулптор	escultor
репродукция	reproducció
република	república
трибунал	tribunal
assassination	assassinat
2005	2005
червен	vermell
actes	actes
рисунка	dibuix
украина	ucraïna
ефект	efecte
1912	1912
кратък	curt
1918	1918
временно	temporalment
хотел	hotel
манифестация	manifestació
асоциирана	associada
демокрация	democràcia
научен	científic
секция	secció
клуб	club
молба	súplica
критик	crític
активен	actiu
2013	2013
мисия	missió
физика	física
пейзажи	paisatges
1928	1928
1911	1911
европейски	europeu
аптека	farmàcia
кожа	pell
включен	inclòs
алт	alt
седмици	setmanes
лингвистика	lingüística
формален	formal
обществени	públiques
курсове	cursos
достъп	accés
непознат	desconegut
схема	esquema
барселона	barcelona
температури	temperatures
инструменти	instruments
територия	territori
евреи	jueus
включена	inclosa
seu	seu
избори	eleccions
сметана	smetana
социалистически	socialista
публикация	publicació
четене	lectura
ревиста	revista
градина	jardí
възможни	possibles
пролет	primavera
статистика	estadística
терапия	teràpia
електронен	electrònic
триумф	triomf
материали	materials
свързана	connectada
iraq	iraq
империя	imperi
години	anys
трета	tercera
архиви	arxius
1949	1949
тона	tona
религия	religió
младост	joventut
министър	ministre
серии	sèries
логика	lògica
талант	talent
впечатление	impressió
регулярен	regular
1-2	1-2
1993	1993
медиация	mediació
референдум	referèndum
димитров	dimitrov
организъм	organisme
арабски	àrab
инкорпорира	incorporar
агенция	agència
1974	1974
свободен	lliure
кампания	campanya
султан	sultà
аксесоари	accessoris
протеини	proteïnes
1889	1889
бил	bil
дневник	diari
трансформация	transformació
посветена	consagrada
пейзаж	paisatge
перспектива	perspectiva
зомби	zombi
нормален	normal
разделение	divisió
видин	vidin
магазин	magatzem
1964	1964
абсолютен	absolut
бразил	brasil
център	centre
na	na
маркиз	marquès
журналисти	periodistes
версия	versió
полиция	policia
serra	serra
клиенти	clients
максимум	màxim
ефекти	efectes
баскетбол	bàsquet
по	по
метал	metall
рецепция	recepció
1908	1908
селекция	selecció
километри	quilòmetres
верига	cadena
икономика	economia
фигура	figura
su	su
принц	príncep
класически	clàssic
борисов	borisov
актуални	actuals
1960	1960
tribus	tribus
манифестации	manifestacions
господари	senyors
нота	nota
качествен	qualitatiu
барок	barroc
ноември	novembre
гражданство	ciutadania
сума	suma
google	google
медицинска	mèdica
тока	toca
позиция	posició
космос	cosmos
цвет	color
вероятно	probablement
алианса	aliança
секции	seccions
деривати	derivats
балеарските	balears
велосипедисти	ciclistes
1994	1994
зима	hivern
американци	americans
sud	sud
преди	abans
присъствие	presència
тъмен	fosc
английски	anglès
испанска	espanyola
готически	gòtic
острови	illes
робърт	robert
внимание	atenció
активност	activitat
интеракция	interacció
съдия	jutge
представена	presentada
абат	abat
организация	organització
женски	femení
материал	material
болест	malaltia
витрини	vitrines
локо	loco
швейцарска	suïssa
фрази	frases
три	tres
1973	1973
индустрия	indústria
ангел	àngel
florida	florida
албум	àlbum
асамблея	assemblea
книги	llibres
библиотека	biblioteca
no	no
развит	desenvolupat
вода	aigua
анализ	anàlisi
сервис	servei
мрамор	marbre
демонтаж	desmuntatge
толедо	toledo
чувства	sentiments
координати	coordenades
рота	rota
одобрение	aprovació
единодушие	unanimitat
du	du
сигурно	segurament
пластмаса	plàstic
свидетел	testimoni
ниво	nivell
important	important
амстердам	amsterdam
кръг	cercle
пропаганда	propaganda
fa	fa
1871	1871
стадион	estadi
научна	científica
отсъствие	absència
шестдесет	seixanta
htc	htc
варна	varna
директор	director
1951	1951
us	us
принадлежат	pertanyen
анализирам	analitzar
статут	estatut
казанлък	kazanlak
референт	referent
компромис	compromís
тренировка	entrenament
просто	senzillament
избрани	escollits
звезда	estrella
вариант	variant
николай	nicolau
временен	temporal
аргумент	argument
млади	joves
валенсия	valència
група	grup
американска	americana
2000	2000
четвърт	quart
конкурс	concurs
съвременен	contemporani
1941	1941
вторична	secundària
окончателна	definitiva
inferior	inferior
камъни	pedres
2001	2001
1901	1901
1906	1906
лорънс	llorenç
подпис	signatura
генерален	general
реакция	reacció
открит	obert
зависимост	dependència
алберт	albert
защита	defensa
1934	1934
1879	1879
реакции	reaccions
1980	1980
концерт	concert
дълъг	llarg
кредит	crèdit
класифицирана	classificada
финансиране	finançament
acer	acer
когномен	cognom
функциониране	funcionament
октомври	octubre
фонд	fons
алкохол	alcohol
предимство	avantatge
симптоми	símptomes
близост	proximitat
бюро	bureau
британците	britànics
цвете	flor
медали	medalles
flux	flux
исторически	històric
законодателство	legislació
хартия	paper
1981	1981
повърхност	superfície
юлиян	julià
монтаж	muntatge
actual	actual
практики	pràctiques
документ	document
марио	mario
парфюм	perfum
lo	lo
етапи	etapes
спокоен	tranquil
египет	egipte
региони	regions
артистична	artística
положителен	positiu
типичен	típic
свързани	connectats
alba	alba
редактор	redactor
академик	acadèmic
мрежа	xarxa
парк	parc
оценка	avaluació
1936	1936
1895	1895
абсолютно	absolutament
ангола	angola
англия	anglaterra
традиция	tradició
1876	1876
появяване	aparició
католическа	catòlica
конкуренция	competència
1983	1983
енрико	enric
dir	dir
нощ	nit
саламанка	salamanca
алтернатива	alternativa
баланс	balanç
гърция	grècia
трети	tercer
детайл	detall
1898	1898
1900	1900
nov	nov
вашите	vostres
обяснение	explicació
1873	1873
видеоклипове	videoclips
испанци	espanyols
топлота	calor
интегриран	integrat
е	e
солер	soler
школа	escola
медицина	medicina
оли	oli
свобода	llibertat
равновесие	equilibri
съсед	veí
1962	1962
каталог	catàleg
авторка	autora
реализация	realització
сянка	ombra
1885	1885
жоан	joan
станция	estació
vertical	vertical
планове	plans
интервенция	intervenció
devia	devia
автономна	autònoma
меню	menú
добавят	afegeixen
стъкло	vidre
изпълнител	executant
политически	polític
ядрена	nuclear
необходим	necessari
норми	normes
актьор	actor
север	nord
обвиняем	acusat
преследване	persecució
александър	alexandre
стил	estil
нов	nou
символ	símbol
ернст	ernst
създаване	creació
практика	pràctica
am	am
окупира	ocupar
разновидност	varietat
сън	somni
1919	1919
мартинес	martínez
капа	capa
приложение	aplicació
глобал	global
консултация	consulta
2008	2008
магазини	botigues
описание	descripció
слънце	sol
работилница	taller
музей	museu
утре	demà
съществуване	existència
промоция	promoció
химик	químic
посланик	ambaixador
принцеса	princesa
мандат	mandat
uns	uns
артистичен	artístic
наш	nostre
marcel	marcel
xviii	xviii
американец	americà
експерти	experts
минимум	mínim
клик	clic
van	van
copa	copa
римски	romà
някои	algunes
инструмент	instrument
paul	paul
автор	autor
кастилски	castellà
1987	1987
aus	aus
епоха	època
успехи	èxits
ana	ana
уникална	única
банк	banc
машина	màquina
избрана	escollida
1953	1953
интерпретация	interpretació
1937	1937
теории	teories
лиценз	llicència
място	lloc
предимно	principalment
събитие	esdeveniment
административна	administrativa
преодолява	superar
hd	hd
турнир	torneig
френска	francesa
конго	congo
дискурс	discurs
валиден	vàlid
номер	número
затворен	tancat
авторитет	autoritat
тайланд	tailàndia
инвазия	invasió
личност	personalitat
луна	lluna
приблизително	aproximadament
покритие	cobertura
люксембург	luxemburg
1948	1948
свързан	connectat
1921	1921
графичен	gràfic
превенция	prevenció
1500	1500
германия	alemanya
олимпийски	olímpic
вокален	vocal
правило	regla
метро	metro
длъжност	càrrec
дружество	societat
1982	1982
наполеон	napoleó
паркинг	aparcament
папа	papa
excel	excel
семейства	famílies
мозък	cervell
така	així
дълга	llarga
победа	victòria
средновековен	medieval
бял	blanc
дърво	arbre
виртуален	virtual
отопление	calefacció
1914	1914
крал	rei
1878	1878
операция	operació
total	total
дано	dano
релеф	relleu
списания	revistes
реализирана	realitzada
интензивност	intensitat
организми	organismes
екрана	pantalla
далеч	lluny
ограничен	limitat
провинция	província
insee	insee
северозапад	nord-oest
член	membre
инженерство	enginyeria
2016	2016
комедия	comèdia
дифузия	difusió
мигел	miguel
актриса	actriu
1946	1946
мултимедия	multimèdia
телевизор	televisor
супер	super
щит	escut
етап	etapa
правилно	correctament
дигитален	digital
пазари	mercats
културни	culturals
руини	ruïnes
юни	juny
so	so
норма	norma
класификация	classificació
киселина	àcid
fred	fred
моцарт	mozart
видеоигри	videojocs
изчезване	desaparició
реализирани	realitzats
инструкции	instruccions
неапол	nàpols
долина	vall
1926	1926
историческа	històrica
протеин	proteïna
оръжие	arma
позиции	posicions
македония	macedònia
impossible	impossible
usb	usb
сценарий	guió
1887	1887
испанец	espanyol
текст	text
модерна	moderna
nostra	nostra
футболен	futbolístic
минерал	mineral
детство	infància
фердинанд	ferdinand
agenda	agenda
som	som
баща	pare
mental	mental
проблем	problema
karl	karl
сграда	edifici
асоциация	associació
fort	fort
бар	bar
четири	quatre
san	san
магия	màgia
съдържание	contingut
придобива	adquirir
актьори	actors
трактат	tractat
уравнение	equació
комунист	comunista
раса	raça
контакт	contacte
наблюдение	vigilància
фрагмент	fragment
температура	temperatura
популярност	popularitat
коментар	comentari
среща	trobada
гласуване	votació
contra	contra
фауна	fauna
летище	aeroport
инвестиция	inversió
платформа	plataforma
изпълнителен	executiu
хитлер	hitler
domini	domini
процедура	procediment
окупация	ocupació
intern	intern
манастир	monestir
честота	freqüència
оскар	oscar
атаки	atacs
edt	edt
natural	natural
пещера	cova
1923	1923
директорка	directora
галерия	galeria
самолети	avions
диета	dieta
йорк	york
петдесет	cinquanta
singh	singh
поведение	comportament
1971	1971
равенство	igualtat
пел	pel
суверенитет	sobirania
монархия	monarquia
серия	sèrie
качества	qualitats
себастиан	sebastià
получаване	obtenció
петък	divendres
административен	administratiu
институции	institucions
блокове	blocs
1861	1861
спектакъл	espectacle
дълбочина	profunditat
критика	crítica
митология	mitologia
фен	fan
xl	xl
1905	1905
деца	nens
диего	diego
групи	grups
pes	pes
университети	universitats
химия	química
керамика	ceràmica
движения	moviments
пианист	pianista
пехота	infanteria
1933	1933
памет	memòria
превеждане	traducció
адриан	adrià
теодор	teodor
тропически	tropical
консултира	consultar
ученик	alumne
благодарности	gràcies
бедност	pobresa
чужденци	estrangers
видал	vidal
1899	1899
библиотеки	biblioteques
ni	ni
sec	sec
програми	programes
permanent	permanent
августин	agustí
à	à
затворена	tancada
http	http
слава	glòria
графство	comtat
риба	peix
1880	1880
намаляване	disminució
скулптури	escultures
гимназия	gimnàs
финландия	finlàndia
таблици	taules
латински	llatí
кмет	alcalde
час	hora
представител	representant
израел	israel
дарение	donació
производство	producció
функция	funció
б	b
актуалност	actualitat
машини	màquines
история	història
опера	òpera
монети	monedes
професионален	professional
формат	format
диск	disc
артилерия	artilleria
купола	cúpula
sony	sony
катедрала	catedral
та	ta
лъв	lleó
частен	privat
обекти	objectes
по-малко	menys
щастлив	feliç
включвам	incloure
1988	1988
линии	línies
пакет	paquet
wi-fi	wi-fi
провинции	províncies
департамент	departament
джаз	jazz
фраза	frase
независимост	independència
1922	1922
мебели	mobles
формула	fórmula
образование	educació
собствена	pròpia
насилие	violència
регион	regió
югославия	iugoslàvia
флота	flota
респективно	respectivament
градини	jardins
фото	foto
юрисдикция	jurisdicció
активности	activitats
форум	fòrum
деклариран	declarat
полезен	útil
гориво	combustible
фос	fos
приятел	amic
декорация	decoració
любовник	amant
1890	1890
1883	1883
изложба	exposició
oct	oct
радиация	radiació
джеймс	james
1939	1939
съществуват	existeixen
визия	visió
развитие	desenvolupament
пациенти	pacients
модифицирана	modificada
1893	1893
магнитуд	magnitud
технически	tècnic
лято	estiu
механика	mecànica
специфичен	específic
време	temps
1920	1920
2011	2011
култура	cultura
идеи	idees
коледа	nadal
2003	2003
построена	construïda
сигурна	segura
декларира	declarar
спорт	esport
пирин	pirineu
луис	luis
анна	anna
декрет	decret
бебе	bebè
вход	entrada
стратегия	estratègia
контекст	context
корона	corona
иновация	innovació
1924	1924
холивуд	hollywood
бежанци	refugiats
ago	ago
салон	saló
нормандия	normandia
референции	referències
лаура	laura
вторичен	secundari
регистър	registre
вики	wiki
естетика	estètica
мелница	molí
канада	canadà
такса	taxa
мануел	manuel
dvd	dvd
тенис	tennis
бедни	pobres
публикации	publicacions
протагонист	protagonista
затвор	presó
диоцез	diòcesi
