selecció	селекция
1984	1984
defensa	защита
mèxic	мексико
lluny	далеч
fotografies	фотографии
esdeveniments	събития
trenta	тридесет
infància	детство
rakovski	раковски
balanç	баланс
1923	1923
jueus	евреи
moral	морал
borgonya	бургундия
torta	торта
antiga	антична
joaquim	йоаким
nuclear	ядрена
concepte	концепт
muntatge	монтаж
estil	стил
victòria	победа
àmplia	обширна
redacció	редакция
juny	юни
pel	пел
balears	балеарските
lliga	лига
prestigi	престиж
bilbao	билбао
musical	музикален
fauna	фауна
abans	преди
temps	време
garantia	гаранция
opció	опция
productor	производител
vídeo	видео
al	al
nord-americà	северноамерикански
sobirà	суверен
coordenades	координати
1955	1955
índex	индекс
realitzats	реализирани
lliures	свободни
du	du
importància	важност
procediments	процедури
avions	самолети
assistència	асистенция
tropical	тропически
2007	2007
amics	приятели
error	грешка
perfums	парфюми
1860	1860
1959	1959
reserva	резерва
republicà	републиканец
signatura	подпис
administratiu	административен
1964	1964
dècades	десетилетия
talent	талант
campionat	шампионат
gèneres	жанрове
flux	flux
desconegut	непознат
gradualment	постепенно
atacs	атаки
manifestació	манифестация
1861	1861
pobresa	бедност
afegeixen	добавят
vuit	осем
existència	съществуване
estrelles	звезди
votació	гласуване
històrica	историческа
heroi	герой
raça	раса
saragossa	сарагоса
començament	начало
forn	фурна
css	css
verd	зелен
reaccions	реакции
disc	диск
cultura	култура
universitats	университети
jardí	градина
conseqüències	последици
finlàndia	финландия
pacient	пациент
pleven	плевен
golf	голф
ana	ana
tribu	племе
pàgina	страница
1966	1966
agricultura	земеделие
constitució	конституция
seriosament	сериозно
silenci	мълчание
etapes	етапи
1873	1873
1917	1917
angle	ъгъл
decoració	декорация
1906	1906
naturals	naturals
1976	1976
necessària	необходима
habitualment	обикновено
associada	асоциирана
1877	1877
escoles	училища
febrer	февруари
david	давид
glòria	слава
estàtua	статуя
social	социален
formació	формация
integrada	интегрирана
belgrad	белград
1868	1868
ambaixador	посланик
administrativa	административна
institucions	институции
fórmula	формула
operació	операция
específics	специфични
diferent	различен
àlbum	албум
preslav	преслав
kiril	кирил
exigències	изисквания
à	à
revolucionari	революционер
consulta	консултация
superior	superior
parc	парк
referències	референции
las	las
quatre	четири
cobertura	покритие
afegits	добавки
construcció	строеж
llarga	дълга
institució	учреждение
visual	визуален
cerimònia	церемония
joves	млади
polític	политически
ciutadana	гражданка
tècniques	техники
1902	1902
generacions	генерации
по	по
2008	2008
pobres	бедни
funció	функция
líder	leader
emocions	емоции
teories	теории
preparat	подготвено
rècord	рекорд
sultà	султан
proporció	пропорция
esdeveniment	събитие
socialista	социалистически
1997	1997
colònies	колонии
aspecte	аспект
ciclista	велосипедист
friedrich	фридрих
paixà	паша
exercicis	упражнения
productes	продукти
vostres	вашите
arquebisbe	архиепископ
devia	devia
romania	румъния
frases	фрази
eslovènia	словения
institut	институт
pàgines	страници
consultar	консултира
seient	седалка
malàisia	малайзия
andorra	андора
democràcia	демокрация
internet	интернет
candidats	кандидати
estudiants	студенти
astúries	астурия
animació	анимация
evolució	еволюция
constant	констант
infanteria	пехота
local	локал
invasió	инвазия
presidència	председателство
interacció	интеракция
temporalment	временно
londres	лондон
unesco	unesco
1908	1908
1901	1901
humor	хумор
1970	1970
para	para
comandament	командване
vitamines	витамини
obertura	отваряне
vertical	vertical
agenda	agenda
significat	значение
medalla	медал
directora	директорка
medieval	средновековен
diversitat	разнообразие
general	генерален
composicions	композиции
turcs	турци
usb	usb
historiadors	историци
farmàcia	аптека
administració	администрация
delta	делта
escollit	избран
porta	порта
aplicacions	приложения
vermell	червен
religiós	религиозен
desert	пустиня
toca	тока
excel	excel
anàlisi	анализ
registres	регистри
tradicional	традиционен
biografia	биография
foto	фото
autor	автор
ràpid	бърз
descobriment	откриване
muntanya	планина
procés	процес
estrella	звезда
exposició	изложба
norma	норма
tranquil	спокоен
reacció	реакция
preu	цена
dolor	болка
estructura	структура
1898	1898
opcions	опции
cova	пещера
pensaments	мисли
demà	утре
visites	визити
b	б
integral	интеграл
somni	сън
intensitat	интензивност
sentit	чувство
napoleó	наполеон
eleccions	избори
luis	луис
doble	двоен
2014	2014
futbol	футбол
cristianisme	християнство
donació	дарение
cèsar	цезар
missió	мисия
cinquè	пети
territorial	териториален
candidatura	кандидатура
muntanyes	планини
adults	adults
diners	diners
director	директор
pianista	пианист
agost	август
no	no
nadal	коледа
possibles	възможни
gratuïta	безплатна
natura	natura
dama	дама
xl	xl
creu	кръст
esport	спорт
oportunitats	възможности
jesús	иисус
desembre	декември
professor	преподавател
grups	групи
persecució	преследване
romà	римски
ofensiva	офанзива
diferents	различни
històric	исторически
canvi	промяна
naixement	раждане
sofia	софия
lateral	lateral
setmanes	седмици
oscar	оскар
maria	мария
sierra	sierra
text	текст
ciutadania	гражданство
oposició	опозиция
inversió	инвестиция
1904	1904
tu	tu
crist	христос
federació	федерация
recepció	рецепция
toni	тони
formal	формален
banya	баня
lisboa	лисабон
soroll	шум
fort	fort
estació	станция
tercera	трета
derivats	деривати
ferrocarril	железница
segura	сигурна
trànsit	преминаване
buenos	buenos
ideologia	идеология
senyals	сигнали
peix	риба
concentració	концентрация
infant	инфант
principat	княжество
correcte	коректен
1936	1936
lingüística	лингвистика
control	контрол
dansa	танц
independent	независим
ferdinand	фердинанд
filòsof	философ
informàtica	информатика
borisov	борисов
súplica	молба
giovanni	джовани
pirineu	пирин
cola	кола
entrenament	тренировка
activitat	активност
combinació	комбинация
península	полуостров
sec	sec
vida	живот
1919	1919
privada	частна
alternativa	алтернатива
gràcies	благодарности
botigues	магазини
infraestructura	инфраструктура
blanc	бял
ben	ben
1899	1899
fitxer	файл
dvd	dvd
militar	военен
1940	1940
finestra	прозорец
1922	1922
llengües	езици
economia	икономика
concurs	конкурс
actiu	активен
1871	1871
nom	ном
real	реал
despeses	разходи
alcalde	кмет
illes	острови
amb	amb
amèrica	америка
aliats	съюзници
germans	братя
ciències	науки
analitzar	анализирам
necessari	необходим
vocal	вокален
1995	1995
indústria	индустрия
setembre	септември
3000	3000
departament	департамент
ucraïna	украина
ed	ed
contactes	контакти
màgia	магия
argument	аргумент
segle	век
negociacions	преговори
1980	1980
decret	декрет
adreça	адреса
educació	образование
expressió	експресия
realitzada	реализирана
àustria	австрия
culturals	културни
1939	1939
1937	1937
от	от
microsoft	майкрософт
comunicació	комуникация
italians	италианците
xviii	xviii
independència	независимост
lectura	четене
minerals	минерали
context	контекст
pràcticament	практически
senyors	господари
freqüència	честота
empresa	предприятие
antic	антик
artilleria	артилерия
futbolista	футболист
arquitectura	архитектура
colòmbia	колумбия
pasta	паста
diputats	депутати
alberto	алберто
rellotge	часовник
dificultats	трудности
estàndards	стандарти
solucions	решения
conferència	конференция
distància	дистанция
etiqueta	етикета
risc	риск
1878	1878
die	die
direcció	дирекция
província	провинция
fons	фонд
palau	дворец
ocupació	окупация
marxa	марш
madrid	мадрид
fred	fred
alemany	германски
revistes	списания
catòlica	католическа
índia	индия
anglaterra	англия
connectat	свързан
ritme	ритъм
han	han
espanyols	испанци
bil	бил
part	част
problemes	проблеми
natural	natural
directe	директен
normalment	нормално
guió	сценарий
califòrnia	калифорния
contra	contra
simeó	симеон
coneixement	познание
especials	специални
minut	минута
alba	alba
comte	граф
gràfic	графичен
versos	стихове
nord-est	север-изток
calor	топлота
important	important
proposicions	предложения
cercle	кръг
règim	режим
maig	май
catedral	катедрала
1949	1949
pràctica	практика
imam	имам
clubs	клубове
aragó	арагон
martí	марти
societat	дружество
ciutats	градове
instrument	инструмент
ràpida	бърза
tractats	трактати
incorporar	инкорпорира
matrimoni	брачен
seixanta	шестдесет
jan	jan
1870	1870
format	формат
elèctric	електрически
tècnic	технически
sistemes	системи
reducció	редукция
distribució	разпределение
sopar	вечеря
barroc	барок
conjuntament	съвместно
diàmetre	диаметър
vespre	вечер
comèdia	комедия
jurisdicció	юрисдикция
dimitrov	димитров
eficàcia	ефективност
100ml	100ml
excepció	изключение
francès	френски
hem	хем
precisió	прецизност
congo	конго
at	at
neerlandès	нидерландски
forta	силна
1993	1993
orientació	ориентация
normativa	нормативна
hospital	болница
útil	полезен
cosmos	космос
hd	hd
1991	1991
diego	диего
japonesa	японска
espectacular	spectacular
marbre	мрамор
universitat	университет
mecànica	механика
normandia	нормандия
1915	1915
colònia	колония
aquí	тук
cop	cop
efecte	ефект
localització	локализация
companya	компания
tècnica	техника
arquitecte	архитект
au	au
dissabte	събота
congrés	конгрес
singh	singh
expedició	експедиция
protecció	protection
perfil	профил
bar	бар
menú	меню
iphone	iphone
catàstrofe	катастрофа
tancada	затворена
òrbita	орбита
grup	група
1883	1883
uruguai	уругвай
qualitat	качество
comentari	коментар
castellà	кастилски
integrat	интегриран
política	политика
clau	ключ
termes	термес
2001	2001
resolució	резолюция
declaració	декларация
anell	пръстен
alfred	алфред
perill	опасност
proposta	предложение
instruments	инструменти
comprovació	проверка
consell	съвет
específica	специфична
alemanya	германия
moderna	модерна
turístic	туристически
contingut	съдържание
berlín	берлин
marca	марка
ingredients	ингредиенти
bebè	бебе
dictadura	диктатура
assemblea	асамблея
alliberament	освобождаване
loco	локо
jazz	джаз
capità	капитан
1971	1971
1961	1961
configuració	конфигурация
mama	мама
biblioteques	библиотеки
1996	1996
diari	дневник
ensenyar	обучавам
plovdiv	пловдив
bàsquet	баскетбол
condició	условие
@	@
1956	1956
freqüent	често
primavera	пролет
motors	мотори
laura	лаура
espanyol	испанец
regla	правило
1957	1957
israel	израел
còpia	копия
historiador	историк
octubre	октомври
2006	2006
física	физика
definició	дефиниция
sobirania	суверенитет
periodista	журналист
amic	приятел
acadèmia	академия
procediment	процедура
regles	правила
obrers	работници
paisatges	пейзажи
corrupció	корупция
enric	енрико
1888	1888
facebook	facebook
digital	дигитален
colspan	colspan
begudes	напитки
classificada	класифицирана
canadà	канада
desenvolupament	развитие
1889	1889
influències	влияния
profunditat	дълбочина
densitat	density
arbre	дърво
fan	фен
càmera	камера
perfum	парфюм
1968	1968
contemporània	съвременна
creador	творец
actualment	сегашно
espanya	испания
produït	произведен
atmosfera	атмосфера
establiment	заведение
1891	1891
2010	2010
absolutament	абсолютно
oriental	ориенталски
corona	корона
1988	1988
nivell	ниво
campanar	камбанария
versions	версии
potencial	потенциал
oficial	официален
radomir	радомир
2002	2002
percentatge	процент
perdut	изгубен
pena	пена
europa	европа
armènia	армения
redactor	редактор
partit	партия
violència	насилие
iugoslàvia	югославия
juli	юли
miguel	мигел
mineral	минерал
silistra	силистра
electrònic	електронен
tercer	трети
paul	paul
iraq	iraq
innovació	иновация
cadena	верига
senzillament	просто
entrada	вход
adaptació	адаптация
fragment	фрагмент
front	front
molí	мелница
polítiques	политики
llegenda	легенда
interès	интерес
sortida	изход
comunitat	общност
bloc	блок
razgrad	разград
publicacions	публикации
programa	програма
tribunal	трибунал
declarar	декларира
cent	cent
ocupar	окупира
laboratori	лаборатория
oberta	отворена
1884	1884
xocolata	шоколад
solució	решение
àcid	киселина
període	период
varna	варна
fiscal	фискален
secció	секция
oportunitat	възможност
1942	1942
florència	флоренция
voluntat	воля
infantil	детска
novembre	ноември
pedres	камъни
washington	вашингтон
daniel	даниел
presentació	представяне
temàtica	тематика
absència	отсъствие
diàleg	диалог
automàticament	автоматично
luxemburg	люксембург
htc	htc
directament	директно
difícils	трудни
música	музика
2015	2015
esquerra	левица
alt	алт
escenes	сцени
realitat	реалност
literatura	литература
enciclopèdia	енциклопедия
diferències	различия
produeix	произвежда
periodistes	журналисти
parròquia	парохия
vidal	видал
típic	типичен
portuguès	португалски
visita	визита
clàssic	класически
van	van
1983	1983
dificultat	трудност
1500	1500
dieta	диета
ombra	сянка
satèl	сателит
caiguda	падане
espectacle	спектакъл
únic	уникален
segur	сигурен
sant	светец
port	port
marquès	маркиз
quilòmetres	километри
abat	абат
relleu	релеф
jardins	градини
1999	1999
tancament	затваряне
nombrosos	многобройни
el	el
transformació	трансформация
jugador	играч
notícies	новини
cúpula	купола
uns	uns
avui	днес
mediació	медиация
bateria	батерия
cantó	кантон
ruïnes	руини
suma	сума
toledo	толедо
concretament	конкретно
alumne	ученик
my	my
posterior	posterior
diferència	разлика
pita	пита
adquirir	придобива
llac	езеро
respecte	уважение
google	google
1890	1890
oli	оли
mòbil	мобил
amistat	приятелство
empreses	предприятия
fragments	фрагменти
documental	документален
cementiri	гробище
escòcia	шотландия
secundari	вторичен
fracàs	неуспех
actriu	актриса
construïda	построена
japonès	японски
tron	tron
imperial	империал
classe	класа
seqüència	секвенция
tan	tan
1969	1969
1879	1879
xinès	китайски
regional	регионален
funcionaris	функционери
varietat	разновидност
1998	1998
dormitori	спалня
executiu	изпълнителен
polonès	полски
descripció	описание
setmana	седмица
istanbul	истанбул
teràpia	терапия
personal	личен
organitzada	организирана
1887	1887
nou	нов
senat	сенат
futur	бъдеще
autora	авторка
objecte	обект
bulgària	българия
cicle	цикъл
estètica	естетика
dents	зъби
catàleg	каталог
adequat	адекватен
permanent	permanent
busquen	търсят
espai	пространство
impressió	впечатление
petit	малък
tomàs	томас
casualment	случайно
crítica	критика
troià	троян
vitrines	витрини
especialitat	специалност
na	na
química	химия
albert	алберт
clima	климат
lituània	литва
registrats	регистрирани
candidat	кандидат
global	глобал
televisió	телевизия
ago	ago
polònia	полония
javier	javier
essencial	essential
contacte	контакт
capa	капа
hollywood	холивуд
motor	мотор
llet	мляко
videojocs	видеоигри
curt	кратък
crèdit	кредит
so	so
tennis	тенис
tradicionals	традиционни
algunes	някои
voivoda	войвода
am	am
torneig	турнир
su	su
accesibles	достъпни
entrevista	интервю
escriptura	писменост
arc	arc
presó	затвор
pertanyent	принадлежащ
públiques	обществени
plàstic	пластмаса
petroli	петрол
sabadell	сабадел
vigilància	наблюдение
programari	софтуер
amiga	приятелка
parcialment	частично
viatge	пътешествие
1927	1927
projecció	прожекция
línies	линии
professora	преподавателка
dinar	динар
valentí	валентин
germana	сестра
2013	2013
debutar	дебютира
efectes	ефекти
ibn	ibn
emil	емил
autobús	автобус
quarta	четвърта
rural	селски
molts	много
debat	дебат
material	материал
colors	цветове
1929	1929
virtual	виртуален
arxiu	архив
da	da
número	номер
telèfon	телефон
sala	sala
copa	copa
fa	fa
von	von
aparcament	паркинг
població	население
façana	фасада
emir	емир
pistes	пътеки
notícia	новина
vestit	облекло
moviment	движение
comitè	комитет
sèries	серии
capacitat	капацитет
revolucionària	революционна
avantatge	предимство
fàbrica	фабрика
kazakh	казах
1-2	1-2
festival	фестивал
ofertes	оферти
reconstrucció	реконструкция
flor	цвете
galeria	галерия
específic	специфичен
texas	texas
galícia	галиция
viena	виена
províncies	провинции
manuel	мануел
síria	сирия
refugiats	бежанци
publicats	публикувани
1972	1972
essencials	есенциални
us	us
2011	2011
màxima	максима
jacques	jacques
màxim	максимум
treball	работа
paisatge	пейзаж
identificació	идентификация
val	val
llibertat	свобода
disciplina	дисциплина
2004	2004
coalició	коалиция
emissió	излъчване
led	led
marcel	marcel
1990	1990
classificació	класификация
escena	сцена
rival	rival
llatí	латински
letònia	латвия
organismes	организми
prevenció	превенция
oxford	оксфорд
explicació	обяснение
via	via
hotel	хотел
màquina	машина
1872	1872
crítiques	критици
conegut	познат
proteïnes	протеини
season	сезон
actuals	актуални
aprovació	одобрение
concerts	концерти
carolina	каролина
francesa	френска
vall	долина
1885	1885
malaltia	болест
república	република
execució	изпълнение
jutge	съдия
futbolístic	футболен
informacionals	информационни
deixat	оставен
químic	химик
potència	мощност
cristiana	християнка
carrer	ул
interior	interior
compost	компост
monedes	монети
activitats	активности
impuls	импулс
molècules	молекули
barri	квартал
projecte	проект
zero	нула
metges	лекари
teatre	театър
llengua	език
lloc	място
pèrdua	загуба
dia	ден
nota	нота
tractat	трактат
1933	1933
clic	клик
declarat	деклариран
baba	баба
posició	позиция
automòbil	автомобил
definitiva	окончателна
nomenat	назначен
sucre	sugar
poemes	поеми
suficient	достатъчен
televisor	телевизор
mario	марио
interpretació	интерпретация
sud	sud
1994	1994
institucional	институционален
smartphone	смартфон
pes	pes
traducció	превеждане
presoners	затворници
flandes	фландрия
cursos	курсове
identitat	идентичност
hipòtesi	хипотеза
barcelona	барселона
1886	1886
anys	години
formatge	сирене
hotels	хотели
alexandre	александър
rector	ректор
eduard	едуард
1932	1932
actes	actes
papa	папа
iniciatives	инициативи
hidrogen	водород
cafè	кафе
gamma	гама
problema	проблем
agrícola	земеделски
actual	actual
registrat	регистриран
mallorca	mallorca
una	една
condicions	условия
dir	dir
assassinat	assassination
documentació	документиране
princesa	принцеса
primera	първа
viatges	пътувания
segona	втора
desaparegut	изчезнал
espanyola	испанска
document	документ
recomanar	препоръчва
101	101
inclosa	включена
lluna	луна
1938	1938
força	сила
arthur	артур
pedro	педро
productors	производители
des	des
egipte	египет
establert	установено
limitat	ограничен
aprovat	одобрен
1924	1924
estratègia	стратегия
york	йорк
1953	1953
mental	mental
aproximadament	приблизително
categoria	категория
riquesa	богатство
lògica	логика
vàlid	валиден
dem	дем
votar	гласувам
vermella	червена
èxits	успехи
1981	1981
administrador	администратор
zona	зона
professors	професори
cartes	карти
modificacions	модификации
plaça	площад
obtenció	получаване
resultat	резултат
dano	дано
nacional	национал
rosa	роза
jueu	евреин
don	дон
edifici	сграда
proximitat	близост
mòduls	модули
lectors	лектори
e	е
fi	fi
florida	florida
ford	ford
duc	дук
etnografia	етнография
isabel	isabel
àsia	азия
visitar	посещавам
missatge	послание
especialitzat	специализиран
2005	2005
existeixen	съществуват
hivern	зима
radiació	радиация
teu	твой
factors	фактори
circular	circular
carles	карлес
tona	тона
sebastià	себастиан
figura	фигура
1962	1962
tecnologia	технология
estadi	стадион
determinada	определена
sèrbia	сърбия
banc	банк
resum	резюме
marí	морски
comportament	поведение
fitness	фитнес
alfons	алфонсо
joc	игра
mandat	мандат
anteriors	предишни
consciència	съзнание
cònjuge	съпруг
pont	мост
immobles	недвижими
publicat	публикуван
facultat	факултет
literari	литературен
ml	мл
ivanov	иванов
conseller	съветник
fil	фил
composició	композиция
brasil	бразил
agents	агенти
fonamental	фундаментален
secrets	тайни
investigadors	изследователи
òpera	опера
sempre	винаги
actor	актьор
esportiu	спортен
majoria	мнозинство
funcions	функции
centre	център
acer	acer
1876	1876
advocat	адвокат
1960	1960
desenvolupat	развит
moda	мода
districte	район
operacions	операции
joventut	младост
equació	уравнение
revista	ревиста
1894	1894
executant	изпълнител
igualtat	равенство
estudiant	студент
plena	плена
comunista	комунист
pakistan	пакистан
1914	1914
caça	лов
federal	федерален
testimoni	свидетел
columna	колона
comtes	comtes
sentiments	чувства
-8,5	-8,5
nicolau	николай
cançó	песен
comerç	търговия
entrenador	треньор
criteri	критерий
occidental	западен
els	els
edat	възраст
1935	1935
ministeri	министерство
típica	типична
turquia	турция
salamanca	саламанка
ulleres	очила
fernando	фернандо
publicació	публикация
enginyer	инженер
serveis	услуги
creixent	нарастващ
enrere	назад
vladímir	владимир
restaurants	ресторанти
sacerdot	свещеник
nostra	nostra
1925	1925
estadística	статистика
indonèsia	индонезия
hora	час
immediatament	immediately
viu	жив
membres	членове
1903	1903
1931	1931
1945	1945
justícia	справедливо
equilibri	равновесие
disminució	намаляване
història	история
científic	научен
atenció	внимание
començant	започващ
stefan	стефан
programes	програми
connectada	свързана
1921	1921
àngel	ангел
nintendo	нинтендо
correctament	правилно
carrers	улици
britànica	британска
públicament	публично
fundació	фондация
qualitatiu	качествен
pantalla	екрана
autoritat	авторитет
presentada	представена
activa	активна
tradicions	традиции
escultura	скулптура
abril	април
imperi	империя
james	джеймс
programació	програмиране
sony	sony
1907	1907
1895	1895
germà	брат
romànic	романски
compositor	композитор
ciclistes	велосипедисти
pablo	пабло
accés	достъп
1963	1963
brillant	блясък
hitler	хитлер
compromís	компромис
crema	крема
cultural	културен
wifi	wifi
acció	акция
president	президент
caràcter	характер
finançament	финансиране
divendres	петък
oldid	oldid
interessos	интереси
coneixements	знания
ampliació	разширение
mapa	карта
dret	право
producció	производство
associacions	асоциации
combustible	гориво
poble	село
qualitats	качества
superar	преодолява
sicília	сицилия
seguretat	сигурност
amor	любов
ocupat	окупиран
1946	1946
vinya	вина
restes	остатъци
olímpic	олимпийски
proxim	близък
total	total
1897	1897
navegació	навигация
esperit	дух
frontera	граница
aspectes	аспекти
produïdes	произведени
central	централна
propietari	собственик
ànima	душа
immigrants	имигранти
margarita	маргарита
francesc	франческо
riu	река
neteja	чистене
territori	територия
sorpresa	изненада
superfície	повърхност
gel	gel
vidre	стъкло
gent	gent
escola	школа
portes	врати
dècada	десетилетие
1979	1979
propietat	собственост
aplicació	приложение
palestina	палестина
1882	1882
març	март
versió	версия
accessoris	аксесоари
plataforma	платформа
romana	римска
luxe	luxe
aigua	вода
doctor	доктор
associació	асоциация
americà	американец
client	клиент
liceu	лицей
jove	млад
setge	обсада
esquema	схема
premiere	премиера
sola	sola
habitatge	жилище
femenina	женска
probablement	вероятно
científica	научна
respectivament	респективно
governador	губернатор
realització	реализация
llit	легло
referèndum	референдум
manifestacions	манифестации
servei	сервис
2018	2018
-10,5	-10,5
mozart	моцарт
art	изкуство
filosofia	философия
exercici	упражнение
campió	шампион
conseqüència	последица
actualitat	актуалност
nov	nov
filip	филип
1943	1943
paràmetres	параметри
científics	научни
proteïna	протеин
tres	три
organització	организация
angola	ангола
bureau	бюро
1881	1881
espiritual	духовен
lector	лектор
jerusalem	йерусалим
persa	персийски
ciutat	град
responsabilitat	отговорност
crisi	криза
pertanyen	принадлежат
exèrcit	армия
sexe	sexe
rellotges	часовници
diputat	депутат
dibuix	рисунка
rota	рота
fos	фос
autònoma	автономна
cançons	песни
xvii	xvii
1912	1912
russa	руска
americana	американска
agustí	августин
amsterdam	амстердам
1944	1944
velocitat	скорост
progrés	прогрес
famílies	семейства
sector	сектор
edificis	сгради
camí	пътека
democràtica	демократична
artístic	артистичен
1920	1920
policia	полиция
terra	земя
cinema	кино
funcionament	функциониране
1905	1905
negre	черно
animals	животни
tailàndia	тайланд
símbol	символ
representant	представител
arxius	архиви
producte	продукт
pensament	мисъл
1978	1978
solidaritat	солидарност
situacions	ситуации
grec	гръцки
víctima	жертва
segurament	сигурно
platges	плажове
generals	генерали
carmen	carmen
usuaris	потребители
excepcionalment	изключително
poema	поема
1989	1989
140	140
videoclips	видеоклипове
tipus	тип
víctimes	жертви
dinastia	династия
1975	1975
veí	съсед
autors	автори
noruega	норвегия
ramon	рамон
concert	концерт
panell	панел
incloure	включвам
nord-oest	северозапад
gegant	гигант
1900	1900
membre	член
model	модел
modificada	модифицирана
búlgars	българи
llorenç	лорънс
1947	1947
portal	портал
fundadors	основатели
competències	компетенции
cinc	пет
nit	нощ
tràcia	тракия
actors	актьори
reflexió	рефлексия
mobles	мебели
patró	патрон
llicència	лиценз
promoció	промоция
príncep	принц
vilafranca	vilafranca
renovació	реновация
dòlars	долари
ni	ni
surt	излизам
restaurant	ресторант
blocs	блокове
llum	лъч
estàndard	стандарт
lat	lat
instruccions	инструкции
mecanismes	механизми
mort	мъртъв
cardenal	кардинал
poblat	населено
episodi	епизод
turisme	туризъм
avaluació	оценка
san	san
rússia	русия
inferior	inferior
altar	altar
europeu	европейски
la	la
segles	векове
som	som
1965	1965
estatut	статут
registre	регистър
vent	вятър
ciència	наука
ulls	очи
1954	1954
gossos	кучета
abu	abu
sud-est	югоизток
projectes	проекти
posicions	позиции
escollits	избрани
taxa	такса
documents	документи
exposicions	експозиции
conflicte	конфликт
estiu	лято
personalitats	личности
mitjana	средна
teodor	теодор
denominació	деноминация
milió	милион
artística	артистична
definitivament	окончателно
regne	кралство
autonomia	автономия
econòmic	икономически
pràctiques	практики
eslovàquia	словакия
etapa	етап
toc	ток
situació	ситуация
ivanova	иванова
mobilitat	мобилност
memòria	памет
