undecided	unentschieden
consumer	verbraucher
dictionary	wörterbuch
control	kontrolle
reinforced	verstärkt
provincial	provinzial
mother	mutter
newcastle	newcastle
robert	robert
chess	schach
lyrics	lyrics
jerusalem	jerusalem
hitler	hitler
retreat	rückzug
suicide	selbstmord
chapel	kapelle
islamic	islamisch
deep	tief
dokumentation	dokumentation
cotton	baumwolle
october	oktober
touchdown	touchdown
washington	washington
spider	spinne
michigan	michigan
jonathan	jonathan
saarbrücken	saarbrücken
officer	offizier
filmed	gefilmt
hangs	hängt
saw	säge
athletics	leichtathletik
tropical	tropisch
visited	besucht
solution	lösung
clark	clark
rom	rom
motive	motiv
liverpool	liverpool
impression	eindruck
urls	urls
invited	eingeladen
fact	tatsache
parties	parteien
twenty	zwanzig
feelings	gefühle
projects	projekte
sullivan	sullivan
files	dateien
campbell	campbell
bells	glocken
roger	roger
late	spät
styria	steiermark
warned	gewarnt
quarter	viertel
hampshire	hampshire
rarer	seltener
forests	wälder
prepared	vorbereitet
jones	jones
always	immer
jose	jose
progress	fortschritt
danube	donau
tommy	tommy
clinic	klinik
commission	kommission
allgemeine	allgemeine
predecessor	vorgänger
properties	eigenschaften
media	medien
machine	maschine
pilot	pilot
boxing	boxen
lebanon	libanon
reine	reine
contact	kontakt
factory	fabrik
wladimir	wladimir
robin	rotkehlchen
percentage	prozentsatz
appointment	verabredung
bridges	brücken
photography	fotografie
comics	comics
sociology	soziologie
serial	seriennummer
northwest	nordwest
squad	squad
dance	tanz
won	gewonnen
episode	episode
mountain	berg
step	schritt
speed	geschwindigkeit
albert	albert
archive	archiv
preparation	vorbereitung
model	modell
doubt	zweifel
hab	hab
athletes	athleten
formulation	formulierung
fox	fuchs
zurich	zürich
untersuchung	untersuchung
radical	radikal
kapitän	kapitän
distance	entfernung
interior	innenraum
productions	produktionen
erst	erst
parker	parker
railroad	eisenbahn
initiated	initiiert
baker	bäcker
longs	longs
palm	palme
geography	geographie
einmal	einmal
wickets	wickets
composed	komponiert
nominations	nominierungen
script	skript
bot	bot
wedding	hochzeit
korea	korea
alben	alben
middle	mitte
description	beschreibung
capacity	kapazität
schüler	schüler
hello	hallo
author	verfasser
prose	prosa
journalism	journalismus
condemned	verurteilt
alone	allein
vision	vision
württemberg	württemberg
fighter	kämpfer
evidence	beweismittel
essex	essex
marketing	marketing
schnell	schnell
archbishop	erzbischof
villages	dörfer
bernard	bernard
mündung	mündung
experts	experten
denver	denver
reputation	reputation
electronic	elektronisch
georgia	georgien
murdered	ermordet
munich	münchen
innsbruck	innsbruck
identically	identisch
hope	hoffnung
qualified	qualifiziert
celtic	keltisch
navigation	navigation
nürnberger	nürnberger
influence	einfluss
rule	regel
scenes	szenen
nickname	spitzname
archives	archiven
publisher	verleger
later	später
democracy	demokratie
indiana	indiana
entwurf	entwurf
forces	kräfte
melding	meldung
transportation	transportation
warren	warren
russia	russland
florence	florenz
dresdner	dresdner
philippines	philippinen
few	wenige
lie	lüge
suspicion	verdacht
month	monat
cell	zelle
sculpture	skulptur
theme	thema
regulation	regelung
police	polizei
appearances	erscheinungen
jap	jap
history,	geschichte
warsaw	warszawa
representatives	repräsentanten
policies	policies
centers	zentren
possible	möglich
why	warum
doors	türen
closeness	nähe
günter	günter
arkansas	arkansas
initiative	initiative
saudi	saudi
diseases	krankheiten
dissolved	aufgelöst
sisters	schwestern
schulen	schulen
filmography	filmografie
green	grün
tournaments	turniere
sacrifice	opfer
party	party
mainstream	hauptstrom
weapons	waffen
surgery	chirurgie
gerhard	gerhard
materials	materialien
sentences	sätze
maritime	maritim
father	vater
online	online
lane	lane
kim	kim
thirty	dreißig
destroyed	zerstört
faculty	fakultät
owner	eigentümer
distribution	verteilung
statue	statue
basel	basel
figures	figuren
pirates	piraten
situations	situationen
democratic	demokratisch
endangered	gefährdet
performances	aufführungen
sourcing	sourcing
willi	willi
landscape	landschaft
dean	dekan
expedition	expedition
punk	punk
advertisement	werbung
constitutional	konstitutionell
neumann	neumann
animals	tiere
cited	zitiert
then	dann
hundred	hundert
dangers	gefahren
attorney	rechtsanwalt
protein	protein
indigenous	einheimisch
monastery	kloster
acid	säure
sung	gesungen
slowly	langsam
method	methode
host	gastgeber
clinton	clinton
identification	identifikation
birmingham	birmingham
man	mann
rhineland	rheinland
animated	animiert
belonging	zugehörigkeit
harris	harris
muster	muster
danny	danny
clear	klar
bull	stier
orchestra	orchester
under	unter
bear	bär
lloyd	lloyd
missouri	missouri
journalists	journalisten
north	nord
hours	stunden
irrelevant	irrelevant
line,	linie
strategy	strategie
architecture	architektur
expenditures	ausgaben
months	monate
fuel	brennstoff
adventure	abenteuer
grass	gras
son	sohn
routes	routen
hildesheim	hildesheim
förderung	förderung
money	geld
salzburger	salzburger
senior	senior
eu	eu
altar	altar
arizona	arizona
certified	zertifiziert
easier	einfacher
shall	shall
christi	christi
leeds	leeds
jazz	jazz
christoph	christoph
unless	unless
claude	claude
fought	kämpfte
faces	gesichter
secretary	sekretärin
merit	verdienst
pagename	pagename
screenwriter	drehbuchautor
sri	sri
letters	buchstaben
and/or	und/oder
rejected	abgelehnt
scotland	schottland
winter	winter
remix	remix
wise	weise
bowl	bowl
violin	geige
exclusive	exklusiv
concrete	beton
kerala	kerala
hugo	hugo
weaver	weber
weekend	wochenende
cloud	wolke
progressive	fortschrittlich
raw	roh
dancing	tanzend
stuart	stuart
everything	alles
linear	linear
heads	köpfe
market	markt
bed	bett
genus	gattung
arnold	arnold
classic	klassiker
ältere	ältere
ursula	ursula
infantry	infanterie
concert	konzert
library	bibliothek
addition	addition
licence	lizenz
expansion	ausdehnung
bochum	bochum
brother	bruder
apartment	appartement
arrival	ankunft
actresses	schauspielerinnen
sand	sand
translator	übersetzer
würzburg	würzburg
highest	höchsten
shakespeare	shakespeare
simon	simon
root	wurzel
howard	howard
fusion	fusion
virgin	jungfrau
enemy	feind
nation	nation
joseph	joseph
agent	agent
price	preis
dynasty	dynastie
papers	papiere
halt	halt
potential	potenzial
wiesbaden	wiesbaden
candidacy	kandidatur
hometown	heimatstadt
burgomaster	bürgermeister
network	netzwerk
important	wichtig
occupied	besetzt
argument	argument
concerts	konzerte
longer	länger
ruf	ruf
dragon	drache
sculptor	bildhauer
construction	konstruktion
tournament	turnier
supreme	supreme
francesco	francesco
european	europäisch
weight	gewicht
website	webseite
populations	populations
charlie	charlie
merits	verdienste
attack	angriff
thither	dorthin
socialist	sozialist
entrance	eintritt
coaching	coaching
keith	keith
dave	dave
bearbeitet	bearbeitet
patrol	patrouille
statement	aussage
basketball	basketball
jurisdiction	jurisdiktion
french	französisch
belgium	belgien
throne	thron
musician	musiker
mtv	mtv
george	georg
missing	vermisst
free	kostenlos
harrison	harrison
data	daten
prerequisites	voraussetzungen
ship	schiff
thread	faden
polnische	polnische
telephone	telefon
adults	erwachsene
nato	nato
potsdam	potsdam
specific	spezifisch
towards	towards
criticism	kritik
persecution	verfolgung
chapter	kapitel
streit	streit
fields	felder
luther	luther
widow	witwe
closer	closer
undo	rückgängig
charles	charles
muslims	muslims
kenya	kenya
bay	bucht
learned	gelernt
discussion	diskussion
laws	gesetze
lake	see
soft	weich
#efefef	#efefef
theodore	theodor
microsoft	microsoft
clay	lehm
christine	christine
sprint	sprint
excluded	ausgeschlossen
muslim	muslim
insel	island
lübeck	lübeck
revolutionary	revolutionär
strike	streik
island	insel
sister	schwester
category	kategorie
threatened	bedroht
hartmann	hartmann
fifteen	fünfzehn
army	armee
graz	graz
reported	berichtet
billions	milliarden
mining	bergbau
hollywood	hollywood
partner	partner
globe	globus
informed	informiert
loss	verlust
hospital	krankenhaus
double	doppelt
turkish	türkisch
academy	akademie
oil	öl
louisiana	louisiana
liberal	liberaler
transport	transport
here	hier
failed	gescheitert
jeff	jeff
iowa	iowa
how	wie
provided	bereitgestellt
kleine	kleine
portuguese	portugiesisch
investment	investition
nbc	nbc
parameters	parameters
autobahn	autobahn
type	typ
land	land
contra	contra
benjamin	benjamin
theory	theorie
baseball	baseball
charlotte	charlotte
table	tisch
towers	türme
golden	golden
influential	einflussreich
tourism	tourismus
existence	existenz
poly	poly
erforschung	erforschung
bomb	bombe
five	fünf
option	option
corps	korps
copy	kopie
org/wiki/	org/wiki/
taiwan	taiwan
vegas	vegas
guided	geleitet
besten	besten
ohio	ohio
noise	lärm
coalition	koalition
steps	schritte
pedro	pedro
played	gespielt
men	männer
protected	geschützt
choir	chor
football	fußball
pete	pete
chemical	chemisch
boston	boston
manga	manga
crime	verbrechen
apple	apfel
rudolf	rudolf
oldest	älteste
relegation	abstieg
cricketer	cricketspieler
eyes	augen
patrick	patrick
music	musik
mitchell	mitchell
cemetery	friedhof
resources	ressourcen
officers	offiziere
unification	vereinigung
evening	abend
campus	campus
aaron	aaron
composition	zusammensetzung
mecklenburg	mecklenburg
earthquake	erdbeben
dissemination	verbreitung
melbourne	melbourne
matt	matt
ideal	ideal
changed	verändert
president	präsident
temple	tempel
netherlands	niederlande
johnson	johnson
bound	gebunden
patients	patienten
cousin	cousin
organised	organisiert
spain	spanien
reader	leser
slave	sklave
frequency	häufigkeit
husband	ehemann
logo	logo
australian	australisch
ethnic	ethnisch
fountain	brunnen
austin	austin
midfielder	mittelfeldspieler
weekly	wöchentlich
milk	milch
decision	entscheidung
gordon	gordon
west	west
jens	jens
before	vorher
acoustic	akustisch
comparable	vergleichbar
matter	materie
critical	kritisch
gospel	evangelium
coffee	kaffee
united	vereinigt
seen	gesehen
aber	aber
committee	ausschuss
stockholm	stockholm
edinburgh	edinburgh
signature	unterschrift
logs	logs
guilty	schuldig
background	hintergrund
september	september
stat	stat
collective	kollektiv
white	weiß
apprenticeship	ausbildung
bachelor	junggeselle
leonard	leonard
acknowledged	anerkannt
literature	literatur
businessman	geschäftsmann
temperature	temperatur
stronger	stärker
improvements	verbesserungen
persian	persisch
elisabeth	elisabeth
membership	mitgliedschaft
christianity	christentum
far	weit
alaska	alaska
markets	märkte
insects	insekten
festschrift	festschrift
oxford	oxford
dj	dj
ältesten	ältesten
nevada	nevada
participant	teilnehmer
seconds	sekunden
real	real
services	dienste
comic	comic
lead	blei
strategic	strategisch
heinz	heinz
insurance	versicherung
financial	finanzielle
economics	volkswirtschaftslehre
colony	kolonie
orleans	orléans
hindu	hindu
countess	gräfin
medical	medizinisch
rugby	rugby
judge	richter
lincoln	lincoln
research	forschung
stark	stark
nigeria	nigeria
luck	glück
legs	beine
coast	küste
exhibition	ausstellung
worldwide	weltweit
matthias	matthias
duties	pflichten
gebiete	gebiete
machinery	maschinen
fernsehen	fernsehen
economy	ökonomie
fire	feuer
your	dein
principles	prinzipien
arbitration	schiedsverfahren
jews	juden
variable	variabel
andreas	andreas
zeitschrift	zeitschrift
american	amerikanisch
written	geschrieben
factors	faktoren
doctors	ärzte
robinson	robinson
regional	regional
route	route
beziehungen	beziehungen
russian	russisch
communication	kommunikation
harbor	hafen
lat	lat
upbringing	erziehung
successful	erfolgreich
alcohol	alkohol
tram	straßenbahn
november	november
folge	folge
discipline	disziplin
pages	seiten
solutions	lösungen
larry	larry
short	kurz
museums	museen
compilation	kompilation
kings	könige
coerced	gezwungen
secured	gesichert
brandenburg	brandenburg
love	liebe
structure	struktur
jerry	jerry
gold	gold
utah	utah
fans	fans
iranian	iranisch
inc	inc
rolf	rolf
gemeinden	gemeinden
poverty	armut
jobs	jobs
ferdinand	ferdinand
cross	kreuz
sometimes	manchmal
figure	figur
madrid	madrid
hoffmann	hoffmann
law,	gesetz
romania	rumänien
instrument	instrument
maximum	maximum
contributed	beigetragen
wins	gewinnt
post	post
tritt	tritt
caught	eingefangen
cleveland	cleveland
thompson	thompson
documentary	dokumentarfilm
discovery	entdeckung
maria	maria
wagner	wagner
korean	koreanisch
lion	löwe
ships	schiffe
structures	strukturen
frame	rahmen
thai	thai
accused	angeklagt
significant	signifikant
fairly	fairly
architect	architekt
southwest	südwesten
different	verschieden
cool	kühl
sport	sport
recommended	empfohlen
rogers	rogers
forschungen	forschungen
jh	jh
cells	zellen
historical	historisch
fruit	frucht
adelaide	adelaide
tübingen	tübingen
abschnitt	abschnitt
search	suche
must	müssen
part	teil
defender	verteidiger
bmw	bmw
jena	jena
opposed	entgegengesetzt
erwin	erwin
golf	golf
thin	dünn
inhabitant	bewohner
greek	griechisch
trivial	trivial
bamberg	bamberg
belt	gürtel
yorkshire	yorkshire
julia	julia
experience	erfahrung
sierra	sierra
property	eigentum
exception	ausnahme
body	körper
silver	silber
treatment	behandlung
tube	röhre
scoring	scoring
thu	thu
karlsruhe	karlsruhe
liberation	befreiung
milan	milan
shadow	schatten
nassau	nassau
second	zweiter
pope	papst
percussion	perkussion
drugs	drogen
affairs	angelegenheiten
traditional	traditionell
serbia	serbien
blood	blut
sponsored	gesponsert
moscow	moskau
movements	bewegungen
seasons	jahreszeiten
formulated	formuliert
marco	marco
increasingly	zunehmend
brunswick	braunschweig
gothic	gotisch
florian	florian
collections	sammlungen
architects	architekten
intended	beabsichtigt
ten	zehn
vandalism	vandalismus
documents	dokumente
acknowledgment	anerkennung
extremely	äußerst
arm	arm
danish	dänisch
river	fluss
derby	derby
blätter	blätter
anmerkungen	anmerkungen
campaign	kampagne
plans	pläne
military	militärisch
somewhere	irgendwo
greece	griechenland
again,	wieder
battalion	bataillon
aachen	aachen
wunsch	wunsch
program	programm
extinct	ausgestorben
collins	collins
bird	vogel
abstention	abstimmung
processes	prozesse
technologies	technologien
opportunity	gelegenheit
producer	produzent
immigration	einwanderung
grande	grande
edwards	edwards
state	staat
tanks	tanks
organisation	organisation
advanced	fortgeschritten
against	gegen
wuppertal	wuppertal
fish	fisch
cardinal	kardinal
tables	tische
internationalen	internationalen
andy	andy
not	nicht
publication	veröffentlichung
officially	offiziell
blog	blog
brussels	brüssel
france	frankreich
austria	österreich
cash	bargeld
mal	mal
denmark	dänemark
roland	roland
alps	alpen
eva	eva
designed	entworfen
knot	knoten
coi	coi
january	januar
agreement	übereinkunft
fisherman	fischer
yes	ja
territorial	territoriale
york	york
representation	repräsentation
corporation	korporation
set	gesetzt
morgan	morgan
pioneer	pionier
susan	susan
experiment	experiment
truck	lkw
southeast	südosten
göttingen	göttingen
intellectual	intellektuell
quellen	quellen
logic	logik
talks	talks
stephan	stephan
attentiveness	aufmerksamkeit
submarine	unterseeboot
four	vier
parish	pfarrei
instrumental	instrumental
shah	shah
sickness	krankheit
stadium	stadion
julius	julius
central	zentral
les	les
tamil	tamil
carrier	träger
file	datei
hannover	hannover
terry	terry
cycle	zyklus
nuremberg	nürnberg
concentration	konzentration
universe	universum
luftwaffe	luftwaffe
hall	halle
infobox	infobox
authors	autoren
family	familie
overview	überblick
kleinen	kleinen
amerikanische	amerikanische
now	jetzt
houses	häuser
breisgau	breisgau
bank	bank
maximilian	maximilian
forward	vorwärts
canada	kanada
mainz	mainz
situation	situation
heath	heide
idea	idee
importance	wichtigkeit
shanghai	shanghai
asp	asp
egypt	ägypten
rd	rd
teacher	lehrer
extreme	extremer
valign	valign
landing	landung
hamilton	hamilton
agency	agentur
motors	motoren
dissertation	dissertation
kiel	kiel
students	studierende
agricultural	agricultural
sons	söhne
northern	nördlich
sweet	süß
map	karte
angel	engel
publications	veröffentlichungen
jefferson	jefferson
monthly	monatlich
worse	schlimmer
platforms	plattformen
audio	audio
herbert	herbert
guinea	guinea
consecrated	geweiht
osnabrück	osnabrück
peoples	völker
louis	louis
sebastian	sebastian
murder	mord
yugoslavia	jugoslawien
neuzeit	neuzeit
heaven	himmel
coach	coach
locomotives	lokomotiven
sleep	schlaf
volume	volumen
norwegian	norwegisch
tip	tipp
relevance	relevanz
introduction	einführung
nuclear	nuklear
dauer	dauer
anime	anime
continental	kontinental
foot	fuß
toronto	toronto
long	lang
raymond	raymond
editorial	redaktionell
success	erfolg
hessen	hessen
citation	zitierung
download	herunterladen
unincorporated	unincorporated
ard	ard
vancouver	vancouver
sed	sed
queensland	queensland
oskar	oskar
eruption	ausbruch
nie	nie
carlos	carlos
region	region
paul	paul
panel	panel
hunter	jäger
banks	banken
ottawa	ottawa
saturday	samstag
heroes	helden
trees	bäume
conscience	gewissen
autonomous	autonome
copenhagen	kopenhagen
adams	adams
composer	komponist
expensive	teuer
venezuela	venezuela
beam	balken
argumentation	argumentation
examples	beispiele
regierungsbezirk	regierungsbezirk
useful	nützlich
vorpommern	vorpommern
house	haus
defense	verteidigung
identity	identität
manager	manager
horror	horror
palestinian	palästinensisch
rescue	rettung
king	könig
dissolution	auflösung
bengal	bengal
information	information
territory	territorium
playtime	spielzeit
tribute	tribut
streets	strassen
becker	becker
commented	kommentiert
paid	bezahlt
clinical	klinisch
blind	blinde
governors	gouverneure
summit	gipfel
fifa	fifa
provinces	provinzen
buffalo	büffel
conductor	dirigent
seal	siegel
birthday	geburtstag
eberhard	eberhard
racing	rennsport
passengers	passagiere
damaged	beschädigt
conclusion	schluss
encyclopedic	enzyklopädisch
leopold	leopold
blues	blues
baby	baby
senators	senatoren
franchise	franchise
support	unterstützung
open	offen
anonymous	anonym
lothar	lothar
photographs	fotografien
tennessee	tennessee
paris	paris
words	wörter
roof	dach
protest	protest
duisburg	duisburg
hudson	hudson
crystal	kristall
knight	ritter
sections	abschnitte
johannes	johannes
hughes	hughes
copper	kupfer
new	neu
dreams	träume
romantic	romantisch
jane	jane
filled	gefüllt
interviews	interviews
objective	objektiv
santa	santa
clothing	kleidung
bought	gekauft
parliament	parlament
african	afrikanisch
director	regisseur
nominated	nominiert
zug	zug
artist	künstler
portal	portal
theories	theorien
boote	boote
ian	ian
murray	murray
active	aktiv
png	png
james	james
steven	steven
offer	angebot
reception	empfang
giant	riese
michael	michael
philosophy	philosophie
litre	liter
broadway	broadway
ausgabe	ausgabe
jesus	jesus
bangladesh	bangladesch
marie	marie
null	null
ranking	rangliste
rose	rose
atlanta	atlanta
vehicles	fahrzeuge
mobile	mobile
census	volkszählung
neil	neil
vessels	gefäße
oberbürgermeister	oberbürgermeister
oberliga	oberliga
foundation	stiftung
dietrich	dietrich
palestine	palästina
monument	denkmal
lip	lippe
difficulties	schwierigkeiten
israel	israel
adam	adam
steel	stahl
leaf	blatt
higher	höher
detroit	detroit
implemented	umgesetzt
renaming	umbenennung
persecuted	verfolgt
also	auch
anderson	anderson
challenge	herausforderung
poetry	poesie
photos	fotos
athens	athen
motor	motor
parks	parks
camera	kamera
sultan	sultan
lines	linien
village	dorf
personalities	persönlichkeiten
carlo	carlo
band	bande
wolf	wolf
purple	purpurn
categories	kategorien
coastal	küstenland
barcelona	barcelona
historian	historiker
field	feld
muhammad	muhammad
duo	duo
nature	natur
welcome	willkommen
theologian	theologe
infrastructure	infrastruktur
wine	wein
schwarze	schwarze
dortmund	dortmund
group	gruppe
planned	geplant
opposition	opposition
requirements	anforderungen
bulgaria	bulgarien
bobby	bobby
sämtliche	sämtliche
internet	internet
massachusetts	massachusetts
legend	legende
forum	forum
csu	csu
feast	fest
chairman	vorsitzender
\frac	\frac
italian	italienisch
true,	wahr
abu	abu
wife	ehefrau
portrait	porträt
strength	stärke
engineers	ingenieure
behalf	behalf
ukrainian	ukrainisch
minnesota	minnesota
maximal	maximal
buenos	buenos
along	entlang
determined	bestimmt
vermont	vermont
façade	fassade
leipzig	leipzig
alabama	alabama
integration	integration
national	national
species	spezies
ceo	ceo
platte	platte
during	während
brothers	brüder
adult	erwachsener
japan	japan
light	licht
wallace	wallace
breakthrough	durchbruch
bbc	bbc
endemic	endemisch
diplomat	diplomat
church	kirche
judgement	urteil
politician	politiker
alumni	alumni
mexico	mexiko
god	gott
creative	schöpferisch
honorary	ehrendoktor
requirement	anforderung
nonsense	unsinn
kommandeur	kommandeur
designer	designer
ehrlich	ehrlich
guy	guy
back	rücken
international	international
linux	linux
segment	segment
false	falsch
städte	städte
nachrichten	nachrichten
guitarist	gitarrist
ball	ball
variant	variante
norman	norman
bow	bogen
playoffs	playoffs
guitars	gitarren
christus	christus
schwarzen	schwarzen
sheffield	sheffield
glass	glas
references	referenzen
clerk	klerk
jimmy	jimmy
dm	dm
club	club
serbian	serbisch
blp	blp
lieber	lieber
helen	helen
inside	innen
kennedy	kennedy
young	jung
formal	formell
heart	herz
wooden	hölzern
color	farbe
cabinet	kabinett
oberst	oberst
doch	doch
german	german
philippine	philippinisch
parents	eltern
edward	edward
tours	tours
electricity	elektrizität
married	verheiratet
engineer	ingenieur
wisconsin	wisconsin
maryland	maryland
children	kinder
underside	unterseite
allegedly	angeblich
mouth	mund
prince	prinz
eighth	achte
knapp	knapp
düsseldorf	düsseldorf
hectare	hektar
objects	gegenstände
ran	ran
hardware	hardware
stage	bühne
driven	getrieben
elf	elf
quotation	zitat
conflict	konflikt
born	geboren
senator	senator
albrecht	albrecht
numerous	zahlreich
correct	korrekt
josé	josé
traditions	traditionen
dallas	dallas
seattle	seattle
benedict	benedikt
rabbi	rabbiner
wittenberg	wittenberg
arrangement	arrangement
funds	funds
richard	richard
expert	experte
colleagues	kollegen
tokyo	tokyo
soap	seife
suit	anzug
cofounder	mitbegründer
technology	technik
siege	belagerung
diameter	durchmesser
after	nach
ämter	ämter
agents	agenten
africa	afrika
context	kontext
actors	akteure
trophy	trophäe
oblast	oblast
broadcasting	broadcasting
battery	batterie
dogs	hunde
prussia	preußen
friendship	freundschaft
auf	auf
recognisable	erkennbar
roberts	roberts
auckland	auckland
community	gemeinschaft
mathematical	mathematisch
leipziger	leipziger
conquest	eroberung
patent	patent
legitimate	legitim
jim	jim
without	ohne
governments	regierungen
unclear	unklar
pennsylvania	pennsylvania
home	heim
exhibitions	ausstellungen
screenplay	drehbuch
sole	sole
dated	datiert
weapon	waffe
friend	freund
archaeology	archäologie
exile	exil
workshop	werkstatt
priest	priester
gov	gov
global	global
stimmen	stimmen
canal	kanal
abitur	abitur
dvd	dvd
format	format
statistics	statistik
dublin	dublin
cbs	cbs
dresden	dresden
antarctic	antarktis
meines	meines
measures	maße
celebrated	gefeiert
rechristened	umbenannt
troops	truppen
spectator	zuschauer
continued	fortgesetzt
org/w/index	org/w/index
dich	dich
pakistan	pakistan
christopher	christopher
constitution	verfassung
einheit	einheit
bonn	bonn
unconditionally	unbedingt
steam	dampf
chair	stuhl
heinrich	heinrich
elevation	erhebung
elevated	erhöht
critic	kritiker
cold	kalt
modern	modern
stones	steine
democrats	demokraten
manufacturing	fertigung
buddhist	buddhist
art	kunst
academic	akademisch
radio	radio
republic	republik
representative	repräsentant
tiger	tiger
directors	direktoren
medicine	medizin
diplomatic	diplomatisch
duchy	herzogtum
rené	rené
out	aus
supported	unterstützt
operator	operator
organ	orgel
reiner	reiner
believes	glaubt
candidate	kandidat
settlements	ansiedlungen
rain	regen
accepted	akzeptiert
necessary	notwendig
syndrome	syndrom
hms	hms
finland	finnland
measured	gemessen
discovered	entdeckt
farmers	landwirte
phil	phil
%	%
alice	alice
birds	vögel
politics	politik
arts	künste
bible	bibel
quality	qualität
juniors	junioren
injuries	verletzungen
schneller	schneller
braun	braun
authority	autorität
schwerin	schwerin
fourth	vierter
egyptian	ägyptisch
marburg	marburg
minister	minister
genre	genre
guideline	richtlinie
specialized	spezialisiert
conrad	konrad
street	straße
alpha	alpha
kpd	kpd
fulfilled	erfüllt
mill	mühle
views	ansichten
malaysia	malaysia
interview	interview
negative	negativ
window	fenster
nepal	nepal
brooklyn	brooklyn
steve	steve
peter	peter
europe	europa
brewery	brauerei
occupation	besetzung
germany	deutschland
leading	führend
philosopher	philosoph
grafen	grafen
two	zwei
twelve	zwölf
inner	inneres
madison	madison
poems	gedichte
reservoir	reservoir
republican	republikaner
florida	florida
criminal	verbrecher
superfluous	überflüssig
nr	nr
generation	generation
feet	füße
walls	wände
schade	schade
horse	pferd
grandfather	großvater
editwar	editwar
%/	%/
taken	genommen
josef	josef
iran	iran
rostock	rostock
pearl	perle
garden	garten
quite	quite
thomas	thomas
hundreds	hunderte
integrated	integriert
bruce	bruce
mac	mac
alfred	alfred
hard	hart
overseas	overseas
auflage	auflage
magic	zauberkunst
