schlug	colpì
königlich	reale
selten	raro
waffe	arma
variationen	variazioni
blume	fiore
konzept	concetto
situation	situazione
demokratisch	democratico
fels	roccia
sinn	senso
architektur	architettura
lisa	lisa
singulär	singolare
erkennbar	riconoscibile
karte	mappa
murray	murray
finden	trovare
prozess	processo
erobern	conquistare
russland	russia
folgten	seguirono
geschlossen	chiuso
angriff	attacco
motoren	motori
york	york
südafrika	sudafrica
maschera	maschera
moore	moore
lizenz	licenza
simone	simone
eddie	eddie
capito	capito
kanone	cannone
brasilianer	brasiliano
zone	zona
schlüssel	chiave
donald	donald
erlaubnis	permesso
thema	tema
verloren	perduto
sostenuto	sostenuto
namen	nomi
allgemeine	allgemeine
elemente	elementi
mehr	più
moral	morale
verteidiger	difensore
spannung	tensione
initiative	iniziativa
gern	volentieri
teilen	condividere
unter	sotto
korea	corea
patriot	patriota
widerstand	resistenza
erzählung	racconto
belgien	belgio
katalog	catalogo
gattungen	generi
beide	entrambe
werte	valori
fragen	chiedere
drehbuchautor	sceneggiatore
regelung	regolazione
anlagen	impianti
erinnerung	ricordo
geöffnet	aperto
siegte	vinse
operiert	operato
garten	giardino
persönlichkeit	personalità
autonomie	autonomia
google	google
funktionen	funzioni
weihnachten	natale
korrigiert	corretto
ereignis	avvenimento
nationen	nazioni
territorien	territori
wagner	wagner
franziskus	francesco
erfahrung	esperienza
periode	periodo
lorenzo	lorenzo
gross	grosso
soli	soli
süß	dolce
abwesenheit	assenza
verluste	perdite
besucht	visitato
dfb	dfb
nein	no
prüfung	prova
diana	diana
russo	russo
ausgebildet	istruito
michigan	michigan
fusion	fusione
settimo	settimo
georgia	georgia
atto	atto
frei	libero
stadion	stadio
geschrieben	scritto
italo	italo
grazia	grazia
nba	nba
variante	variante
bauen	costruire
morgan	morgan
schläge	colpi
forti	forti
franzosen	francesi
novara	novara
priester	prete
verstehen	capire
schriftstellerin	scrittrice
inzwischen	intanto
williams	williams
freiburg	friburgo
chemie	chimica
automatik	automatico
institut	istituto
kollegium	collegio
saal	sala
garibaldi	garibaldi
videospiel	videogioco
autor	autore
farbe	colore
genug	abbastanza
samstag	sabato
türkei	turchia
ukraine	ucraina
php	php
russell	russell
amerikaner	americano
adam	adamo
dokument	documento
verfassung	costituzione
armando	armando
persönlich	personale
phänomene	fenomeni
licht	luce
studieren	studiare
flora	flora
wiederaufnahme	ripresa
beobachten	osservare
emilio	emilio
weltrekord	record
meinungen	opinioni
\cdot	\cdot
schreiben	scrivere
beweisen	dimostrare
bevölkerung	popolazione
verona	verona
manchmal	talvolta
sache	cosa
adresse	indirizzo
schnitt	taglio
scott	scott
europäisch	europeo
stimmen	stimmen
kanal	canale
coi	coi
jonathan	jonathan
sektoren	settori
orientierung	orientamento
langsam	lentamente
turm	torre
fleisch	carne
wache	guardia
partisan	partigiano
beschädigt	danneggiato
tanz	danza
paris	parigi
plattform	piattaforma
dampf	vapore
chemiker	chimico
toronto	toronto
extremität	estremità
zehn	dieci
vorderer	anteriore
ryan	ryan
finnisch	finlandese
magie	magia
endgültig	definitivo
besaß	possedeva
sekretär	segretario
professionell	professionale
verbrechen	reato
eingetragen	iscritto
hören	ascoltare
kurzfilm	cortometraggio
zeichnungen	disegni
anspruch	pretesa
bischof	vescovo
linz	linz
vorteil	vantaggio
offensive	offensiva
software	software
tasso	tasso
malta	malta
natur	natura
anfang	inizio
kassel	kassel
ehre	onore
wittenberg	wittenberg
millionen	milioni
chronik	cronaca
abstammung	discendenza
bearbeitungen	lavorazioni
hollywood	hollywood
polo	polo
stücke	pezzi
signalisierung	segnalazione
japanisch	giapponese
kommunistisch	comunista
episoden	episodi
niederlage	sconfitta
stahl	acciaio
signale	segnali
>	>
eigentum	proprietà
geteilt	diviso
organisierung	organizzazione
serra	serra
jahre	anni
heidelberg	heidelberg
haus	casa
lothar	lothar
oft	spesso
westlich	occidentale
druck	pressione
barock	barocco
schwert	spada
mitglieder	membri
silber	argento
flugzeug	aeroplano
lee	lee
französisch	francese
griechisch	greco
reinhard	reinhard
eindruck	impressione
bbc	bbc
tief	profondo
arthur	arthur
alle	tutti
entspricht	corrisponde
ergebnis	risultato
ausnahme	eccezione
atp	atp
ursprung	origine
katharina	caterina
operationen	operazioni
einleitung	introduzione
bericht	rapporto
solist	solista
ok	ok
klassifizierung	classificazione
leistungen	prestazioni
zweifel	dubbio
dimensionen	dimensioni
eliminiert	eliminato
formuliert	formulato
staatliche	statale
wörterbuch	dizionario
spielen	giocare
gerufen	chiamato
geheimnis	segreto
nachricht	notizia
warum	perchè
prozedur	procedura
becken	bacino
marathon	maratona
sed	sed
frankfurter	frankfurter
begegnung	incontro
gebiete	gebiete
regionale	regionale
kommentar	commento
accompagnato	accompagnato
hd	hd
nürnberg	norimberga
harald	harald
hölle	inferno
nrw	nrw
einverständnis	consenso
nation	nazione
völker	popoli
beziehungen	beziehungen
interview	intervista
etwas	qualcosa
abgelaufen	scaduto
güter	beni
diplomatisch	diplomatico
prozentsatz	percentuale
garantieren	garantire
jede	ognuna
orte	luoghi
augustin	agostino
overs	overs
alexander	alessandro
region	regione
draußen	fuori
typ	tipo
ehemann	marito
krieg	guerra
tomba	tomba
erinnert	ricorda
arrondissement	arrondissement
dänemark	danimarca
spanisch	spagnolo
bobby	bobby
mauer	muro
heraldik	araldica
überflüssig	superfluo
gianni	gianni
bedrohung	minaccia
villen	ville
spieler	giocatore
erscheinung	apparizione
ulrich	ulrico
vögel	uccelli
schlacht	battaglia
grau	grigio
paderborn	paderborn
würzburg	würzburg
hitler	hitler
illinois	illinois
oblast	oblast
throne	trono
mittelalterlich	medievale
wuppertal	wuppertal
bulgarien	bulgaria
zufällig	casuale
tempo	tempo
ferdinand	ferdinando
hart	duro
bauten	costruzioni
sänger	cantore
wählen	scegliere
raccolta	raccolta
sponsor	sponsor
walter	walter
aufbau	aufbau
positiv	positivo
leicht	leggero
youtube	youtube
assoziiert	associato
kaufte	acquistò
schatten	ombra
titel	titolo
dauer	durata
lokalisierung	localizzazione
temperatur	temperatura
name	nome
hoffnung	speranza
lloyd	lloyd
polnisch	polacco
eis	ghiaccio
direkt	direttamente
gino	gino
sein	essere
liegen	giacere
wollen	volere
bartolomeo	bartolomeo
tenor	tenore
unterart	sottospecie
howard	howard
koblenz	coblenza
maurizio	maurizio
instrumente	strumenti
clan	clan
magdeburg	magdeburgo
musik	musica
gesang	canto
vietnam	vietnam
veste	veste
fabrizio	fabrizio
konzeption	concezione
paar	coppia
wm	wm
drama	dramma
batterie	batteria
todd	todd
interpretiert	interpretato
vorschlag	proposta
offensichtlich	ovvio
ungarisch	ungherese
physik	fisica
wärme	calore
sino	sino
zentrum	centro
nordrhein	nordrhein
griff	grifo
bambino	bambino
woche	settimana
frühling	primavera
wunsch	desiderio
bronze	bronzo
november	novembre
lg	lg
friedhof	cimitero
norwegisch	norvegese
aosta	aosta
abkürzung	abbreviazione
unternehmungen	imprese
autorität	autorità
england	inghilterra
jungs	ragazzi
religion	religione
denomination	denominazione
heilig	sacro
diskussionen	discussioni
objekt	oggetto
spät	tardi
geschichte	storia
verdacht	sospetto
anonymus	anonimo
logo	logotipo
lp	lp
arnold	arnoldo
vatikan	vaticano
brüssel	bruxelles
giro	giro
überall	dappertutto
verteidigung	difesa
reduktion	riduzione
vorschläge	proposte
jh	jh
prinzip	principio
orchester	orchestra
raffaele	raffaele
zement	cemento
schweden	svedesi
eingefügt	inserito
kult	culto
gezeigt	mostrato
termine	termine
paragraf	paragrafo
eishockey	hockey
in	in
territorium	territorium
abteilungen	reparti
punkt	punto
baureihe	baureihe
errichten	erigere
bezirke	distretti
siena	siena
geschäfte	affari
stark	stark
markenzeichen	marchio
polonaise	polacca
entwickeln	sviluppare
artikel	articolo
zeitschrift	rivista
geschwindigkeit	velocità
sachsen	sassonia
repräsentant	rappresentante
blöcke	blocchi
stephanus	stefano
philadelphia	filadelfia
videospiele	videogiochi
erfolg	successo
qualifikation	qualificazione
drittes	terzo
jugoslawien	jugoslavia
hand	mano
säule	colonna
disposition	disposizione
neutral	neutrale
gesegnet	benedetto
klasse	classe
oberfläche	superficie
•	•
lesung	lettura
abo	abo
technologie	tecnologia
realisierung	realizzazione
walther	walther
konfrontation	confronto
konstantin	costantino
org/w/index	org/w/index
passagen	passaggi
kurve	curva
format	formato
kavallerie	cavalleria
gruppen	gruppi
indica	indica
matrize	matrice
frucht	frutto
verlängert	prolungato
berlin	berlino
dm	dm
helden	eroi
wann	quando
baum	albero
nehmen	prendere
feuer	fuoco
nationalsozialismus	nazionalsocialismo
remix	remix
schwierigkeit	difficoltà
referenzen	riferimenti
bundesliga	bundesliga
stockholm	stoccolma
mühe	fatica
giulia	giulia
phantastik	fantascienza
filmografie	filmografia
bedingung	condizione
atmosphäre	atmosfera
stil	stile
pflanze	pianta
dauerte	durò
eva	eva
diözese	diocesi
architekten	architetti
kooperation	cooperazione
homonym	omonimo
interessant	interessante
öffnung	apertura
png	png
editorial	editoriale
disziplin	disciplina
germania	germania
dokumentarfilm	documentario
giovanni	giovanni
aviso	avviso
gold	oro
klima	clima
entwickelt	sviluppato
beschreibung	descrizione
bearbeitet	bearbeitet
asien	asia
magazin	magazzino
geld	denaro
führen	guidare
charakter	carattere
schottisch	scozzese
sizilien	sicilia
organisiert	organizzato
angriffe	attacchi
verlust	perdita
orgel	organo
stanley	stanley
verdienst	merito
manifestation	manifestazione
existierend	esistente
befreiung	liberazione
olympiade	olimpiade
einladung	invito
laterale	laterale
schwester	sorella
luxemburg	lussemburgo
wort	parola
prinzipien	principi
motor	motore
weimar	weimar
fahrzeug	veicolo
schon	già
zudem	inoltre
termini	termini
bauern	contadini
schnee	neve
habsburg	asburgo
zuviel	troppo
unternehmung	impresa
familie	famiglia
förderung	promozione
circa	circa
navale	navale
frequenz	frequenza
✉	✉
konstantinopel	costantinopoli
bildung	formazione
kathedrale	cattedrale
du	du
barre	barra
überraschung	sorpresa
union	unione
geschmack	gusto
uhr	orologio
gezählt	conteggiato
zitiert	citato
hilfe	aiuto
nella	nella
gut	buono
trikot	maglia
filo	filo
trainer	allenatore
jurist	giurista
louis	louis
stafette	staffetta
mobile	mobile
meinung	opinione
verblieb	rimase
truppen	truppe
verzeichnis	verzeichnis
stadt	città
terrain	terreno
brescia	brescia
exzellenz	eccellenza
integriert	integrato
saarbrücken	saarbrücken
gemeinden	comuni
österreichisch	austriaco
byzantinisch	bizantino
rimini	rimini
gewinnen	vincere
einfach	semplice
kommandant	comandante
abend	serata
weiblich	femminile
verdienste	meriti
menschlich	umano
februar	febbraio
mtv	mtv
registriert	registrato
künstlich	artificiale
decreto	decreto
beispiele	esempi
konsequenzen	conseguenze
fisch	pesce
kastilien	castiglia
felder	campi
franziska	francesca
nukleus	nucleo
vandalismus	vandalismo
manifestationen	manifestazioni
metall	metallo
kapitel	capitolo
abschnitte	sezioni
bamberg	bamberga
akademie	accademia
traditionen	tradizioni
mehrheit	maggioranza
gemälde	dipinti
thomas	tommaso
hotel	albergo
gäste	ospiti
individuum	individuo
ansiedlung	insediamento
ingenieur	ingegnere
wikimedia	wikimedia
aspekte	aspetti
ausgewählt	scelto
erziehung	educazione
conti	conti
holland	olanda
ersatz	sostituto
note	nota
agent	agente
sehr	sehr
aldo	aldo
hannover	hannover
wettkampf	gara
manager	manager
fliehen	fuggire
ausgeführt	eseguito
österreich	austria
bewegung	movimento
fahne	bandiera
nennung	nomina
elektrisch	elettrico
permanente	permanente
ecke	angolo
dante	dante
apr	apr
boote	barche
xv	xv
internazionali	internazionali
federico	federico
internet	internet
neu	nuovo
bielefeld	bielefeld
monat	mese
hamilton	hamilton
zwei	due
kam	kam
beiträge	contributi
entscheidungen	decisioni
silvio	silvio
heiligtum	santuario
dave	dave
bedeutung	significato
spezies	specie
millimeter	millimetro
wachsen	crescere
gewinn	guadagno
bezirk	distretto
mathematik	matematica
wiesbaden	wiesbaden
generalleutnant	generale
ökonomie	economia
forschung	ricerca
imho	imho
nei	nei
gottfried	gottfried
wiki	wiki
umbenannt	rinominato
faktor	fattore
vorgeschlagen	proposto
gegenstände	oggetti
kunden	clienti
anweisung	istruzione
januar	gennaio
exil	esilio
sue	sue
öffnen	aprire
material	materiale
adriano	adriano
ja	sì
fließt	fluisce
regel	regola
gestern	ieri
nationalität	nazionalità
rugby	rugby
betreiber	gestore
riga	riga
praxis	prassi
ursprünglich	originariamente
netz	rete
privat	privato
menschlichkeit	umanità
unser	nostro
friedrich	friedrich
dortmund	dortmund
mutter	mamma
exzentrizität	eccentricità
uniti	uniti
übrig	rimanente
woiwodschaft	voivodato
trio	trio
politik	politica
vizepräsident	vicepresidente
fliegen	volare
sonora	sonora
geändert	cambiato
padua	padova
ausgrabungen	scavi
lancia	lancia
betrug	truffa
vladimir	vladimir
bischöfliche	vescovile
renzo	renzo
münze	moneta
dramaturg	drammaturgo
ravenna	ravenna
theologe	teologo
kaiser	imperatore
bleiben	rimanere
modifiziert	modificato
königreich	regno
kilometer	chilometro
neumann	neumann
strand	spiaggia
giacomo	giacomo
mord	omicidio
sechst	sesto
mindestens	almeno
christus	cristo
september	settembre
volk	popolo
hc	hc
verteilung	distribuzione
philosophie	filosofia
marburg	marburgo
fenster	finestra
anrufung	chiamata
wahr	vero
claudio	claudio
denkmal	monumento
strahl	raggio
alex	alex
krankenhaus	ospedale
invasion	invasione
gamma	gamma
flanke	fianco
forschungen	ricerche
belagerung	assedio
blumen	fiori
harry	harry
fernsehen	fernsehen
volumen	volume
html	html
verlegerin	editrice
müsste	dovrebbe
orlando	orlando
experte	esperto
etikett	etichetta
generali	generali
pokémon	pokémon
regensburg	ratisbona
kombination	combinazione
markt	mercato
gewalttätigkeit	violenza
ereignisse	avvenimenti
afrika	afrika
anna	anna
salzburg	salisburgo
luigi	luigi
flugzeuge	aeroplani
lazio	lazio
qualifiziert	qualificato
pommern	pomerania
bassist	bassista
spazio	spazio
kontakte	contatti
motivationen	motivazioni
fortsetzung	continuazione
übersetzung	traduzione
jena	jena
davis	davis
kraft	kraft
zentrale	centrale
lösen	sciogliere
bass	basso
gras	erba
konzert	concerto
anthony	anthony
beschränkt	limitato
filmen	filmare
verstärkt	rafforzato
fernando	fernando
rache	vendetta
gitarrist	chitarrista
kleinstadt	cittadina
töten	uccidere
voraussetzungen	presupposti
eugen	eugenio
erfolge	successi
kirche	chiesa
bank	banca
polizei	polizia
gemacht	fatto
neun	nove
lombardei	lombardia
italienisch	italiano
verkaufen	vendere
höhe	altezza
ich	io
wein	vino
typologie	tipologia
motivation	motivazione
rennstrecke	circuito
anfrage	richiesta
heer	esercito
dialog	dialogo
umwandlung	trasformazione
produzenten	produttori
biologie	biologia
geeignet	adatto
anime	anime
vogel	uccello
konzil	concilio
übung	esercizio
bundeswehr	bundeswehr
angekommen	arrivato
total	totale
verschoben	spostato
gerecht	giusto
gefärbt	colorato
antworten	rispondere
debütierte	debuttò
beobachtet	osservato
sohn	figlio
presbyter	presbitero
rudolf	rudolf
missbrauch	abuso
udine	udine
krankheit	malattia
dienen	servire
befördert	promosso
entwurf	disegno
krone	corona
synonym	sinonimo
verband	associazione
gustav	gustav
eberhard	eberhard
nordamerika	nordamerica
ferrari	ferrari
entschuldigung	scusa
zugehörigkeit	appartenenza
squadra	squadra
giuseppe	giuseppe
welle	onda
unendlich	infinito
ausstellung	esposizione
jährlich	annuale
arm	braccio
nordosten	nordest
minute	minuto
jackson	jackson
moritz	moritz
werden	divenire
hanau	hanau
wolf	lupo
kroatien	croazia
hinzufügen	aggiungere
ausgehen	uscire
lösung	soluzione
pedro	pedro
theologie	teologia
sieht	vede
nominiert	nominato
bewaffnet	armato
ozean	oceano
"	"
deutsch	tedesco
mb	mb
gehabt	avuto
alpen	alpi
operativ	operativo
michele	michele
launch	lancio
wahrscheinlichkeit	probabilità
peru	perù
a	a
dynastie	dinastia
schwestern	sorelle
effekt	effetto
thailand	thailand
verkehr	traffico
pistole	pistola
cousin	cugino
dunkel	scuro
dichte	densità
ausführung	esecuzione
mary	mary
toskana	toscana
enge	stretta
sechste	sesta
maler	pittore
kommentare	commenti
pilot	pilota
linien	linee
pavia	pavia
konsequenz	conseguenza
ausdehnung	estensione
fussball	calcio
carolina	carolina
botschaft	ambasciata
stuttgart	stuttgart
piemont	piemonte
audio	audio
sturm	tempesta
neapel	napoli
ruhe	riposo
ständig	costantemente
modalität	modalità
verfügbar	disponibile
auch	anche
maschine	macchina
brigade	brigata
senator	senatore
umgekehrt	rovesciato
erwähnt	menzionato
kiel	kiel
km/h	km/h
infrastruktur	infrastruttura
kommunikation	comunicazione
techniken	tecniche
april	aprile
andrew	andrew
niccolò	niccolò
konflikt	conflitto
aktion	azione
verdient	meritato
norwegen	norvegia
wenig	poco
jones	jones
gesprochen	pronunciato
vereinigt	unito
himmel	cielo
verantwortlich	responsabile
leben	vivere
museen	musei
sara	sara
erzbischof	arcivescovo
enzyklopädie	enciclopedia
svg	svg
parks	parchi
besuch	visita
geographie	geografia
romagna	romagna
beigetragen	contribuito
alfonso	alfonso
clubnat	clubnat
artillerie	artiglieria
tokyo	tokyo
versuche	tentativi
jagd	caccia
online	online
sammeln	raccogliere
grüße	saluti
kollaboration	collaborazione
zitat	citazione
genie	genio
veröffentlichungen	pubblicazioni
kantate	cantata
playstation	playstation
anwendungen	applicazioni
schützen	proteggere
mythos	mito
graf	graf
gerhard	gerhard
wissenschaft	scienza
erreicht	raggiunto
erkenntnis	conoscenza
wilson	wilson
bauer	contadino
partei	partito
diskutieren	discutere
modena	modena
bewertung	valutazione
antonio	antonio
oldenburg	oldenburgo
landtag	landtag
buchstaben	lettere
nützlich	utile
redaktion	redazione
festschrift	festschrift
gewissen	coscienza
literatur	letteratura
konserviert	conservato
lübeck	lubecca
geschehen	accaduto
neffe	nipote
übersetzt	tradotto
anerkennung	riconoscimento
bibliografie	bibliografia
kontrast	contrasto
virginia	virginia
marcello	marcello
bundestag	bundestag
fliege	mosca
regime	regime
mann	uomo
mario	mario
chinesisch	cinese
miguel	miguel
beobachtungen	osservazioni
ginevra	ginevra
jury	giuria
schwach	debole
gräfin	contessa
produkt	prodotto
freund	amico
duo	duo
erfinder	inventore
hahn	gallo
trophäe	trofeo
decoration	decorazione
falsche	falsa
notwendigkeit	necessità
tennisspieler	tennista
andrea	andrea
revision	revisione
sonntag	domenica
acht	otto
mecklenburg	meclemburgo
schriften	scritture
singles	singoli
\frac	\frac
nassau	nassau
gerechtigkeit	giustizia
bryan	bryan
service	servizio
ägypten	egitto
körper	corpo
inhalte	contenuti
pianist	pianista
glaube	fede
einzel	singolo
text	testo
bedingungen	condizioni
kontrolle	controllo
parlamentarier	parlamentare
spezialität	specialità
tirol	tirolo
nuovi	nuovi
legende	leggenda
kindheit	infanzia
preußen	prussia
@	@
mythologie	mitologia
bett	letto
versteckt	nascosto
marino	marino
der	il
arbeiten	lavorare
bahnhof	stazione
landschaft	paesaggio
gebraucht	usato
rizzoli	rizzoli
dienste	servizi
heinz	heinz
falsch	falso
kostüme	costumi
vater	padre
nutzung	utilizzo
fahrzeuge	veicoli
abenteuer	avventura
möglich	possibile
wiese	prato
besetzt	occupato
dieser	questo
skulptur	scultura
fusse	fuso
sci	sci
fifa	fifa
halbinsel	penisola
serbisch	serbo
zeitschriften	riviste
gruppe	gruppo
dura	dura
natürlich	naturale
madonna	madonna
pennsylvania	pennsylvania
besitzt	possiede
dissertation	tesi
evangelisch	evangelico
autobahn	autostrada
erde	terra
überprüfung	verifica
?	?
sammlungen	raccolte
giuliano	giuliano
sämtliche	sämtliche
blätter	foglie
gt	gt
viva	viva
folgen	seguire
chor	coro
tribunal	tribunale
aragona	aragona
kritik	critica
fakultät	facoltà
schwedisch	svedese
chronologie	cronologia
archivierung	archiviazione
deckung	copertura
bob	bob
porträt	ritratto
senat	senato
vertrauen	fiducia
medaille	medaglia
ersetzt	sostituito
dokumentation	documentazione
konvention	convenzione
provinz	provincia
hg	hg
kontext	contesto
schließung	chiusura
navigation	navigazione
pferd	cavallo
hildesheim	hildesheim
jahreszeiten	stagioni
durchmesser	diametro
champion	campione
sito	sito
schritte	passi
programmierung	programmazione
basa	basa
steiermark	stiria
rossi	rossi
allein	solo
details	dettagli
kulturell	culturale
slowakei	slovacchia
signalisieren	segnalare
geworden	divenuto
erwähnung	menzione
rasse	razza
zeichen	segno
repräsentanten	rappresentanti
könnte	potrebbe
sechzig	sessanta
lektionen	lezioni
übersetzer	traduttore
jeder	ognuno
böhmen	boemia
fischer	pescatore
wahlen	elezioni
bearbeitung	lavorazione
tausend	mille
treviso	treviso
diskussion	discussione
salto	salto
salvatore	salvatore
günter	günter
zugeteilt	assegnato
besonderheit	particolarità
standard	standard
august	augusto
industrie	industria
wollte	voleva
verpflichtet	obbligato
zurückgezogen	ritirato
alt	antico
kosten	costi
bist	bist
schema	schema
disney	disney
witwe	vedova
suchen	cercare
abtei	abbazia
differenz	differenza
motiv	motivo
gitarre	chitarra
redakteur	redattore
trotzdem	nonostante
wiederhergestellt	ripristinato
neuheit	novità
münzen	monete
wild	selvatico
division	divisione
beteiligung	coinvolgimento
schulen	scuole
abschnitt	sezione
rücken	schiena
emanuel	emanuele
norma	norma
geist	spirito
mund	bocca
jpg	jpg
synagoge	sinagoga
bretagne	bretagna
augen	occhi
ausdruck	espressione
caesar	cesare
johnson	johnson
legato	legato
residenten	residenti
jung	giovane
weiß	bianco
pdf	pdf
wdr	wdr
göttingen	gottinga
infobox	infobox
information	informazione
eisenbahnen	ferrovie
potsdam	potsdam
antwort	risposta
fuß	piede
perse	perse
aktuell	attuale
komödie	commedia
kolonie	colonia
eingetreten	entrato
harris	harris
folgt	segue
experimentell	sperimentale
barcelona	barcellona
kärnten	carinzia
welt	mondo
restaurierung	restauro
dokumente	documenti
berühmt	famoso
brüder	fratelli
lewis	lewis
umberto	umberto
caso	caso
tageszeitung	giornale
geschieht	avviene
ändern	cambiare
verfolgung	persecuzione
komisch	comico
veränderungen	cambiamenti
büro	ufficio
szene	scena
indoor	indoor
ideen	idee
angekündigt	annunciato
geburt	nascita
blockiert	bloccato
potenza	potenza
terry	terry
erreichbar	raggiungibile
anderson	anderson
stiftung	fondazione
wichtig	importante
christentum	cristianesimo
verwaltung	amministrazione
schneller	schneller
erlebnisse	esperienze
universität	università
bestimmt	determinato
colspan	colspan
faschismus	fascismo
gesucht	cercato
asti	asti
eltern	genitori
zdf	zdf
broadway	broadway
eigentümer	proprietario
grippe	influenza
glockenturm	campanile
aufmerksamkeit	attenzione
sicher	sicuro
opfer	sacrificio
basketball	pallacanestro
asteroid	asteroide
rücksicht	riguardo
existenz	esistenza
museum	museo
serie	serie
kompagnie	compagnia
altertümer	antichità
kennt	conosce
oskar	oscar
maximum	massimo
sergio	sergio
iran	iran
fehlt	manca
dimension	dimensione
buch	libro
umbenennung	rinominazione
beruf	professione
übergeben	consegnare
blut	sangue
regulär	regolare
lehrstuhl	cattedra
frauen	donne
danke	grazie
gesetze	leggi
partner	partner
tübingen	tübingen
grenze	confine
erfurt	erfurt
kampf	lotta
krater	cratere
staat	stato
sprint	sprint
milliarden	miliardi
index	indice
salerno	salerno
experten	esperti
situationen	situazioni
komponenten	componenti
sofia	sofia
tommy	tommy
frankreich	francia
kuppel	cupola
mächtig	potente
evolution	evoluzione
geschätzt	apprezzato
haben	avere
halten	tenere
konzession	concessione
dachte	pensava
allgemeinen	allgemeinen
sanremo	sanremo
kanonen	cannoni
interventionen	interventi
schwer	pesante
abbildung	raffigurazione
nachname	cognome
punk	punk
hunderte	centinaia
einfluss	influsso
synthese	sintesi
rangliste	classifica
ciao	ciao
plötzlich	improvvisamente
gefahren	pericoli
feuersbrunst	incendio
gigant	gigante
lemma	lemma
karlsruhe	karlsruhe
rückkehr	ritorno
kompagnon	compagno
zusammensetzung	composizione
nürnberger	nürnberger
universo	universo
praktisch	pratico
geführt	guidato
entdeckung	scoperta
videoclip	videoclip
million	milione
zunahme	aumento
maß	misura
eier	uova
see	lago
~	~
mexiko	messico
verletzt	offeso
jemand	qualcuno
heilbronn	heilbronn
david	davide
linux	linux
