фердинанд	ferdinánd
зеленчуци	zöldségek
1928	1928
преговори	tárgyalások
словакия	szlovákia
левски	levszki
епархия	egyházmegye
движение	mozgalom
рано	korán
кралица	királynő
успешен	sikeres
вход	bejárat
идеален	ideális
1927	1927
нормално	normálisan
оръжие	fegyver
оскар	oscar
паша	pasa
архитектура	architektúra
болест	betegség
събитие	esemény
европейски	európai
литературен	irodalmi
полезен	hasznos
медицина	orvostudomány
проблеми	problémák
хорват	horvát
литър	liter
академичен	akadémiai
умрял	elhunyt
фокус	fókusz
гърция	görögország
категория	kategória
конструкция	konstrukció
виктор	viktor
1932	1932
испания	spanyolország
лагер	láger
южен	déli
сценарий	forgatókönyv
el	el
gmbh	gmbh
космически	kozmikus
климент	kliment
1904	1904
2010	2010
деца	gyerekek
1900	1900
2001	2001
инициатива	kezdeményez
давид	dávid
младежка	ifjúsági
намаляване	csökkentés
индустриален	ipari
лазар	lázár
държава	állam
институт	intézet
декември	december
википедия	wikipédia
надежда	remény
салон	szalon
биография	biográfia
обект	objektum
магнитен	mágneses
град	város
летище	repülőtér
габор	gábor
цигани	cigány
наука	tudomány
gps	gps
константин	konstantin
my	my
1906	1906
1971	1971
мартин	márton
китайски	kínai
президентски	elnöki
градски	városi
регистриран	regisztrált
купа	kupa
1925	1925
шотландски	skót
портал	portál
рак	rák
1871	1871
календар	kalendárium
1990	1990
виетнам	vietnám
проект	projekt
дъщеря	lány
спира	spira
трети	harmadik
белград	belgrád
налягане	nyomás
правило	szabály
80-те	80-as
1936	1936
1951	1951
югославия	jugoszlávia
жертва	áldozat
текстове	szövegek
латински	latin
иван	iván
максимален	maximális
уилямс	williams
мл	ml
кандидат	kandidátus
автомагистрала	autópálya
авто	autó
ноември	november
тенис	tenisz
опера	opera
най-добър	legjobb
програми	programok
столица	főváros
георг	georg
марко	marco
папски	pápai
височина	magasság
витамин	vitamin
золтан	zoltán
юлия	júlia
драма	dráma
нов	új
рудолф	rudolf
немски	német
интегриран	integrált
кръв	vér
дума	duma
земя	föld
критичен	kritikus
австрийски	osztrák
криза	krízis
performance	teljesítmény
конкурси	pályázatok
2004	2004
oldid	oldid
сопот	sopot
проекти	projektek
нощна	éjszakai
креативен	kreatív
мода	moda
георгиев	georgiev
евреин	zsidó
otp	otp
прозорци	ablakok
брюксел	brüsszel
януари	január
1960	1960
симеон	simeon
албум	album
министерство	minisztérium
колумбия	kolumbia
1922	1922
1911	1911
трябва	kell
продължава	folytatja
кирил	kirill
актуален	aktuális
симон	simon
1988	1988
пап	pap
ръководство	irányítás
използваме	használjuk
комитет	bizottság
контрол	kontroll
зона	zóna
eu	eu
жълт	sárga
малък	kicsi
троян	trojan
2008	2008
архитект	építész
стратегически	stratégiai
полуостров	félsziget
имам	imám
отрицателен	negatív
растение	növény
формула	formula
такава	olyan
туристически	turisztikai
администрация	adminisztráció
когато	amikor
гуми	gumi
форма	forma
край	kraj
клара	klára
text-align	text-align
шоколад	csokoládé
месеци	hónapok
легендарен	legendás
1949	1949
португалски	portugál
лондон	london
абсолютен	abszolút
онлайн	online
музика	muzsika
isbn	isbn
ограничен	korlátozott
астероид	aszteroida
1989	1989
сигурно	biztosan
напред	előre
научен	tudományos
тук	itt
нощ	éjszaka
удобно	kényelmes
5000	5000
елизабет	erzsébet
жителите	lakosai
петрова	petrova
лева	leva
лего	lego
затворен	zárt
християнин	keresztény
клуб	klub
гражданин	polgár
андроид	android
конференция	konferencia
кабел	kábel
баба	baba
1979	1979
северен	északi
съдържание	tartalom
зависимост	függőség
група	csoport
валери	valerij
зомби	zombi
изключително	kizárólag
1999	1999
1987	1987
читател	olvasó
аматьор	amatőr
бинарни	bináris
професор	professzor
центрове	központok
енергия	energia
променил	megváltozott
март	március
барон	báró
дясно	jobb
ирина	irina
чудо	csoda
петър	péter
учреждение	intézmény
актьор	színész
1909	1909
калман	kálmán
чаша	pohár
среща	találkozás
1899	1899
сестра	nővér
коледа	karácsony
направление	irány
не	nem
търговия	kereskedelem
иванова	ivanova
жена	nő
осем	nyolc
граници	határok
най-голям	legnagyobb
канада	kanada
мнение	vélemény
сектор	szektor
българия	bulgária
университет	egyetem
достъпен	elérhető
мама	mama
кариера	karrier
1952	1952
софтуер	szoftver
статистически	statisztikai
изложба	kiállítás
статистика	statisztika
колегиум	kollégium
четене	olvasás
1901	1901
библиотеки	könyvtárak
2015	2015
езици	nyelvek
унгарски	magyar
чужденец	idegen
първи	első
модели	modellek
традиционен	hagyományos
граждани	polgárok
душа	lelke
ерика	erika
варадеро	varadero
откриване	felfedezés
1940	1940
минало	múlt
ток	tok
социалистически	szocialista
свобода	szabadság
милано	milánó
основател	alapító
политик	politikus
учители	tanárok
часовник	óra
нападение	támadás
клиничен	klinikai
лед	jég
упражнения	gyakorlatok
лаптоп	laptop
население	népesség
тези	tézisek
барселона	barcelona
наследник	örökös
момчета	fiúk
мрежа	hálózat
2003	2003
1994	1994
елементи	elemek
потребители	felhasználók
желание	kívánság
вила	villa
липсва	hiányzik
близост	közelség
конкурс	pályázat
пациенти	páciensek
модерн	modern
текст	szöveg
филм	film
коалиция	koalíció
1933	1933
тогава	akkor
гама	gamma
производство	production
организационен	szervezeti
независимост	independence
доказателства	bizonyítékok
google	google
играчи	játékosok
холандия	hollandia
александър	sándor
писатели	írók
болка	fájdalom
1948	1948
посланик	nagykövet
швейцарски	svájci
концерт	koncert
често	gyakran
очаквано	várható
1943	1943
йорк	york
воля	akarat
предишно	korábban
опция	opció
минимум	minimum
антон	anton
поет	költő
нисък	alacsony
хабсбург	habsburg
учениците	tanítványai
огън	tűz
1902	1902
москва	moszkva
iphone	iphone
1961	1961
1878	1878
по-голям	nagyobb
успешно	sikeresen
видин	vidin
апартаменти	apartmanok
истанбул	isztambul
дължина	hosszúság
мотор	motor
разпространена	elterjedt
милиард	milliárd
маркетинг	marketing
драга	drága
хотели	szállodák
фалшив	hamis
алкохол	alkohol
1848	1848
вариант	változat
той	ő
п	p
герой	hős
медал	medál
дъжд	eső
комунист	kommunista
неизвестен	ismeretlen
дни	napok
педагог	pedagógus
мексикански	mexikói
сняг	hó
марков	markov
файл	fájl
нормален	normális
редакция	szerkesztőség
видео	videó
започват	elkezdenek
четири	négy
1975	1975
мобил	mobil
знание	tudás
модул	modul
позиция	pozíció
лето	nyár
шекспир	shakespeare
алтернативен	alternatív
интернет	internet
средновековен	középkori
украински	ukrán
риза	riza
интензивен	intenzív
1876	1876
нищо	semmi
словения	szlovénia
технологии	technológiák
литература	irodalom
дълбочина	mélység
публикувано	publikálva
глобален	globális
риболов	halászat
плюс	plusz
доброволец	önkéntes
0,5	0,5
болен	beteg
тип	típus
индия	india
централна	központi
козметика	kozmetika
барток	bartók
стил	stílus
спорт	sport
1981	1981
технически	technikai
поезия	költészet
планина	hegység
фаза	fázis
рота	rota
динамичен	dinamikus
иисус	jézus
експеримент	kísérlet
капитан	kapitány
паметник	emlékmű
биологически	biológiai
описание	leírás
европа	európa
радио	rádió
имена	nevek
габриела	gabriella
будист	buddhista
1931	1931
букви	betűk
шампионат	bajnokság
филип	fülöp
вашингтон	washington
списание	folyóirat
иран	irán
различен	különböző
елегантен	elegáns
организации	szervezetek
1877	1877
великобритания	nagy-britannia
цвят	szín
министър	miniszter
новини	hírek
орбан	orbán
победа	győzelem
партньори	partnerek
промо	promó
1974	1974
дания	dánia
imdb	imdb
форум	fórum
консул	konzul
реклама	reklám
пазар	piac
свободен	szabad
полиция	rendőrség
японски	japán
add	add
ле	le
проектиране	tervezés
програма	program
69	69
1995	1995
структура	struktúra
френски	francia
барок	barokk
1956	1956
дете	gyermek
активност	aktivitás
планиран	tervezett
дълъг	hosszú
игра	játék
унгария	magyarország
1985	1985
путин	putyin
адам	ádám
израз	kifejezés
катастрофа	katasztrófa
монтана	montana
поръчка	megrendelés
бригада	brigád
йозеф	józsef
мача	maca
остатък	maradék
facebook	facebook
координати	koordináták
азия	ázsia
финансиране	finanszíroz
статут	statútum
певица	énekesnő
мед	méz
провинция	provincia
качество	minőség
руски	orosz
парк	park
герб	címer
функция	függvény
бронз	bronz
атмосфера	atmoszféra
обучение	oktatás
димитров	dimitrov
пробвам	próbálom
изразява	kifejezi
работа	munka
регистрация	regisztráció
1918	1918
четвърти	negyedik
човек	ember
яйце	tojás
настроение	hangulat
белгия	belgium
мениджър	menedzser
граф	gróf
беден	szegény
стойност	érték
пловдив	plovdiv
кожа	bőr
каталин	katalin
2009	2009
баня	banya
владимир	vladimir
предложения	javaslatok
обзавеждане	berendezés
тестове	tesztek
категории	kategóriák
ученици	tanítványok
1947	1947
2006	2006
анализ	analízis
1953	1953
1935	1935
парфюм	parfüm
съгласие	egyetértés
1903	1903
като	kató
държавен	állami
файлове	fájlok
академия	akadémia
липса	hiány
сърце	szív
метър	méter
1950	1950
капацитет	kapacitás
банка	bank
1934	1934
гробище	temető
2017	2017
румъния	románia
чешки	cseh
играч	játékos
август	august
1982	1982
мюнхен	münchen
1965	1965
членовете	tagjai
силни	erősek
мадрид	madrid
фестивал	fesztivál
реакция	reakció
дек	dek
учител	tanár
будапеща	budapest
голям	nagy
терапия	terápia
септември	szeptember
1919	1919
дворец	palota
римски	római
мария	mária
елемент	elem
електронен	elektronikus
събрание	gyűlés
христос	krisztus
2007	2007
цели	célok
лекарства	gyógyszerek
ефективно	hatékonyan
място	hely
жилищни	lakóházak
територия	territórium
1910	1910
истина	igazság
точно	pontosan
предварително	előzetes
писменост	írás
процес	folyamat
украйна	ukrajna
1978	1978
откриват	felfedezik
предприемач	vállalkozó
цветове	színek
индустрия	ipar
1964	1964
историк	történész
факс	fax
играят	játsszák
самсунг	samsung
село	falu
1944	1944
море	tenger
птици	madarak
100ml	100ml
математически	matematikai
шотландия	skócia
брат	testvér
кухня	konyha
стефан	istván
камера	kamera
марица	marica
петров	petrov
макс	max
hd	hd
теодор	teodor
книга	könyv
михаил	mihály
победител	győztes
най-малко	legkevesebb
самолет	repülőgép
певец	énekes
етаж	emelet
всеки	mindenki
инфраструктура	infrastruktúra
конгрес	kongresszus
коментар	kommentár
комбинация	kombináció
фок	fok
индонезия	indonézia
казах	kazah
1-2	1-2
австралия	ausztrália
модифицирана	módosított
нокия	nokia
скорост	sebesség
африка	afrika
цел	cél
блог	blog
фигура	figura
старт	start
360	360
евангелски	evangélikus
клиент	ügyfél
памет	emlékezet
туризъм	turizmus
тодор	tódor
околна	környezet
кръст	kereszt
алберт	albert
много	sok
грешки	hibák
париж	párizs
серия	sorozat
специален	speciális
такива	ilyenek
сегед	szeged
самостоятелен	önálló
таблица	táblázat
исторически	történelmi
народ	nép
хитлер	hitler
контакт	kontakt
болестите	betegségek
linux	linux
2011	2011
идеи	ideák
предложение	ajánlat
яков	jakab
възможност	lehetőség
типове	típusok
династия	dinasztia
армения	örményország
минимален	minimális
сметана	smetana
jan	jan
уебсайт	weboldal
успех	siker
1970	1970
2000	2000
партия	párt
лайош	lajos
продължават	folytatnak
пътешествие	utazás
никога	sosem
училище	iskola
юни	júni
пренасочване	átirányítás
раковски	rakovszky
българин	bolgár
цикъл	ciklus
гаспар	gáspár
популярен	népszerű
кралство	királyság
документи	dokumentumok
фитнес	fitnesz
бежанец	menekült
испански	spanyol
начало	kezdet
1926	1926
код	kód
президент	elnök
3000	3000
стойности	értékek
следващ	következő
характеристика	jellemző
чувствителен	érzékeny
комплекс	komplexum
съществуващ	létező
официално	hivatalosan
тракия	trákia
уникален	unikális
кабинет	kabinet
лекари	orvosok
константинопол	konstantinápoly
практика	praktika
григор	grigor
имре	imre
2012	2012
животни	állatok
финландия	finnország
б	b
фал	fal
събота	szombat
мисия	misszió
лека	léka
дълбок	mély
дигитален	digitális
лош	rossz
турция	törökország
редактори	szerkesztők
1905	1905
сърбия	szerbia
2002	2002
слушател	hallgató
блок	blokk
епископ	püspök
edt	edt
човечеството	emberiség
секция	szekció
1920	1920
папа	pápa
1993	1993
часове	órák
играй	játssz
технология	technológia
юли	július
египет	egyiptom
разлика	különbség
продажба	eladás
медии	médiák
търговски	kereskedelmi
рок	rock
1997	1997
значение	jelentés
виртуален	virtuális
допълнение	kiegészítés
km2	km2
лек	lek
класически	klasszikus
дивизия	divízió
тема	téma
албания	albánia
културни	kulturális
1984	1984
чай	tea
църква	templom
интервю	interjú
1929	1929
румънски	román
тропически	trópusi
склад	raktár
символ	szimbólum
инженер	mérnök
война	háború
георги	georgi
печат	pecsét
такси	taxi
двор	udvar
липсващ	hiányzó
парламент	parlament
едновременно	egyidejűleg
библия	biblia
von	von
роланд	roland
временен	ideiglenes
интересен	érdekes
безопасност	biztonság
качества	minőségek
сексуален	szexuális
култура	kultúra
планове	tervek
иванов	ivanov
мир	béke
1917	1917
джексън	jackson
оперативен	operatív
удоволствие	öröm
автор	author
рода	roda
улица	utca
1885	1885
училища	iskolák
швед	svéd
техника	technika
ефективен	hatékony
португалия	portugália
англия	anglia
ричард	richárd
оркестър	zenekar
1908	1908
антал	antal
както	ahogyan
журналист	újságíró
владетел	uralkodó
веспрем	veszprém
планински	hegyvidéki
православен	ortodox
хуняди	hunyadi
гражданство	állampolgárság
витамини	vitaminok
променлив	változó
време	idő
2016	2016
писател	író
панел	panel
брит	brit
партньор	partner
оценка	értékelés
1957	1957
1924	1924
дама	dáma
херцогиня	hercegnő
въвеждане	bevezetés
култури	kultúrák
идентификатор	azonosító
собствен	saját
редактор	szerkesztő
вероятно	valószínű
острови	szigetek
1930	1930
арпад	árpád
1881	1881
например	például
самостоятелно	önállóan
търсене	keresés
етнография	néprajz
салата	saláta
изчезване	eltűnés
2005	2005
коментари	kommentárok
така	így
болница	kórház
1937	1937
австралиец	ausztrál
1972	1972
независим	független
фактор	faktor
малайзия	malajzia
германия	németország
публикации	publikációk
илона	ilona
едуард	eduárd
тежък	nehéz
парламентарен	parlamenti
естергом	esztergom
навигация	navigáció
лига	liga
по-късно	később
1962	1962
франк	frank
електрически	elektromos
2014	2014
максимум	maximum
романтичен	romantikus
1861	1861
хотел	szálloda
регион	régió
1938	1938
църкви	templomok
нек	nek
ракоци	rákóczi
окръг	járás
бразилия	brazília
1954	1954
строг	szigorú
зимен	téli
история	történelem
месец	hónap
бежанци	menekültek
курсове	tanfolyamok
1959	1959
започнах	elkezdtem
автобус	autóbusz
април	április
1912	1912
анна	anna
нива	niva
италиански	olasz
стадион	stadion
1921	1921
англичанин	angol
териториален	területi
хляб	kenyér
джеймс	james
традиция	hagyomány
каталог	katalógus
борба	borba
диета	diéta
аржентина	argentína
семейство	család
парфюми	parfümök
остров	sziget
насилие	erőszak
смърт	halál
1976	1976
тъмно	sötét
1,5	1,5
даден	adott
книгоиздател	könyvkiadó
1983	1983
кралски	királyi
маска	maszk
офис	iroda
1873	1873
революция	forradalom
териториите	területek
шампион	bajnok
редактиране	szerkesztés
гимназия	gimnázium
далеч	távol
доктор	doktor
популярност	népszerűség
-10,5	-10,5
цветен	színes
;	;
пътувал	utazott
вкус	íz
монтаж	montázs
положителен	pozitív
еднозначен	egyértelmű
телевизия	televízió
някъде	valahol
потенциал	potenciál
пред	elő
лондонски	londoni
израел	izrael
емоции	érzelmek
личност	személyiség
1941	1941
играл	játszott
основал	alapította
пилот	pilóta
възпитание	nevelés
те	te
австрия	ausztria
1946	1946
дебрецен	debrecen
зофия	zsófia
1915	1915
физика	fizika
полугодие	félév
видял	látott
